"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-01,94,monthly,50828,0.73,-0.23,23.1,94,96577,-1.23,-0.79,24.9,64217,1.33,-0.5,23.22,53755,0.61,-0.16,22.65,43607,0.97,-0.21,25.34,,,,,,,,,,,,,,,,,,,70041,2.32,0.33,25.09,9,49973,0.58,-0.28,23.02,85,1996-01-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-02,154,monthly,51441,0.69,1.21,23.37,154,97822,0.72,1.29,25.22,65120,1.55,1.41,23.54,54382,0.44,1.17,22.91,43954,1.6,0.79,25.54,,,,,,,,,,,,,,,,,,,71327,3.02,1.84,25.55,20,50545,0.47,1.14,23.28,134,1996-02-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-03,152,monthly,51907,1.24,0.91,23.59,152,98189,1.02,0.38,25.32,65794,2.24,1.03,23.79,54860,0.96,0.88,23.11,44259,1.75,0.69,25.72,,,,,,,,,,,,,,,,,,,72240,3.64,1.28,25.87,16,50982,1.01,0.86,23.48,136,1996-03-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-04,125,monthly,51724,-2.65,-0.35,23.5,125,97283,-2.59,-0.92,25.09,65498,-1.77,-0.45,23.68,54680,-2.94,-0.33,23.04,44175,-1.64,-0.19,25.67,,,,,,,,,,,,,,,,,,,71994,-0.01,-0.34,25.79,14,50801,-2.91,-0.35,23.4,111,1996-04-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-05,143,monthly,51736,-2.46,0.02,23.51,143,96534,-3.75,-0.77,24.89,65220,-2.17,-0.42,23.58,54775,-2.51,0.17,23.08,43796,-3.24,-0.86,25.45,,,,,,,,,,,,,,,,,,,71517,-0.64,-0.66,25.61,10,50870,-2.6,0.14,23.43,133,1996-05-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-06,142,monthly,50761,-5.47,-1.88,23.07,142,94797,-6.68,-1.8,24.44,63807,-5.61,-2.17,23.07,53773,-5.42,-1.83,22.65,43219,-6.01,-1.32,25.12,,,,,,,,,,,,,,,,,,,69966,-3.94,-2.17,25.06,12,49936,-5.56,-1.84,23.0,130,1996-06-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-07,178,monthly,50621,-2.86,-0.28,23.0,178,95044,-3.82,0.26,24.51,63754,-2.8,-0.08,23.05,53603,-2.86,-0.32,22.58,42910,-3.56,-0.72,24.94,,,,,,,,,,,,,,,,,,,69338,-1.69,-0.9,24.83,31,49848,-2.88,-0.17,22.96,147,1996-07-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-08,164,monthly,51105,-2.16,0.96,23.22,164,96092,-3.21,1.1,24.78,64402,-1.95,1.02,23.28,54088,-2.27,0.9,22.79,43743,-0.77,1.94,25.42,,,,,,,,,,,,,,,,,,,69882,-0.58,0.78,25.03,2,50338,-2.2,0.98,23.19,162,1996-08-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-09,156,monthly,51893,0.82,1.54,23.58,156,98587,0.36,2.6,25.42,65408,1.12,1.56,23.65,54926,0.65,1.55,23.14,44165,2.73,0.96,25.67,,,,,,,,,,,,,,,,,,,70554,2.75,0.96,25.27,13,51162,0.79,1.64,23.57,143,1996-09-01
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,1996-10,172,monthly,52533,1.98,1.23,23.87,172,100244,1.45,1.68,25.85,66267,1.91,1.31,23.96,55593,1.95,1.22,23.42,44646,2.84,1.09,25.95,,,,,,,,,,,,,,,,,,,71440,3.11,1.26,25.59,7,51792,2.02,1.23,23.86,165,1996-10-01
