"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-01,357,monthly,91111,-2.33,-0.03,19.75,357,211483,-3.7,-0.29,19.82,118819,-1.95,0.03,19.16,86266,-1.95,0.22,18.4,73237,-2.54,-0.16,21.06,,,,,,,,,,,,,,,,,,,89740,0.42,0.59,19.73,37,90994,-2.73,-0.11,19.68,320,1996-01-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-02,358,monthly,92430,-0.82,1.45,20.03,358,214558,-0.93,1.45,20.11,120631,-0.51,1.53,19.45,87822,-0.55,1.8,18.73,74057,-1.3,1.12,21.3,,,,,,,,,,,,,,,,,,,91693,1.84,2.18,20.16,48,92210,-1.2,1.34,19.95,310,1996-02-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-03,454,monthly,91410,-0.91,-1.1,19.81,454,212650,-0.68,-0.89,19.93,119413,-0.49,-1.01,19.26,86757,-0.87,-1.21,18.5,73158,-1.48,-1.21,21.04,,,,,,,,,,,,,,,,,,,91102,1.97,-0.64,20.03,50,91126,-1.33,-1.18,19.71,404,1996-03-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-04,470,monthly,92394,1.8,1.08,20.03,470,213565,2.08,0.43,20.02,120395,2.01,0.82,19.41,87797,1.74,1.2,18.72,74193,1.43,1.42,21.34,,,,,,,,,,,,,,,,,,,92190,4.74,1.19,20.26,90,92089,1.36,1.06,19.92,380,1996-04-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-05,509,monthly,91059,0.89,-1.45,19.74,509,209803,0.51,-1.76,19.67,118606,1.1,-1.49,19.13,86771,1.09,-1.17,18.5,73101,0.57,-1.47,21.02,,,,,,,,,,,,,,,,,,,90313,3.36,-2.04,19.85,86,90851,0.53,-1.34,19.65,423,1996-05-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-06,554,monthly,91978,2.08,1.01,19.94,554,210758,1.56,0.45,19.76,119588,2.21,0.83,19.28,87660,2.39,1.02,18.69,74059,1.74,1.31,21.3,,,,,,,,,,,,,,,,,,,91086,4.36,0.86,20.02,136,91791,1.75,1.04,19.86,418,1996-06-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-07,643,monthly,92444,1.1,0.51,20.04,643,213806,1.12,1.45,20.04,120625,1.37,0.87,19.45,88051,1.18,0.45,18.78,74039,0.71,-0.03,21.29,,,,,,,,,,,,,,,,,,,90865,2.79,-0.24,19.97,71,92373,0.87,0.63,19.98,572,1996-07-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-08,574,monthly,95516,3.42,3.32,20.7,574,223244,4.2,4.41,20.93,124915,3.76,3.56,20.14,90736,3.16,3.05,19.35,76243,3.0,2.98,21.93,,,,,,,,,,,,,,,,,,,93663,5.31,3.08,20.59,66,95481,3.17,3.36,20.65,508,1996-08-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-09,533,monthly,97490,4.52,2.07,21.13,533,229412,5.23,2.76,21.5,127814,4.93,2.32,20.61,92853,4.38,2.33,19.8,77394,4.1,1.51,22.26,,,,,,,,,,,,,,,,,,,94737,6.35,1.15,20.82,44,97602,4.3,2.22,21.11,489,1996-09-01
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,1996-10,594,monthly,97844,5.7,0.36,21.21,594,230562,6.25,0.5,21.61,128330,6.16,0.4,20.69,93238,6.11,0.42,19.88,77599,4.94,0.27,22.32,,,,,,,,,,,,,,,,,,,95005,6.81,0.28,20.88,79,97970,5.59,0.38,21.19,515,1996-10-01
