"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-01,210,monthly,63996,-1.48,0.28,24.45,210,112485,-2.97,0.27,25.99,79710,-1.13,0.17,24.54,62113,-1.64,0.54,23.68,48923,-2.19,0.02,26.37,,,,,,,,,,,,,,,,,,,60156,0.76,1.06,23.98,6,64305,-1.63,0.23,24.46,204,1996-01-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-02,228,monthly,64504,-0.44,0.79,24.64,228,113130,-0.78,0.57,26.14,80393,-0.15,0.86,24.75,62680,-0.65,0.91,23.9,49016,-1.26,0.19,26.42,,,,,,,,,,,,,,,,,,,61047,1.69,1.48,24.34,11,64784,-0.58,0.75,24.64,217,1996-02-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-03,283,monthly,64788,0.65,0.44,24.75,283,113624,0.69,0.44,26.25,80790,1.07,0.49,24.87,62949,0.23,0.43,24.0,49181,-0.22,0.34,26.51,,,,,,,,,,,,,,,,,,,61531,2.84,0.79,24.53,11,65054,0.5,0.42,24.74,272,1996-03-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-04,291,monthly,65286,1.57,0.77,24.94,291,114231,2.03,0.53,26.39,81375,1.95,0.72,25.05,63445,1.02,0.79,24.19,49778,1.12,1.21,26.83,,,,,,,,,,,,,,,,,,,61889,3.44,0.58,24.67,15,65562,1.44,0.78,24.94,276,1996-04-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-05,344,monthly,65081,1.69,-0.31,24.86,344,113632,1.9,-0.52,26.25,81000,1.9,-0.46,24.94,63411,1.48,-0.05,24.18,49624,1.22,-0.31,26.75,,,,,,,,,,,,,,,,,,,61232,3.08,-1.06,24.41,16,65389,1.6,-0.26,24.87,328,1996-05-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-06,345,monthly,65120,1.35,0.06,24.88,345,113488,1.25,-0.13,26.22,80932,1.28,-0.08,24.92,63550,1.6,0.22,24.23,49852,1.03,0.46,26.87,,,,,,,,,,,,,,,,,,,61175,2.85,-0.09,24.39,24,65435,1.25,0.07,24.89,321,1996-06-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-07,418,monthly,65151,2.24,0.05,24.89,418,113841,2.1,0.31,26.3,81069,2.2,0.17,24.96,63514,2.46,-0.06,24.22,49587,1.96,-0.53,26.73,,,,,,,,,,,,,,,,,,,60906,3.54,-0.44,24.28,21,65488,2.15,0.08,24.91,397,1996-07-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-08,373,monthly,65960,2.37,1.24,25.2,373,115954,2.15,1.86,26.79,82143,2.46,1.33,25.29,64175,2.33,1.04,24.47,50067,2.33,0.97,26.99,,,,,,,,,,,,,,,,,,,61646,3.99,1.21,24.57,12,66303,2.26,1.24,25.22,361,1996-08-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-09,301,monthly,66501,3.09,0.82,25.41,301,117725,3.25,1.53,27.2,82863,3.23,0.88,25.51,64653,2.9,0.75,24.65,50085,2.83,0.04,27.0,,,,,,,,,,,,,,,,,,,61745,4.78,0.16,24.61,12,66875,2.97,0.86,25.44,289,1996-09-01
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,1996-10,384,monthly,66659,3.3,0.24,25.47,384,118283,3.7,0.47,27.33,83112,3.4,0.3,25.59,64738,3.29,0.13,24.69,50122,2.5,0.07,27.02,,,,,,,,,,,,,,,,,,,61805,4.34,0.1,24.64,18,67041,3.22,0.25,25.5,366,1996-10-01
