"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-01,323,monthly,81671,,,21.9,323,168188,,,22.87,95782,,,21.6,69267,,,20.91,59231,,,23.48,,,,,,,,,,,,,,,,,,,83073,,,21.92,28,81778,,,21.95,295,1995-01-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-02,326,monthly,81658,,-0.02,21.9,326,166095,,-1.24,22.58,96120,,0.35,21.68,69587,,0.46,21.0,59204,,-0.05,23.47,,,,,,,,,,,,,,,,,,,83620,,0.66,22.07,25,81730,,-0.06,21.93,301,1995-02-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-03,449,monthly,81449,,-0.26,21.84,449,165309,,-0.47,22.48,95849,,-0.28,21.62,69565,,-0.03,21.0,59025,,-0.3,23.4,,,,,,,,,,,,,,,,,,,83504,,-0.14,22.03,25,81515,,-0.26,21.88,424,1995-03-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-04,362,monthly,81124,,-0.4,21.76,362,163685,,-0.98,22.26,95534,,-0.33,21.55,69449,,-0.17,20.96,58908,,-0.2,23.35,,,,,,,,,,,,,,,,,,,83141,,-0.44,21.94,35,81192,,-0.4,21.79,327,1995-04-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-05,428,monthly,81543,,0.52,21.87,428,164788,,0.67,22.41,95975,,0.46,21.65,69795,,0.5,21.07,59178,,0.46,23.46,,,,,,,,,,,,,,,,,,,83368,,0.27,22.0,27,81623,,0.53,21.9,401,1995-05-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-06,431,monthly,82383,,1.03,22.1,431,166237,,0.88,22.6,97025,,1.09,21.89,70360,,0.81,21.24,60056,,1.48,23.81,,,,,,,,,,,,,,,,,,,84230,,1.03,22.23,18,82464,,1.03,22.13,413,1995-06-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-07,399,monthly,82899,,0.63,22.23,399,167821,,0.95,22.82,97718,,0.71,22.04,70790,,0.61,21.37,60067,,0.02,23.81,,,,,,,,,,,,,,,,,,,84672,,0.53,22.34,9,82985,,0.63,22.27,390,1995-07-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-08,453,monthly,82054,,-1.02,22.01,453,166882,,-0.56,22.69,96679,,-1.06,21.81,70038,,-1.06,21.14,59199,,-1.44,23.47,,,,,,,,,,,,,,,,,,,83600,,-1.27,22.06,19,82153,,-1.0,22.05,434,1995-08-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-09,408,monthly,81440,,-0.75,21.84,408,166481,,-0.24,22.64,95924,,-0.78,21.64,69538,,-0.71,20.99,58361,,-1.42,23.14,,,,,,,,,,,,,,,,,,,82350,,-1.5,21.73,16,81576,,-0.7,21.89,392,1995-09-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-10,392,monthly,81862,,0.52,21.96,392,167522,,0.63,22.78,96509,,0.61,21.77,69667,,0.19,21.03,58802,,0.76,23.31,,,,,,,,,,,,,,,,,,,83324,,1.18,21.99,19,81966,,0.48,22.0,373,1995-10-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-11,372,monthly,82558,,0.85,22.14,372,168593,,0.64,22.92,97410,,0.93,21.97,70048,,0.55,21.14,59672,,1.48,23.66,,,,,,,,,,,,,,,,,,,84466,,1.37,22.29,16,82636,,0.82,22.18,356,1995-11-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1995-12,399,monthly,82966,,0.49,22.25,399,168906,,0.19,22.97,97976,,0.58,22.1,70406,,0.51,21.25,60082,,0.69,23.82,,,,,,,,,,,,,,,,,,,85902,,1.7,22.67,19,82983,,0.42,22.27,380,1995-12-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-01,352,monthly,82210,0.66,-0.91,22.05,352,167369,-0.49,-0.91,22.76,97086,1.36,-0.91,21.9,69887,0.9,-0.74,21.09,59344,0.19,-1.23,23.53,,,,,,,,,,,,,,,,,,,85655,3.11,-0.29,22.6,12,82195,0.51,-0.95,22.06,340,1996-01-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-02,375,monthly,81419,-0.29,-0.96,21.84,375,165543,-0.33,-1.09,22.51,96271,0.16,-0.84,21.72,69350,-0.34,-0.77,20.93,58519,-1.16,-1.39,23.2,,,,,,,,,,,,,,,,,,,85664,2.45,0.01,22.6,8,81362,-0.45,-1.01,21.83,367,1996-02-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-03,447,monthly,81633,0.23,0.26,21.89,447,166240,0.56,0.42,22.6,96597,0.78,0.34,21.79,69447,-0.17,0.14,20.96,58592,-0.73,0.13,23.23,,,,,,,,,,,,,,,,,,,86547,3.64,1.03,22.84,10,81549,0.04,0.23,21.88,437,1996-03-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-04,441,monthly,81481,0.44,-0.19,21.85,441,165259,0.96,-0.59,22.47,96326,0.83,-0.28,21.73,69407,-0.06,-0.06,20.95,58810,-0.17,0.37,23.32,,,,,,,,,,,,,,,,,,,86373,3.89,-0.2,22.79,21,81396,0.25,-0.19,21.84,420,1996-04-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-05,578,monthly,82372,1.02,1.09,22.09,578,166600,1.1,0.81,22.65,97232,1.31,0.94,21.93,70430,0.91,1.47,21.26,59500,0.54,1.17,23.59,,,,,,,,,,,,,,,,,,,86712,4.01,0.39,22.88,14,82305,0.84,1.12,22.09,564,1996-05-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-06,485,monthly,82946,0.68,0.7,22.25,485,167316,0.65,0.43,22.75,97773,0.77,0.56,22.05,71017,0.93,0.83,21.44,60186,0.22,1.15,23.86,,,,,,,,,,,,,,,,,,,86909,3.18,0.23,22.93,12,82890,0.52,0.71,22.24,473,1996-06-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-07,645,monthly,84089,1.44,1.38,22.55,645,170499,1.6,1.9,23.18,99185,1.5,1.44,22.37,71841,1.48,1.16,21.68,60717,1.08,0.88,24.07,,,,,,,,,,,,,,,,,,,87615,3.47,0.81,23.12,10,84047,1.28,1.39,22.55,635,1996-07-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-08,635,monthly,84400,2.86,0.37,22.64,635,172488,3.36,1.17,23.45,99548,2.97,0.37,22.45,71806,2.52,-0.05,21.67,60720,2.57,0.01,24.07,,,,,,,,,,,,,,,,,,,87668,4.87,0.06,23.13,12,84366,2.69,0.38,22.64,623,1996-08-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-09,553,monthly,84676,3.97,0.33,22.71,553,174215,4.65,1.0,23.69,99888,4.13,0.34,22.53,71943,3.46,0.19,21.71,60460,3.6,-0.43,23.97,,,,,,,,,,,,,,,,,,,87243,5.94,-0.48,23.02,18,84663,3.78,0.35,22.72,535,1996-09-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-10,625,monthly,85513,4.46,0.99,22.93,625,176216,5.19,1.15,23.96,100931,4.58,1.04,22.77,72619,4.24,0.94,21.92,60897,3.56,0.72,24.14,,,,,,,,,,,,,,,,,,,88054,5.68,0.93,23.24,24,85501,4.31,0.99,22.94,601,1996-10-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-11,693,monthly,85781,3.9,0.31,23.01,693,176130,4.47,-0.05,23.95,101272,3.96,0.34,22.84,72941,4.13,0.44,22.02,61228,2.61,0.54,24.27,,,,,,,,,,,,,,,,,,,88464,4.73,0.47,23.34,17,85765,3.79,0.31,23.02,676,1996-11-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1996-12,602,monthly,86049,3.72,0.31,23.08,602,175932,4.16,-0.11,23.92,101750,3.85,0.47,22.95,73243,4.03,0.41,22.11,61457,2.29,0.38,24.36,,,,,,,,,,,,,,,,,,,88806,3.38,0.39,23.43,20,86031,3.67,0.31,23.09,582,1996-12-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1997-01,499,monthly,86846,5.64,0.93,23.29,499,177415,6.0,0.84,24.12,102688,5.77,0.92,23.16,74000,5.89,1.03,22.34,61985,4.45,0.86,24.57,,,,,,,,,,,,,,,,,,,89023,3.93,0.24,23.49,12,86846,5.66,0.95,23.31,487,1997-01-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1997-02,522,monthly,88201,8.33,1.56,23.66,522,180823,9.23,1.92,24.59,104149,8.18,1.42,23.49,75006,8.16,1.36,22.64,62926,7.53,1.52,24.95,,,,,,,,,,,,,,,,,,,90411,5.54,1.56,23.86,8,88210,8.42,1.57,23.67,514,1997-02-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1997-03,555,monthly,89765,9.96,1.77,24.07,555,184265,10.84,1.9,25.05,105731,9.45,1.52,23.85,76436,10.06,1.91,23.07,64017,9.26,1.74,25.38,,,,,,,,,,,,,,,,,,,92350,6.7,2.14,24.37,4,89776,10.09,1.77,24.09,551,1997-03-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1997-04,570,monthly,90000,10.46,0.26,24.14,570,184511,11.65,0.13,25.09,106053,10.1,0.3,23.92,76684,10.48,0.32,23.15,64166,9.11,0.23,25.44,,,,,,,,,,,,,,,,,,,93251,7.96,0.98,24.61,5,90000,10.57,0.25,24.15,565,1997-04-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1997-05,569,monthly,91230,10.75,1.37,24.47,569,187020,12.26,1.36,25.43,107849,10.92,1.69,24.33,77819,10.49,1.48,23.49,64655,8.66,0.76,25.63,,,,,,,,,,,,,,,,,,,94066,8.48,0.87,24.82,8,91237,10.85,1.37,24.48,561,1997-05-01
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,1997-06,664,monthly,92199,11.16,1.06,24.73,664,189969,13.54,1.58,25.83,109246,11.73,1.3,24.64,78565,10.63,0.96,23.71,64935,7.89,0.43,25.74,,,,,,,,,,,,,,,,,,,94373,8.59,0.33,24.9,4,92218,11.25,1.08,24.75,660,1997-06-01
