"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-01,193,monthly,119560,-1.13,0.69,15.53,193,390069,-4.14,0.25,15.05,245954,-1.04,0.49,14.01,163355,-0.75,0.74,13.83,110613,-1.16,0.71,15.92,,,,,,,,,,,,,,,,,,,113521,2.11,1.53,15.61,8,120315,-1.24,0.66,15.59,185,1996-01-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-02,181,monthly,123371,3.23,3.19,16.03,181,402974,1.45,3.31,15.55,254559,3.75,3.5,14.5,168786,3.37,3.32,14.29,114062,3.19,3.12,16.42,,,,,,,,,,,,,,,,,,,117847,6.56,3.81,16.2,10,124123,3.12,3.17,16.09,171,1996-02-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-03,214,monthly,124723,3.69,1.1,16.2,214,409380,2.58,1.59,15.8,259069,5.16,1.77,14.75,171027,4.08,1.33,14.48,115184,3.51,0.98,16.58,,,,,,,,,,,,,,,,,,,119997,7.43,1.82,16.5,7,125455,3.57,1.07,16.26,207,1996-03-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-04,260,monthly,129159,7.54,3.56,16.78,260,419276,6.58,2.42,16.18,267564,9.18,3.28,15.24,176655,7.64,3.29,14.95,119408,7.41,3.67,17.18,,,,,,,,,,,,,,,,,,,123587,10.83,2.99,16.99,2,129938,7.43,3.57,16.84,258,1996-04-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-05,287,monthly,135336,12.85,4.78,17.58,287,437085,11.27,4.25,16.86,280119,14.07,4.69,15.95,185886,13.23,5.23,15.73,125055,12.73,4.73,18.0,,,,,,,,,,,,,,,,,,,128507,15.52,3.98,17.67,1,136184,12.75,4.81,17.65,286,1996-05-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-06,282,monthly,143862,18.03,6.3,18.69,282,460973,16.8,5.47,17.79,296186,18.72,5.74,16.87,197120,18.53,6.04,16.68,133082,17.9,6.42,19.15,,,,,,,,,,,,,,,,,,,135807,20.31,5.68,18.67,6,144788,17.95,6.32,18.76,276,1996-06-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-07,355,monthly,147974,19.31,2.86,19.22,355,480852,18.89,4.31,18.55,307077,20.2,3.68,17.49,203922,19.78,3.45,17.26,136593,19.18,2.64,19.66,,,,,,,,,,,,,,,,,,,139705,21.55,2.87,19.21,9,148927,19.23,2.86,19.3,346,1996-07-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-08,340,monthly,142462,13.49,-3.73,18.51,340,469486,14.13,-2.36,18.11,297658,14.91,-3.07,16.95,197123,14.24,-3.33,16.68,131274,13.24,-3.89,18.89,,,,,,,,,,,,,,,,,,,135094,16.3,-3.3,18.57,5,143360,13.39,-3.74,18.58,335,1996-08-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-09,349,monthly,136552,13.23,-4.15,17.74,349,452405,13.24,-3.64,17.46,285867,14.09,-3.96,16.28,189547,13.57,-3.84,16.04,125712,13.17,-4.24,18.09,,,,,,,,,,,,,,,,,,,128816,16.04,-4.65,17.71,7,137434,13.13,-4.13,17.81,342,1996-09-01
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,1996-10,344,monthly,133850,13.95,-1.98,17.39,344,444535,13.96,-1.74,17.15,280594,14.96,-1.84,15.98,185630,14.69,-2.07,15.71,123221,13.78,-1.98,17.73,,,,,,,,,,,,,,,,,,,126091,15.93,-2.12,17.33,3,134720,13.88,-1.97,17.46,341,1996-10-01
