"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-01,17,monthly,108999,19.19,-14.33,13.91,17,,,,,,,,,,,,,108912,19.05,-14.4,13.95,,,,,,,,,,,,,,,,,,,114699,21.42,-13.89,14.01,9,109846,18.68,-14.43,14.21,8,1996-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-02,10,monthly,93357,13.57,-14.35,11.91,10,,,,,,,,,,,,,93217,13.44,-14.41,11.94,,,,,,,,,,,,,,,,,,,99178,17.03,-13.53,12.12,5,93908,12.82,-14.51,12.14,5,1996-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-03,17,monthly,93707,18.44,0.37,11.96,17,,,,,,,,,,,,,93528,18.29,0.33,11.98,,,,,,,,,,,,,,,,,,,100928,23.82,1.76,12.33,9,93739,16.98,-0.18,12.12,8,1996-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-04,14,monthly,120543,56.34,28.64,15.38,14,,,,,,,,,,,,,120314,56.15,28.64,15.41,,,,,,,,,,,,,,,,,,,129699,63.22,28.51,15.85,3,120690,54.57,28.75,15.61,11,1996-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-05,19,monthly,112050,32.75,-7.05,14.3,19,,,,,,,,,,,,,111838,32.52,-7.05,14.32,,,,,,,,,,,,,,,,,,,120417,38.47,-7.16,14.71,5,112303,31.37,-6.95,14.52,14,1996-05-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-06,28,monthly,114226,20.36,1.94,14.58,28,,,,,,,,,,,,,114007,20.1,1.94,14.6,,,,,,,,,,,,,,,,,,,122293,24.58,1.56,14.94,13,114850,19.61,2.27,14.85,15,1996-06-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-07,30,monthly,97547,-11.42,-14.6,12.45,30,,,,,,,,,,,,,97352,-11.6,-14.61,12.47,,,,,,,,,,,,,,,,,,,104004,-8.72,-14.96,12.71,18,98427,-11.66,-14.3,12.73,12,1996-07-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-08,25,monthly,114179,1.65,17.05,14.57,25,,,,,,,,,,,,,113948,1.49,17.05,14.59,,,,,,,,,,,,,,,,,,,121715,4.35,17.03,14.87,13,115227,1.47,17.07,14.9,12,1996-08-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-09,32,monthly,108138,3.51,-5.29,13.8,32,,,,,,,,,,,,,107910,3.36,-5.3,13.82,,,,,,,,,,,,,,,,,,,114969,6.29,-5.54,14.05,21,109378,3.49,-5.08,14.15,11,1996-09-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-10,33,monthly,98934,-8.43,-8.51,12.62,33,,,,,,,,,,,,,98727,-8.61,-8.51,12.64,,,,,,,,,,,,,,,,,,,105176,-6.61,-8.52,12.85,14,100075,-8.29,-8.51,12.94,19,1996-10-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-11,31,monthly,99707,-15.24,0.78,12.72,31,,,,,,,,,,,,,99500,-15.44,0.78,12.74,,,,,,,,,,,,,,,,,,,105884,-13.7,0.67,12.94,15,100948,-15.02,0.87,13.06,16,1996-11-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-12,26,monthly,106427,-16.35,6.74,13.58,26,,,,,,,,,,,,,106210,-16.53,6.74,13.6,,,,,,,,,,,,,,,,,,,112899,-15.24,6.62,13.79,8,107851,-15.99,6.84,13.95,18,1996-12-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-01,22,monthly,116343,6.74,9.32,14.85,22,,,,,,,,,,,,,116099,6.6,9.31,14.87,,,,,,,,,,,,,,,,,,,123130,7.35,9.06,15.04,10,118136,7.55,9.54,15.28,12,1997-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-02,37,monthly,111142,19.05,-4.47,14.18,37,,,,,,,,,,,,,110901,18.97,-4.48,14.2,,,,,,,,,,,,,,,,,,,117927,18.9,-4.23,14.41,19,112661,19.97,-4.63,14.57,18,1997-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-03,70,monthly,107488,14.71,-3.29,13.72,70,,,,,,,,,,,,,107247,14.67,-3.29,13.73,,,,,,,,,,,,,,,,,,,114285,13.23,-3.09,13.96,46,108810,16.08,-3.42,14.07,24,1997-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-04,19,monthly,108480,-10.01,0.92,13.84,19,,,,,,,,,,,,,108235,-10.04,0.92,13.86,,,,,,,,,,,,,,,,,,,115499,-10.95,1.06,14.11,6,109701,-9.1,0.82,14.19,13,1997-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-05,12,monthly,115453,3.04,6.43,14.73,12,,,,,,,,,,,,,115192,3.0,6.43,14.75,,,,,,,,,,,,,,,,,,,122507,1.74,6.07,14.97,4,117047,4.22,6.7,15.14,8,1997-05-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-06,21,monthly,118317,3.58,2.48,15.1,21,,,,,,,,,,,,,118039,3.54,2.47,15.11,,,,,,,,,,,,,,,,,,,125058,2.26,2.08,15.28,9,120297,4.74,2.78,15.56,12,1997-06-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-07,26,monthly,117034,19.98,-1.08,14.93,26,,,,,,,,,,,,,116745,19.92,-1.1,14.95,,,,,,,,,,,,,,,,,,,123223,18.48,-1.47,15.06,15,119339,21.25,-0.8,15.43,11,1997-07-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-08,9,monthly,113585,-0.52,-2.95,14.49,9,,,,,,,,,,,,,113287,-0.58,-2.96,14.51,,,,,,,,,,,,,,,,,,,119255,-2.02,-3.22,14.57,0,116064,0.73,-2.74,15.01,9,1997-08-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-09,22,monthly,115159,6.49,1.39,14.69,22,,,,,,,,,,,,,114851,6.43,1.38,14.71,,,,,,,,,,,,,,,,,,,120856,5.12,1.34,14.77,5,117711,7.62,1.42,15.22,17,1997-09-01
