"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-01,335,monthly,133843,0.61,0.34,13.7,335,339480,-2.66,-0.64,12.67,297864,-0.42,0.01,12.43,198671,-0.16,0.49,12.43,127530,0.73,0.33,13.87,,,,,,,,,,,,,,,,,,,146439,3.62,0.86,14.45,66,133913,0.02,0.23,13.75,269,1996-01-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-02,236,monthly,136229,3.62,1.78,13.95,236,344730,1.44,1.55,12.86,303692,3.04,1.96,12.67,202866,2.71,2.11,12.69,129762,3.74,1.75,14.11,,,,,,,,,,,,,,,,,,,150027,6.81,2.45,14.8,43,136126,2.99,1.65,13.97,193,1996-02-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-03,330,monthly,132810,0.42,-2.51,13.6,330,338170,-0.55,-1.9,12.62,298524,0.62,-1.7,12.45,198052,-0.47,-2.37,12.39,126470,0.52,-2.54,13.75,,,,,,,,,,,,,,,,,,,147333,4.03,-1.8,14.53,55,132549,-0.27,-2.63,13.61,275,1996-03-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-04,316,monthly,134668,0.97,1.4,13.79,316,340516,0.79,0.69,12.71,300748,1.09,0.75,12.55,199490,-0.48,0.73,12.48,128351,1.13,1.49,13.96,,,,,,,,,,,,,,,,,,,149578,4.67,1.52,14.76,53,134381,0.28,1.38,13.8,263,1996-04-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-05,393,monthly,133051,-0.64,-1.2,13.62,393,334849,-1.65,-1.66,12.49,296408,-0.96,-1.44,12.37,197419,-1.74,-1.04,12.35,126794,-0.51,-1.21,13.79,,,,,,,,,,,,,,,,,,,147064,2.46,-1.68,14.51,65,132858,-1.25,-1.13,13.64,328,1996-05-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-06,361,monthly,138852,3.19,4.36,14.22,361,345342,1.73,3.13,12.89,306892,2.81,3.54,12.8,205388,2.57,4.04,12.85,132388,3.27,4.41,14.39,,,,,,,,,,,,,,,,,,,152859,5.94,3.94,15.08,61,138726,2.62,4.42,14.24,300,1996-06-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-07,431,monthly,139436,4.49,0.42,14.28,431,352556,3.56,2.09,13.16,312587,4.97,1.86,13.04,208373,4.43,1.45,13.03,132758,4.49,0.28,14.43,,,,,,,,,,,,,,,,,,,152579,6.6,-0.18,15.05,37,139426,4.0,0.5,14.31,394,1996-07-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-08,453,monthly,144182,5.56,3.4,14.76,453,371798,6.2,5.46,13.87,327706,7.17,4.84,13.67,216903,5.89,4.09,13.57,137137,5.5,3.3,14.91,,,,,,,,,,,,,,,,,,,157841,8.09,3.45,15.57,50,144163,5.0,3.4,14.8,403,1996-08-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-09,437,monthly,142223,4.58,-1.36,14.56,437,369970,4.51,-0.49,13.8,322843,5.02,-1.48,13.47,214974,4.53,-0.89,13.45,135197,4.58,-1.41,14.7,,,,,,,,,,,,,,,,,,,154595,6.91,-2.06,15.25,69,142342,4.01,-1.26,14.61,368,1996-09-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-10,475,monthly,144137,7.15,1.35,14.76,475,376059,7.19,1.65,14.03,327071,7.58,1.31,13.65,217516,7.51,1.18,13.61,137040,7.11,1.36,14.9,,,,,,,,,,,,,,,,,,,156659,8.84,1.34,15.45,49,144260,6.7,1.35,14.81,426,1996-10-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-11,444,monthly,143427,8.87,-0.49,14.69,444,370848,9.2,-1.39,13.84,323590,9.67,-1.06,13.5,215562,9.93,-0.9,13.48,136444,8.75,-0.43,14.84,,,,,,,,,,,,,,,,,,,155880,9.92,-0.5,15.38,49,143551,8.55,-0.49,14.74,395,1996-11-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1996-12,482,monthly,147407,10.5,2.77,15.09,482,379022,10.93,2.2,14.14,333072,11.83,2.93,13.9,221080,11.82,2.56,13.83,140264,10.35,2.8,15.25,,,,,,,,,,,,,,,,,,,160493,10.54,2.96,15.83,49,147497,10.4,2.75,15.14,433,1996-12-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-01,427,monthly,150842,12.7,2.33,15.44,427,386546,13.86,1.99,14.42,340423,14.29,2.21,14.2,227142,14.33,2.74,14.21,143473,12.5,2.29,15.6,,,,,,,,,,,,,,,,,,,163474,11.63,1.86,16.13,38,151032,12.78,2.4,15.5,389,1997-01-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-02,417,monthly,153231,12.48,1.58,15.69,417,396098,14.9,2.47,14.78,345606,13.8,1.52,14.42,230691,13.72,1.56,14.43,145725,12.3,1.57,15.84,,,,,,,,,,,,,,,,,,,166387,10.9,1.78,16.41,42,153334,12.64,1.52,15.74,375,1997-02-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-03,432,monthly,158273,19.17,3.29,16.21,432,411201,21.6,3.81,15.34,357496,19.75,3.44,14.92,239018,20.68,3.61,14.95,150450,18.96,3.24,16.36,,,,,,,,,,,,,,,,,,,172409,17.02,3.62,17.01,64,158262,19.4,3.21,16.25,368,1997-03-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-04,518,monthly,161637,20.03,2.13,16.55,518,421145,23.68,2.42,15.71,367036,22.04,2.67,15.31,244130,22.38,2.14,15.27,153633,19.7,2.12,16.7,,,,,,,,,,,,,,,,,,,176889,18.26,2.6,17.45,83,161490,20.17,2.04,16.58,435,1997-04-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-05,516,monthly,166046,24.8,2.73,17.0,516,434836,29.86,3.25,16.23,381668,28.76,3.99,15.92,252643,27.97,3.49,15.8,157696,24.37,2.64,17.15,,,,,,,,,,,,,,,,,,,180846,22.97,2.24,17.84,76,166038,24.97,2.82,17.05,440,1997-05-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-06,702,monthly,164894,18.76,-0.69,16.88,702,438700,27.03,0.89,16.37,384094,25.16,0.64,16.03,253064,23.21,0.17,15.83,156444,18.17,-0.79,17.01,,,,,,,,,,,,,,,,,,,178469,16.75,-1.31,17.61,173,165070,18.99,-0.58,16.95,529,1997-06-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-07,640,monthly,165481,18.68,0.36,16.94,640,442954,25.64,0.97,16.53,386167,23.54,0.54,16.11,255567,22.65,0.99,15.99,156904,18.19,0.29,17.06,,,,,,,,,,,,,,,,,,,177886,16.59,-0.33,17.55,132,165860,18.96,0.48,17.03,508,1997-07-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-08,534,monthly,168254,16.7,1.68,17.23,534,451482,21.43,1.93,16.85,390783,19.25,1.2,16.3,259968,19.85,1.72,16.26,159534,16.33,1.68,17.35,,,,,,,,,,,,,,,,,,,180198,14.16,1.3,17.78,58,168750,17.06,1.74,17.32,476,1997-08-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-09,653,monthly,172825,21.52,2.72,17.7,653,463550,25.29,2.67,17.3,402048,24.53,2.88,16.77,267117,24.26,2.75,16.71,163861,21.2,2.71,17.82,,,,,,,,,,,,,,,,,,,185205,19.8,2.78,18.27,165,173316,21.76,2.71,17.79,488,1997-09-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-10,531,monthly,174358,20.97,0.89,17.85,531,467850,24.41,0.93,17.46,406116,24.17,1.01,16.94,268832,23.59,0.64,16.82,165346,20.66,0.91,17.98,,,,,,,,,,,,,,,,,,,186814,19.25,0.87,18.43,57,174859,21.21,0.89,17.95,474,1997-10-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-11,447,monthly,175552,22.4,0.68,17.97,447,474372,27.92,1.39,17.7,412344,27.43,1.53,17.2,271043,25.74,0.82,16.95,166434,21.98,0.66,18.1,,,,,,,,,,,,,,,,,,,188229,20.75,0.76,18.57,47,176034,22.63,0.67,18.07,400,1997-11-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1997-12,497,monthly,173978,18.03,-0.9,17.81,497,468205,23.53,-1.3,17.47,406170,21.95,-1.5,16.95,267543,21.02,-1.29,16.74,165016,17.65,-0.85,17.94,,,,,,,,,,,,,,,,,,,187344,16.73,-0.47,18.48,68,174324,18.19,-0.97,17.9,429,1997-12-01
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,1998-01,373,monthly,179527,19.02,3.19,18.38,373,486133,25.76,3.83,18.14,422922,24.23,4.12,17.64,277511,22.18,3.73,17.36,170178,18.61,3.13,18.5,,,,,,,,,,,,,,,,,,,194380,18.91,3.76,19.18,26,179708,18.99,3.09,18.45,347,1998-01-01
