"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-01,382,monthly,68006,-1.67,-0.59,23.55,382,145494,-3.02,-0.6,24.63,88141,-0.96,-0.68,23.28,62721,-1.6,-0.46,22.48,54725,-1.91,-0.94,25.5,,,,,,,,,,,,,,,,,,,67334,0.58,-0.09,24.77,7,67799,-1.74,-0.6,23.39,375,1996-01-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-02,358,monthly,68032,-1.33,0.04,23.56,358,145077,-1.53,-0.29,24.56,88261,-0.74,0.14,23.31,62804,-1.59,0.13,22.51,54536,-1.54,-0.34,25.41,,,,,,,,,,,,,,,,,,,67819,0.84,0.72,24.95,3,67807,-1.41,0.01,23.39,355,1996-02-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-03,512,monthly,68270,-0.64,0.35,23.64,512,145817,-0.35,0.51,24.68,88666,0.11,0.46,23.42,62946,-1.16,0.23,22.56,54685,-0.91,0.27,25.48,,,,,,,,,,,,,,,,,,,68501,1.99,1.01,25.2,17,68025,-0.74,0.32,23.47,495,1996-03-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-04,478,monthly,68898,0.42,0.92,23.85,478,146763,1.15,0.65,24.84,89454,1.11,0.89,23.63,63499,-0.3,0.88,22.75,55485,0.56,1.46,25.86,,,,,,,,,,,,,,,,,,,69220,3.16,1.05,25.46,23,68646,0.31,0.91,23.68,455,1996-04-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-05,594,monthly,68832,-0.02,-0.1,23.83,594,146401,0.48,-0.25,24.78,89170,0.42,-0.32,23.55,63608,-0.39,0.17,22.79,55274,-0.39,-0.38,25.76,,,,,,,,,,,,,,,,,,,68573,2.15,-0.93,25.22,23,68609,-0.09,-0.05,23.67,571,1996-05-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-06,452,monthly,69052,0.0,0.32,23.91,452,146475,0.25,0.05,24.79,89276,0.08,0.12,23.58,63888,-0.07,0.44,22.89,55643,-0.5,0.67,25.93,,,,,,,,,,,,,,,,,,,68713,2.05,0.2,25.27,17,68832,-0.07,0.33,23.75,435,1996-06-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-07,583,monthly,69400,0.37,0.5,24.03,583,147735,0.69,0.86,25.01,89844,0.52,0.64,23.73,64185,0.26,0.47,23.0,55604,-0.08,-0.07,25.91,,,,,,,,,,,,,,,,,,,68626,2.12,-0.13,25.24,26,69201,0.32,0.54,23.87,557,1996-07-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-08,617,monthly,70480,2.15,1.56,24.4,617,151195,2.6,2.34,25.59,91362,2.52,1.69,24.13,65005,1.8,1.28,23.29,56374,2.07,1.38,26.27,,,,,,,,,,,,,,,,,,,69700,4.43,1.57,25.64,10,70277,2.09,1.55,24.24,607,1996-08-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-09,558,monthly,70697,1.88,0.31,24.48,558,152807,2.7,1.07,25.86,91714,2.38,0.39,24.22,65161,1.41,0.24,23.35,56091,1.64,-0.5,26.14,,,,,,,,,,,,,,,,,,,69109,3.93,-0.85,25.42,8,70532,1.83,0.36,24.33,550,1996-09-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-10,612,monthly,71406,3.59,1.0,24.72,612,154698,4.48,1.24,26.18,92669,3.93,1.04,24.47,65789,3.34,0.96,23.57,56537,2.66,0.8,26.35,,,,,,,,,,,,,,,,,,,69674,4.7,0.82,25.63,21,71247,3.58,1.01,24.58,591,1996-10-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-11,619,monthly,71398,3.66,-0.01,24.72,619,154139,4.27,-0.36,26.09,92646,3.81,-0.02,24.47,65826,3.71,0.06,23.59,56632,2.12,0.17,26.39,,,,,,,,,,,,,,,,,,,69676,4.0,0.0,25.63,36,71238,3.67,-0.01,24.58,583,1996-11-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1996-12,660,monthly,72097,5.39,0.98,24.96,660,155005,5.9,0.56,26.24,93662,5.54,1.1,24.74,66486,5.52,1.0,23.82,57247,3.63,1.09,26.68,,,,,,,,,,,,,,,,,,,70344,4.38,0.96,25.87,38,71937,5.46,0.98,24.82,622,1996-12-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-01,528,monthly,72165,6.12,0.09,24.99,528,155021,6.55,0.01,26.24,93756,6.37,0.1,24.76,66619,6.21,0.2,23.87,57118,4.37,-0.23,26.62,,,,,,,,,,,,,,,,,,,69934,3.86,-0.58,25.72,21,72028,6.24,0.13,24.85,507,1997-01-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-02,556,monthly,72207,6.14,0.06,25.0,556,155502,7.19,0.31,26.32,93792,6.27,0.04,24.77,66599,6.04,-0.03,23.86,57100,4.7,-0.03,26.61,,,,,,,,,,,,,,,,,,,69936,3.12,0.0,25.72,29,72078,6.3,0.07,24.87,527,1997-02-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-03,604,monthly,72230,5.8,0.03,25.01,604,155672,6.76,0.11,26.35,93681,5.66,-0.12,24.74,66696,5.96,0.15,23.9,56960,4.16,-0.25,26.54,,,,,,,,,,,,,,,,,,,70103,2.34,0.24,25.79,35,72100,5.99,0.03,24.87,569,1997-03-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-04,595,monthly,73528,6.72,1.8,25.46,595,158009,7.66,1.5,26.75,95464,6.72,1.9,25.21,67917,6.96,1.83,24.34,57975,4.49,1.78,27.02,,,,,,,,,,,,,,,,,,,71659,3.52,2.22,26.36,12,73384,6.9,1.78,25.32,583,1997-04-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-05,622,monthly,74830,8.71,1.77,25.91,622,160738,9.79,1.73,27.21,97416,9.25,2.05,25.73,69158,8.73,1.83,24.78,58675,6.15,1.21,27.34,,,,,,,,,,,,,,,,,,,72481,5.7,1.15,26.66,23,74700,8.88,1.79,25.77,599,1997-05-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-06,664,monthly,76819,11.25,2.66,26.6,664,165788,13.18,3.14,28.06,100202,12.24,2.86,26.46,70935,11.03,2.57,25.42,59957,7.75,2.18,27.94,,,,,,,,,,,,,,,,,,,73726,7.3,1.72,27.12,14,76712,11.45,2.69,26.47,650,1997-06-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-07,770,monthly,78690,13.39,2.44,27.25,770,170495,15.41,2.84,28.86,102620,14.22,2.41,27.1,72727,13.31,2.53,26.06,61083,9.85,1.88,28.46,,,,,,,,,,,,,,,,,,,74616,8.73,1.21,27.45,11,78616,13.61,2.48,27.12,759,1997-07-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-08,692,monthly,80606,14.37,2.44,27.91,692,175456,16.05,2.91,29.7,105139,15.08,2.46,27.77,74433,14.5,2.35,26.67,62464,10.8,2.26,29.11,,,,,,,,,,,,,,,,,,,75956,8.98,1.8,27.94,11,80549,14.62,2.46,27.79,681,1997-08-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-09,638,monthly,81653,15.5,1.3,28.27,638,178226,16.63,1.58,30.17,106628,16.26,1.42,28.16,75322,15.59,1.2,26.99,63191,12.66,1.16,29.45,,,,,,,,,,,,,,,,,,,76865,11.22,1.2,28.27,10,81598,15.69,1.3,28.15,628,1997-09-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-10,663,monthly,82352,15.33,0.86,28.51,663,180068,16.4,1.03,30.48,107659,16.18,0.97,28.43,75835,15.27,0.68,27.17,63835,12.91,1.02,29.75,,,,,,,,,,,,,,,,,,,77729,11.56,1.12,28.59,18,82288,15.5,0.85,28.39,645,1997-10-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-11,551,monthly,83177,16.5,1.0,28.8,551,182209,18.21,1.19,30.84,108787,17.42,1.05,28.73,76596,16.36,1.0,27.45,64324,13.58,0.77,29.97,,,,,,,,,,,,,,,,,,,78689,12.94,1.23,28.94,19,83106,16.66,0.99,28.67,532,1997-11-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1997-12,553,monthly,83834,16.28,0.79,29.03,553,183153,18.16,0.52,31.0,109709,17.13,0.85,28.98,77210,16.13,0.8,27.67,64897,13.36,0.89,30.24,,,,,,,,,,,,,,,,,,,79706,13.31,1.29,29.32,20,83747,16.42,0.77,28.89,533,1997-12-01
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,1998-01,462,monthly,84643,17.29,0.97,29.31,462,185466,19.64,1.26,31.39,110638,18.01,0.85,29.22,78006,17.09,1.03,27.95,65369,14.44,0.73,30.46,,,,,,,,,,,,,,,,,,,81030,15.87,1.66,29.81,11,84534,17.36,0.94,29.16,451,1998-01-01
