"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-01,281,monthly,80214,0.41,0.65,19.45,281,185392,-1.66,0.3,19.92,108718,0.59,0.51,19.32,85149,0.4,0.88,18.26,69542,0.56,0.5,20.83,,,,,,,,,,,,,,,,,,,82833,2.85,1.24,20.9,27,79872,0.18,0.59,19.29,254,1996-01-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-02,291,monthly,80836,-0.07,0.78,19.6,291,186550,-0.66,0.62,20.05,109580,-0.09,0.79,19.48,85967,-0.09,0.96,18.43,69917,0.04,0.54,20.94,,,,,,,,,,,,,,,,,,,84119,2.21,1.55,21.23,41,80432,-0.29,0.7,19.43,250,1996-02-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-03,376,monthly,81011,-0.45,0.22,19.64,376,188084,0.09,0.82,20.21,109858,-0.36,0.25,19.53,86147,-0.58,0.21,18.47,69989,-0.44,0.1,20.97,,,,,,,,,,,,,,,,,,,84749,2.17,0.75,21.39,46,80564,-0.7,0.16,19.46,330,1996-03-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-04,359,monthly,81041,-1.4,0.04,19.65,359,187735,-0.18,-0.19,20.17,109495,-1.55,-0.33,19.46,86252,-1.54,0.12,18.49,70218,-1.19,0.33,21.03,,,,,,,,,,,,,,,,,,,84791,1.1,0.05,21.4,42,80593,-1.63,0.04,19.47,317,1996-04-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-05,429,monthly,81821,-0.31,0.96,19.84,429,189396,0.65,0.88,20.35,110409,-0.54,0.83,19.62,87385,-0.1,1.31,18.74,70681,-0.43,0.66,21.17,,,,,,,,,,,,,,,,,,,84872,1.5,0.1,21.42,50,81443,-0.48,1.05,19.67,379,1996-05-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-06,400,monthly,82562,1.14,0.91,20.02,400,189974,1.55,0.31,20.41,111197,0.86,0.71,19.76,88197,1.59,0.93,18.91,71495,0.85,1.15,21.42,,,,,,,,,,,,,,,,,,,85569,2.69,0.82,21.59,48,82188,1.0,0.91,19.85,352,1996-06-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-07,429,monthly,84005,2.01,1.75,20.37,429,194413,2.5,2.34,20.89,113615,1.94,2.18,20.19,89753,2.31,1.76,19.25,72369,1.66,1.22,21.68,,,,,,,,,,,,,,,,,,,86422,3.04,1.0,21.81,37,83690,1.93,1.83,20.22,392,1996-07-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-08,508,monthly,84824,2.56,0.97,20.57,508,197990,3.28,1.84,21.28,114964,2.67,1.19,20.43,90566,2.64,0.91,19.42,72901,2.3,0.74,21.84,,,,,,,,,,,,,,,,,,,87124,3.95,0.81,21.98,47,84520,2.45,0.99,20.42,461,1996-08-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-09,481,monthly,85674,4.47,1.0,20.78,481,201197,5.11,1.62,21.62,116178,4.46,1.06,20.65,91710,4.59,1.26,19.67,73287,4.28,0.53,21.95,,,,,,,,,,,,,,,,,,,87140,5.86,0.02,21.99,65,85454,4.36,1.11,20.64,416,1996-09-01
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,1996-10,548,monthly,85595,6.3,-0.09,20.76,548,201761,7.1,0.28,21.68,116136,6.22,-0.04,20.64,91643,6.87,-0.07,19.65,73123,5.53,-0.22,21.9,,,,,,,,,,,,,,,,,,,86965,6.9,-0.2,21.94,78,85385,6.27,-0.08,20.63,470,1996-10-01
