"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-01,324,monthly,71544,-1.34,-1.17,22.64,324,169277,-1.85,-1.28,22.82,105738,-1.01,-1.33,22.43,71247,-1.51,-1.03,21.87,56361,-1.09,-1.32,24.2,,,,,,,,,,,,,,,,,,,66129,1.14,-0.76,22.72,19,71625,-1.65,-1.22,22.6,305,1996-01-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-02,334,monthly,71070,-2.85,-0.66,22.49,334,168243,-1.8,-0.61,22.68,104986,-2.35,-0.71,22.27,70848,-3.24,-0.56,21.75,55874,-2.7,-0.86,23.99,,,,,,,,,,,,,,,,,,,65909,-0.49,-0.33,22.65,22,71119,-3.15,-0.71,22.44,312,1996-02-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-03,460,monthly,71544,-0.9,0.67,22.64,460,169961,0.63,1.02,22.91,105803,-0.17,0.78,22.44,71248,-1.48,0.56,21.87,56278,-0.64,0.72,24.17,,,,,,,,,,,,,,,,,,,66713,1.95,1.22,22.93,36,71552,-1.24,0.61,22.58,424,1996-03-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-04,381,monthly,72517,1.5,1.36,22.94,381,171555,3.24,0.94,23.12,107132,2.24,1.26,22.73,72171,0.75,1.3,22.16,57284,2.15,1.79,24.6,,,,,,,,,,,,,,,,,,,67620,4.41,1.36,23.24,34,72525,1.15,1.36,22.89,347,1996-04-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-05,452,monthly,73630,4.25,1.54,23.3,452,173434,5.06,1.1,23.38,108557,4.67,1.33,23.03,73436,3.8,1.75,22.55,58031,4.69,1.3,24.92,,,,,,,,,,,,,,,,,,,68194,6.42,0.85,23.43,41,73686,3.96,1.6,23.25,411,1996-05-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-06,444,monthly,74158,3.94,0.72,23.46,444,173715,4.28,0.16,23.42,109076,4.03,0.48,23.14,73988,3.74,0.75,22.72,58643,4.27,1.06,25.18,,,,,,,,,,,,,,,,,,,68531,5.46,0.49,23.55,58,74230,3.72,0.74,23.42,386,1996-06-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-07,531,monthly,74456,3.65,0.4,23.56,531,175523,4.33,1.04,23.66,109785,3.8,0.65,23.29,74271,3.36,0.38,22.8,58636,4.0,-0.01,25.18,,,,,,,,,,,,,,,,,,,68424,4.75,-0.16,23.51,31,74567,3.46,0.45,23.53,500,1996-07-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-08,497,monthly,75286,4.22,1.11,23.82,497,179260,5.56,2.13,24.16,111337,4.54,1.41,23.62,74936,3.64,0.9,23.01,59261,4.93,1.07,25.45,,,,,,,,,,,,,,,,,,,69296,5.99,1.28,23.81,20,75387,3.96,1.1,23.79,477,1996-08-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-09,453,monthly,75749,5.61,0.61,23.97,453,181317,6.95,1.15,24.44,112230,5.94,0.8,23.81,75472,4.95,0.71,23.17,59242,6.44,-0.03,25.44,,,,,,,,,,,,,,,,,,,69067,7.44,-0.33,23.73,27,75917,5.31,0.7,23.96,426,1996-09-01
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,1996-10,457,monthly,75934,4.95,0.24,24.02,457,182058,5.99,0.41,24.54,112546,5.12,0.28,23.87,75687,4.7,0.29,23.24,59264,5.03,0.04,25.45,,,,,,,,,,,,,,,,,,,69195,5.88,0.18,23.78,19,76107,4.76,0.25,24.02,438,1996-10-01
