"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-01,131,monthly,66327,8.21,0.7,14.13,131,116106,6.89,0.82,14.41,102425,9.12,0.28,13.26,84176,7.93,0.76,12.7,63862,8.55,0.67,14.78,,,,,,,,,,,,,,,,,,,66432,11.39,1.36,13.82,13,65228,7.89,0.64,13.96,118,1996-01-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-02,132,monthly,66988,6.02,1.0,14.27,132,117143,6.05,0.89,14.53,103622,7.13,1.17,13.42,85081,5.62,1.07,12.83,64393,6.47,0.83,14.9,,,,,,,,,,,,,,,,,,,67737,9.05,1.96,14.09,4,65821,5.72,0.91,14.08,128,1996-02-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-03,152,monthly,67707,6.47,1.07,14.42,152,119089,7.34,1.66,14.78,105196,8.36,1.52,13.62,86042,6.17,1.13,12.98,64970,6.63,0.9,15.03,,,,,,,,,,,,,,,,,,,68718,9.54,1.45,14.29,14,66505,6.17,1.04,14.23,138,1996-03-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-04,126,monthly,67062,2.95,-0.95,14.29,126,116620,3.4,-2.07,14.47,104065,4.85,-1.08,13.48,85098,2.49,-1.1,12.84,64520,3.36,-0.69,14.93,,,,,,,,,,,,,,,,,,,68307,6.2,-0.6,14.21,5,65855,2.65,-0.98,14.09,121,1996-04-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-05,122,monthly,66986,1.2,-0.11,14.27,122,116948,1.76,0.28,14.51,103815,2.47,-0.24,13.44,85248,1.05,0.18,12.86,64182,1.23,-0.52,14.85,,,,,,,,,,,,,,,,,,,67591,3.85,-1.05,14.06,4,65824,0.92,-0.05,14.08,118,1996-05-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-06,155,monthly,69124,3.29,3.19,14.73,155,120527,3.78,3.06,14.95,106691,3.81,2.77,13.82,87984,3.34,3.21,13.27,66260,3.14,3.24,15.33,,,,,,,,,,,,,,,,,,,69534,5.68,2.87,14.46,11,67938,3.03,3.21,14.54,144,1996-06-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-07,208,monthly,70785,3.5,2.4,15.08,208,124730,4.66,3.49,15.48,109691,4.05,2.81,14.2,90414,3.65,2.76,13.64,67438,3.22,1.78,15.61,,,,,,,,,,,,,,,,,,,70390,5.14,1.23,14.64,10,69627,3.28,2.48,14.9,198,1996-07-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-08,183,monthly,71789,5.42,1.42,15.29,183,126846,6.31,1.7,15.74,111507,6.38,1.66,14.44,91835,5.56,1.57,13.85,68212,5.12,1.15,15.79,,,,,,,,,,,,,,,,,,,71243,7.37,1.21,14.82,11,70624,5.16,1.43,15.11,172,1996-08-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-09,215,monthly,71817,4.46,0.04,15.3,215,126479,4.69,-0.29,15.69,111366,4.95,-0.13,14.42,91950,4.39,0.13,13.87,68174,4.6,-0.06,15.78,,,,,,,,,,,,,,,,,,,70741,6.76,-0.7,14.71,14,70688,4.14,0.09,15.13,201,1996-09-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-10,193,monthly,71158,5.23,-0.92,15.16,193,125663,5.61,-0.65,15.59,110516,5.43,-0.76,14.31,91076,5.51,-0.95,13.74,67561,4.84,-0.9,15.63,,,,,,,,,,,,,,,,,,,70172,6.71,-0.8,14.6,14,70034,5.0,-0.93,14.99,179,1996-10-01
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,1996-11,209,monthly,71090,5.73,-0.1,15.15,209,125015,6.16,-0.52,15.51,110328,5.82,-0.17,14.29,90907,6.36,-0.19,13.71,67600,4.77,0.06,15.64,,,,,,,,,,,,,,,,,,,70283,6.57,0.16,14.62,22,69955,5.57,-0.11,14.97,187,1996-11-01
