"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-01,205,monthly,126914,1.61,3.41,17.33,205,209789,0.28,3.93,17.67,198975,1.69,3.17,16.87,161502,1.88,3.56,16.04,116663,1.35,3.29,18.29,,,,,,,,,,,,,,,,,,,113161,5.38,4.11,17.29,2,128454,1.56,3.41,17.3,203,1996-01-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-02,191,monthly,129463,6.04,2.01,17.68,191,215335,5.61,2.64,18.14,203396,6.11,2.22,17.25,165033,6.29,2.19,16.39,118778,5.79,1.81,18.62,,,,,,,,,,,,,,,,,,,116104,9.9,2.6,17.74,5,131020,5.99,2.0,17.65,186,1996-02-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-03,290,monthly,134457,11.46,3.86,18.36,290,225093,11.76,4.53,18.96,212509,12.39,4.48,18.02,171621,11.82,3.99,17.04,123167,11.05,3.7,19.31,,,,,,,,,,,,,,,,,,,121372,15.91,4.54,18.54,21,136046,11.38,3.84,18.33,269,1996-03-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-04,284,monthly,131884,8.61,-1.91,18.01,284,218352,8.32,-2.99,18.39,207393,9.26,-2.41,17.58,168052,8.77,-2.08,16.69,121033,8.41,-1.73,18.98,,,,,,,,,,,,,,,,,,,119265,13.07,-1.74,18.22,9,133431,8.54,-1.92,17.97,275,1996-04-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-05,322,monthly,130970,5.25,-0.69,17.88,322,216106,5.08,-1.03,18.2,205598,5.67,-0.87,17.43,167355,5.61,-0.41,16.62,119942,4.92,-0.9,18.81,,,,,,,,,,,,,,,,,,,117638,8.96,-1.36,17.97,13,132548,5.21,-0.66,17.86,309,1996-05-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-06,307,monthly,128464,1.81,-1.91,17.54,307,210798,1.86,-2.46,17.76,200628,1.8,-2.42,17.01,163983,2.28,-2.01,16.29,117794,1.39,-1.79,18.47,,,,,,,,,,,,,,,,,,,114867,4.71,-2.36,17.55,6,130038,1.79,-1.89,17.52,301,1996-06-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-07,360,monthly,131196,5.48,2.13,17.91,360,217338,6.05,3.1,18.31,206705,6.01,3.03,17.53,168253,6.06,2.6,16.71,119760,4.97,1.67,18.78,,,,,,,,,,,,,,,,,,,116187,7.7,1.15,17.75,11,132861,5.5,2.17,17.9,349,1996-07-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-08,381,monthly,133758,8.2,1.95,18.26,381,223343,9.2,2.76,18.81,212033,9.35,2.58,17.98,172051,8.92,2.26,17.09,121744,7.55,1.66,19.09,,,,,,,,,,,,,,,,,,,118209,10.67,1.74,18.06,10,135468,8.22,1.96,18.25,371,1996-08-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-09,387,monthly,133458,8.42,-0.22,18.22,387,224686,9.65,0.6,18.93,211109,8.95,-0.44,17.9,172080,8.94,0.02,17.09,121239,8.05,-0.42,19.01,,,,,,,,,,,,,,,,,,,116951,11.03,-1.06,17.87,13,135215,8.47,-0.19,18.21,374,1996-09-01
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,1996-10,386,monthly,133292,7.98,-0.12,18.2,386,225513,9.76,0.37,19.0,210994,8.31,-0.05,17.89,171783,8.79,-0.17,17.06,121124,7.33,-0.09,18.99,,,,,,,,,,,,,,,,,,,116882,9.56,-0.06,17.86,37,135043,8.04,-0.13,18.19,349,1996-10-01
