"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-01,225,monthly,81677,7.06,0.43,17.91,225,272052,4.69,-0.31,18.05,135451,7.03,0.16,17.32,85764,6.78,0.63,16.79,74435,7.67,0.25,18.98,,,,,,,,,,,,,,,,,,,73634,9.04,0.96,17.94,3,81852,7.03,0.42,17.89,222,1996-01-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-02,248,monthly,83073,5.29,1.71,18.22,248,276131,4.28,1.5,18.32,138041,5.71,1.91,17.66,87399,4.53,1.91,17.11,75470,6.38,1.39,19.24,,,,,,,,,,,,,,,,,,,75663,7.26,2.76,18.43,5,83233,5.25,1.69,18.19,243,1996-02-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-03,297,monthly,82828,5.48,-0.3,18.17,297,280148,6.71,1.45,18.58,138257,6.56,0.16,17.68,87073,4.67,-0.37,17.05,75164,6.35,-0.41,19.17,,,,,,,,,,,,,,,,,,,76965,9.35,1.72,18.75,4,82960,5.42,-0.33,18.13,293,1996-03-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-04,256,monthly,83631,5.14,0.97,18.34,256,282269,7.14,0.76,18.73,139460,6.38,0.87,17.84,87537,3.82,0.53,17.14,76393,6.65,1.63,19.48,,,,,,,,,,,,,,,,,,,77753,9.22,1.02,18.94,2,83764,5.06,0.97,18.31,254,1996-04-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-05,292,monthly,84139,6.0,0.61,18.45,292,284856,8.09,0.92,18.9,139853,6.73,0.28,17.89,88196,5.15,0.75,17.27,76731,6.93,0.44,19.57,,,,,,,,,,,,,,,,,,,77873,9.51,0.15,18.97,5,84278,5.94,0.61,18.42,287,1996-05-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-06,288,monthly,84690,5.92,0.66,18.57,288,283815,7.42,-0.37,18.83,140189,6.27,0.24,17.93,88838,5.39,0.73,17.39,77275,6.48,0.71,19.7,,,,,,,,,,,,,,,,,,,77826,8.83,-0.06,18.96,7,84839,5.87,0.67,18.54,281,1996-06-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-07,378,monthly,84659,4.85,-0.04,18.57,378,286411,6.86,0.91,19.0,140808,5.38,0.44,18.01,89208,4.6,0.42,17.46,76620,4.95,-0.85,19.54,,,,,,,,,,,,,,,,,,,77341,6.84,-0.62,18.84,5,84816,4.8,-0.03,18.54,373,1996-07-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-08,377,monthly,84154,3.62,-0.6,18.46,377,289894,7.26,1.22,19.23,140858,4.71,0.04,18.02,88676,3.21,-0.6,17.36,75965,3.72,-0.85,19.37,,,,,,,,,,,,,,,,,,,77312,6.99,-0.04,18.84,5,84302,3.55,-0.6,18.43,372,1996-08-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-09,337,monthly,83730,1.93,-0.5,18.36,337,286773,4.03,-1.08,19.02,140402,2.83,-0.32,17.96,88268,1.45,-0.46,17.28,75542,2.32,-0.56,19.26,,,,,,,,,,,,,,,,,,,75969,4.71,-1.74,18.51,1,83893,1.87,-0.49,18.34,336,1996-09-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-10,373,monthly,85169,4.13,1.72,18.68,373,292946,5.98,2.15,19.43,142947,4.85,1.81,18.28,89746,4.04,1.68,17.57,76847,3.98,1.73,19.6,,,,,,,,,,,,,,,,,,,77407,6.3,1.89,18.86,9,85333,4.08,1.72,18.65,364,1996-10-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-11,390,monthly,87006,7.24,2.16,19.08,390,297250,8.96,1.47,19.72,145766,7.95,1.97,18.64,91597,7.59,2.06,17.93,78677,6.48,2.38,20.06,,,,,,,,,,,,,,,,,,,78933,9.25,1.97,19.23,6,87176,7.2,2.16,19.05,384,1996-11-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1996-12,368,monthly,89258,9.75,2.59,19.58,368,305696,12.01,2.84,20.28,149760,10.74,2.74,19.15,93891,10.17,2.51,18.38,80769,8.78,2.66,20.6,,,,,,,,,,,,,,,,,,,81303,11.47,3.0,19.81,2,89427,9.71,2.58,19.55,366,1996-12-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1997-01,302,monthly,90471,10.77,1.36,19.84,302,307567,13.05,0.61,20.4,151729,12.02,1.32,19.41,95292,11.11,1.49,18.65,81767,9.85,1.24,20.85,,,,,,,,,,,,,,,,,,,81672,10.92,0.45,19.9,13,90655,10.75,1.37,19.81,289,1997-01-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1997-02,334,monthly,90606,9.07,0.15,19.87,334,308097,11.58,0.17,20.44,152068,10.16,0.22,19.45,95356,9.1,0.07,18.67,81928,8.56,0.2,20.89,,,,,,,,,,,,,,,,,,,82036,8.42,0.45,19.99,14,90784,9.07,0.14,19.84,320,1997-02-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1997-03,369,monthly,91016,9.89,0.45,19.96,369,310415,10.8,0.75,20.59,152658,10.42,0.39,19.53,95966,10.21,0.64,18.79,82067,9.18,0.17,20.93,,,,,,,,,,,,,,,,,,,82650,7.39,0.75,20.14,5,91189,9.92,0.45,19.93,364,1997-03-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1997-04,355,monthly,90862,8.65,-0.17,19.93,355,311525,10.36,0.36,20.67,152836,9.59,0.12,19.55,95829,9.47,-0.14,18.76,81846,7.14,-0.27,20.87,,,,,,,,,,,,,,,,,,,83120,6.9,0.57,20.25,6,91024,8.67,-0.18,19.89,349,1997-04-01
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,1997-05,383,monthly,92976,10.5,2.33,20.39,383,319600,12.2,2.59,21.2,157171,12.38,2.84,20.1,98302,11.46,2.58,19.24,83444,8.75,1.95,21.28,,,,,,,,,,,,,,,,,,,84434,8.42,1.58,20.57,3,93153,10.53,2.34,20.36,380,1997-05-01
