"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-01,240,monthly,83216,-1.83,1.42,21.3,240,191929,-3.53,1.36,21.21,99846,-1.19,1.4,20.83,77967,-1.94,1.69,20.17,64015,-2.35,1.15,22.86,,,,,,,,,,,,,,,,,,,75681,-0.49,1.73,22.2,13,83809,-1.89,1.4,21.13,227,1996-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-02,228,monthly,83765,0.44,0.66,21.44,228,192847,0.08,0.48,21.32,100657,1.06,0.81,21.0,78579,-0.02,0.79,20.32,64159,-0.37,0.22,22.91,,,,,,,,,,,,,,,,,,,76250,1.43,0.75,22.36,7,84353,0.39,0.65,21.27,221,1996-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-03,248,monthly,84305,1.07,0.65,21.58,248,194774,1.31,1.0,21.53,101275,1.62,0.61,21.12,78985,0.32,0.52,20.43,64592,0.42,0.67,23.06,,,,,,,,,,,,,,,,,,,77517,3.12,1.66,22.74,9,84875,0.99,0.62,21.4,239,1996-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-04,255,monthly,84109,0.65,-0.23,21.53,255,193456,1.17,-0.68,21.38,100937,1.05,-0.33,21.05,78770,-0.33,-0.27,20.37,64780,0.45,0.29,23.13,,,,,,,,,,,,,,,,,,,77540,3.11,0.03,22.74,6,84674,0.56,-0.24,21.35,249,1996-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-05,311,monthly,84738,1.06,0.75,21.69,311,194357,1.16,0.47,21.48,101510,1.2,0.57,21.17,79636,0.56,1.1,20.6,65347,1.11,0.88,23.33,,,,,,,,,,,,,,,,,,,78014,3.79,0.61,22.88,6,85310,0.95,0.75,21.51,305,1996-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-06,282,monthly,85387,1.44,0.77,21.85,282,194948,1.32,0.3,21.55,102137,1.45,0.62,21.3,80375,1.36,0.93,20.79,66100,1.4,1.15,23.6,,,,,,,,,,,,,,,,,,,78363,3.84,0.45,22.98,3,85968,1.34,0.77,21.68,279,1996-06-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-07,330,monthly,86061,2.18,0.79,22.03,330,197679,2.38,1.4,21.85,103069,2.19,0.91,21.5,80979,1.99,0.75,20.94,66254,2.13,0.23,23.66,,,,,,,,,,,,,,,,,,,78244,3.87,-0.15,22.95,6,86661,2.08,0.81,21.85,324,1996-07-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-08,339,monthly,85977,1.83,-0.1,22.01,339,199374,2.43,0.86,22.04,103010,1.89,-0.06,21.49,80732,1.38,-0.31,20.88,65964,1.81,-0.44,23.55,,,,,,,,,,,,,,,,,,,78167,3.8,-0.1,22.93,3,86576,1.72,-0.1,21.83,336,1996-08-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-09,331,monthly,87203,4.3,1.43,22.32,331,203693,5.02,2.17,22.51,104587,4.41,1.53,21.82,81928,3.81,1.48,21.19,66437,4.21,0.72,23.72,,,,,,,,,,,,,,,,,,,78203,5.73,0.05,22.94,6,87833,4.18,1.45,22.15,325,1996-09-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-10,362,monthly,87899,6.55,0.8,22.5,362,205716,7.28,0.99,22.74,105450,6.63,0.83,22.0,82542,6.51,0.75,21.35,66899,6.03,0.7,23.89,,,,,,,,,,,,,,,,,,,78973,7.43,0.99,23.16,2,88531,6.46,0.8,22.32,360,1996-10-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-11,329,monthly,88481,7.58,0.66,22.65,329,206271,8.19,0.27,22.8,106124,7.64,0.64,22.14,83102,8.0,0.68,21.49,67504,6.57,0.9,24.1,,,,,,,,,,,,,,,,,,,79579,7.81,0.77,23.34,2,89115,7.52,0.66,22.47,327,1996-11-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1996-12,336,monthly,89980,9.66,1.69,23.03,336,208678,10.2,1.17,23.07,108051,9.73,1.82,22.54,84485,10.2,1.66,21.85,68673,8.51,1.73,24.52,,,,,,,,,,,,,,,,,,,81153,9.09,1.98,23.8,2,90620,9.64,1.69,22.85,334,1996-12-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1997-01,277,monthly,90164,8.35,0.21,23.08,277,208630,8.7,-0.02,23.06,108337,8.5,0.26,22.6,84825,8.8,0.4,21.94,68632,7.21,-0.06,24.5,,,,,,,,,,,,,,,,,,,80651,6.57,-0.62,23.66,1,90820,8.37,0.22,22.9,276,1997-01-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1997-02,248,monthly,91897,9.71,1.92,23.52,248,213714,10.82,2.44,23.62,110291,9.57,1.8,23.01,86299,9.82,1.74,22.32,69916,8.97,1.87,24.96,,,,,,,,,,,,,,,,,,,81731,7.19,1.34,23.97,8,92570,9.74,1.93,23.34,240,1997-02-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1997-03,307,monthly,92394,9.6,0.54,23.65,307,215715,10.75,0.94,23.84,110667,9.27,0.34,23.08,86840,9.95,0.63,22.46,70253,8.77,0.48,25.08,,,,,,,,,,,,,,,,,,,82238,6.09,0.62,24.12,20,93064,9.65,0.53,23.47,287,1997-03-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1997-04,291,monthly,94334,12.16,2.1,24.14,291,220655,14.06,2.29,24.39,112992,11.94,2.1,23.57,88583,12.46,2.01,22.91,71734,10.74,2.11,25.61,,,,,,,,,,,,,,,,,,,84257,8.66,2.45,24.71,6,95009,12.21,2.09,23.96,285,1997-04-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1997-05,342,monthly,95984,13.27,1.75,24.57,342,224793,15.66,1.88,24.85,115319,13.6,2.06,24.05,90221,13.29,1.85,23.34,72584,11.07,1.18,25.92,,,,,,,,,,,,,,,,,,,85406,9.47,1.36,25.05,2,96681,13.33,1.76,24.38,340,1997-05-01
Harrow,http://landregistry.data.gov.uk/id/region/harrow,E09000015,1997-06,377,monthly,97210,13.85,1.28,24.88,377,229147,17.54,1.94,25.33,117045,14.6,1.5,24.41,91334,13.64,1.23,23.62,73134,10.64,0.76,26.11,,,,,,,,,,,,,,,,,,,85901,9.62,0.58,25.2,19,97933,13.92,1.3,24.69,358,1997-06-01
