"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-01,236,monthly,67347,-0.96,0.9,24.25,236,130335,-1.71,0.84,24.81,79454,-0.45,0.78,24.13,60911,-1.33,1.07,23.41,48682,-1.03,0.84,26.75,,,,,,,,,,,,,,,,,,,76895,1.29,1.43,25.8,7,66646,-1.1,0.87,24.11,229,1996-01-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-02,211,monthly,68749,-0.93,2.08,24.76,211,133047,-0.55,2.08,25.32,81139,-0.6,2.12,24.64,62178,-1.43,2.08,23.9,49600,-1.1,1.89,27.26,,,,,,,,,,,,,,,,,,,78995,1.33,2.73,26.51,14,68009,-1.06,2.05,24.6,197,1996-02-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-03,291,monthly,68852,-0.74,0.15,24.79,291,133407,-0.12,0.27,25.39,81284,-0.29,0.18,24.69,62232,-1.48,0.09,23.92,49646,-0.94,0.09,27.28,,,,,,,,,,,,,,,,,,,79381,1.72,0.49,26.64,14,68098,-0.89,0.13,24.64,277,1996-03-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-04,254,monthly,68377,-1.54,-0.69,24.62,254,132172,-0.72,-0.93,25.16,80714,-1.1,-0.7,24.52,61846,-2.36,-0.62,23.77,49450,-1.37,-0.4,27.17,,,,,,,,,,,,,,,,,,,78685,0.7,-0.88,26.4,11,67634,-1.67,-0.68,24.47,243,1996-04-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-05,338,monthly,68156,-0.55,-0.32,24.54,338,131336,-0.27,-0.63,25.0,80332,-0.25,-0.47,24.4,61861,-1.01,0.02,23.78,49172,-0.38,-0.56,27.02,,,,,,,,,,,,,,,,,,,77652,0.98,-1.31,26.06,14,67445,-0.66,-0.28,24.4,324,1996-05-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-06,297,monthly,68488,0.03,0.49,24.66,297,131597,0.09,0.2,25.05,80626,0.03,0.37,24.49,62289,0.02,0.69,23.94,49628,0.41,0.93,27.27,,,,,,,,,,,,,,,,,,,77869,1.28,0.28,26.13,11,67780,-0.06,0.5,24.52,286,1996-06-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-07,347,monthly,69236,0.81,1.09,24.93,347,133483,1.02,1.43,25.41,81562,0.83,1.16,24.77,62890,0.71,0.96,24.17,49840,1.08,0.43,27.39,,,,,,,,,,,,,,,,,,,78325,1.81,0.59,26.28,12,68535,0.72,1.11,24.79,335,1996-07-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-08,429,monthly,69854,1.2,0.89,25.15,429,135591,1.8,1.58,25.81,82302,1.32,0.91,25.0,63321,0.82,0.69,24.34,49972,1.42,0.26,27.46,,,,,,,,,,,,,,,,,,,79019,2.52,0.89,26.52,25,69147,1.1,0.89,25.02,404,1996-08-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-09,320,monthly,70792,3.94,1.34,25.49,320,138145,4.77,1.88,26.29,83399,4.13,1.33,25.33,64130,3.37,1.28,24.65,50143,4.08,0.34,27.56,,,,,,,,,,,,,,,,,,,79440,5.42,0.53,26.66,13,70100,3.81,1.38,25.36,307,1996-09-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-10,369,monthly,71004,5.31,0.3,25.57,369,138878,6.13,0.53,26.43,83682,5.35,0.34,25.42,64253,5.02,0.19,24.7,50182,4.71,0.08,27.58,,,,,,,,,,,,,,,,,,,79656,6.04,0.27,26.73,11,70311,5.22,0.3,25.44,358,1996-10-01
Havering,http://landregistry.data.gov.uk/id/region/havering,E09000016,1996-11,386,monthly,70651,6.75,-0.5,25.44,386,137816,7.44,-0.77,26.23,83300,6.68,-0.46,25.3,63937,6.78,-0.49,24.57,50110,5.4,-0.14,27.54,,,,,,,,,,,,,,,,,,,79314,6.83,-0.43,26.61,11,69959,6.7,-0.5,25.31,375,1996-11-01
