"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-01,300,monthly,72869,-1.31,0.17,22.04,300,143550,-2.33,0.3,22.71,86837,-0.57,0.11,21.78,66398,-1.52,0.36,21.13,52273,-2.08,-0.16,23.33,,,,,,,,,,,,,,,,,,,77275,1.35,0.61,22.12,19,72252,-1.48,0.14,21.91,281,1996-01-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-02,266,monthly,74778,-0.34,2.62,22.62,266,147170,-0.21,2.52,23.28,89240,0.27,2.77,22.38,68170,-0.84,2.67,21.69,53394,-1.47,2.14,23.83,,,,,,,,,,,,,,,,,,,79862,1.75,3.35,22.87,14,74112,-0.47,2.57,22.47,252,1996-02-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-03,361,monthly,74650,0.62,-0.17,22.58,361,147363,1.28,0.13,23.31,89066,1.2,-0.2,22.34,67953,-0.21,-0.32,21.62,53309,-0.39,-0.16,23.79,,,,,,,,,,,,,,,,,,,80163,3.08,0.38,22.95,15,73963,0.47,-0.2,22.43,346,1996-03-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-04,318,monthly,75171,1.7,0.7,22.74,318,147892,2.51,0.36,23.39,89667,2.21,0.68,22.49,68414,0.72,0.68,21.77,53943,1.07,1.19,24.07,,,,,,,,,,,,,,,,,,,80744,4.01,0.73,23.12,16,74478,1.56,0.7,22.58,302,1996-04-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-05,404,monthly,74454,1.83,-0.95,22.52,404,146272,2.42,-1.1,23.14,88630,2.05,-1.16,22.23,67998,1.27,-0.61,21.64,53493,1.48,-0.83,23.87,,,,,,,,,,,,,,,,,,,79442,3.9,-1.61,22.74,17,73793,1.69,-0.92,22.37,387,1996-05-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-06,408,monthly,74621,0.83,0.22,22.57,408,146206,1.2,-0.05,23.13,88654,0.76,0.03,22.24,68303,0.8,0.45,21.73,53876,0.62,0.71,24.04,,,,,,,,,,,,,,,,,,,79409,2.74,-0.04,22.74,33,73968,0.7,0.24,22.43,375,1996-06-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-07,413,monthly,75309,0.85,0.92,22.78,413,148139,1.34,1.32,23.43,89526,0.77,0.98,22.45,68880,0.75,0.84,21.92,54113,0.72,0.44,24.15,,,,,,,,,,,,,,,,,,,79699,2.44,0.37,22.82,21,74671,0.74,0.95,22.64,392,1996-07-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-08,465,monthly,76170,1.6,1.14,23.04,465,150874,2.21,1.85,23.87,90566,1.62,1.16,22.71,69489,1.26,0.88,22.11,54563,1.52,0.83,24.35,,,,,,,,,,,,,,,,,,,80632,3.65,1.17,23.09,17,75523,1.46,1.14,22.9,448,1996-08-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-09,453,monthly,76586,3.71,0.55,23.17,453,152730,4.58,1.23,24.16,91106,3.81,0.6,22.85,69853,3.25,0.52,22.23,54378,3.35,-0.34,24.27,,,,,,,,,,,,,,,,,,,80285,5.6,-0.43,22.99,23,75974,3.56,0.6,23.04,430,1996-09-01
Hillingdon,http://landregistry.data.gov.uk/id/region/hillingdon,E09000017,1996-10,489,monthly,77180,5.74,0.78,23.34,489,154227,6.77,0.98,24.4,91855,5.78,0.82,23.04,70343,5.52,0.7,22.38,54674,4.86,0.55,24.4,,,,,,,,,,,,,,,,,,,80855,6.82,0.71,23.15,19,76565,5.63,0.78,23.22,470,1996-10-01
