"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-01,128,monthly,89406,-3.36,-1.85,14.51,128,214237,-3.41,-1.92,13.86,141581,-2.65,-2.19,13.14,120296,-3.28,-1.76,12.78,83094,-3.52,-1.86,15.09,,,,,,,,,,,,,,,,,,,80451,-0.53,-1.11,14.45,4,89888,-3.51,-1.89,14.46,124,1996-01-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-02,129,monthly,89930,-4.68,0.59,14.59,129,217080,-3.5,1.33,14.05,142811,-3.67,0.87,13.25,121158,-4.65,0.72,12.87,83460,-4.87,0.44,15.16,,,,,,,,,,,,,,,,,,,81623,-1.88,1.46,14.67,10,90372,-4.83,0.54,14.54,119,1996-02-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-03,164,monthly,90158,-3.54,0.25,14.63,164,220729,-1.11,1.68,14.28,144117,-1.66,0.91,13.37,121827,-3.17,0.55,12.94,83463,-4.04,0.0,15.16,,,,,,,,,,,,,,,,,,,82398,-0.41,0.95,14.8,5,90569,-3.7,0.22,14.57,159,1996-03-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-04,164,monthly,94201,0.92,4.48,15.28,164,230241,3.55,4.31,14.9,150443,3.0,4.39,13.96,127262,1.3,4.46,13.52,87228,0.37,4.51,15.84,,,,,,,,,,,,,,,,,,,86108,4.11,4.5,15.47,5,94631,0.75,4.48,15.22,159,1996-04-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-05,162,monthly,97260,3.09,3.25,15.78,162,238789,5.91,3.71,15.45,155343,4.66,3.26,14.42,132219,4.0,3.9,14.05,89811,2.42,2.96,16.31,,,,,,,,,,,,,,,,,,,88133,5.59,2.35,15.83,3,97741,2.95,3.29,15.72,159,1996-05-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-06,201,monthly,99610,2.24,2.42,16.16,201,243219,5.08,1.86,15.74,158425,3.21,1.98,14.7,135351,3.28,2.37,14.38,92060,1.56,2.5,16.72,,,,,,,,,,,,,,,,,,,89862,4.49,1.96,16.15,17,100121,2.11,2.44,16.1,184,1996-06-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-07,265,monthly,100538,1.58,0.93,16.31,265,247033,4.58,1.57,15.98,160899,2.68,1.56,14.93,137225,2.6,1.38,14.58,92645,0.98,0.64,16.83,,,,,,,,,,,,,,,,,,,89995,3.2,0.15,16.17,4,101088,1.47,0.97,16.26,261,1996-07-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-08,233,monthly,100572,1.64,0.03,16.32,233,249673,5.45,1.07,16.15,161953,3.46,0.66,15.03,137738,2.77,0.37,14.63,92448,0.93,-0.21,16.79,,,,,,,,,,,,,,,,,,,90011,3.74,0.02,16.17,8,101124,1.51,0.03,16.26,225,1996-08-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-09,210,monthly,99715,0.13,-0.85,16.18,210,247687,3.3,-0.8,16.03,160482,1.33,-0.91,14.89,136698,0.85,-0.76,14.52,91628,-0.2,-0.89,16.64,,,,,,,,,,,,,,,,,,,88669,2.49,-1.49,15.93,6,100290,-0.02,-0.82,16.13,204,1996-09-01
Islington,http://landregistry.data.gov.uk/id/region/islington,E09000019,1996-10,217,monthly,100372,2.86,0.66,16.29,217,251050,6.51,1.36,16.24,161858,4.04,0.86,15.02,137569,4.0,0.64,14.62,92207,2.27,0.63,16.75,,,,,,,,,,,,,,,,,,,89276,4.63,0.68,16.04,7,100950,2.74,0.66,16.24,210,1996-10-01
