"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-01,257,monthly,198312,8.55,-1.2,15.1,257,532045,5.26,-0.98,15.39,491921,7.83,-1.36,13.99,333400,7.82,-0.81,13.68,177509,8.83,-1.32,15.52,,,,,,,,,,,,,,,,,,,169394,12.32,-0.68,15.55,0,201058,8.5,-1.21,15.11,257,1996-01-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-02,220,monthly,195950,7.46,-1.19,14.92,220,531155,6.02,-0.17,15.37,487926,7.31,-0.81,13.87,330723,6.66,-0.8,13.57,175112,7.72,-1.35,15.31,,,,,,,,,,,,,,,,,,,168473,11.06,-0.54,15.46,0,198648,7.42,-1.2,14.93,220,1996-02-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-03,293,monthly,197477,7.98,0.78,15.04,293,532235,5.37,0.2,15.4,493910,8.26,1.23,14.04,333977,6.95,0.98,13.7,176356,8.31,0.71,15.42,,,,,,,,,,,,,,,,,,,170965,11.97,1.48,15.69,4,200179,7.93,0.77,15.04,289,1996-03-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-04,324,monthly,201218,9.25,1.89,15.32,324,531737,5.4,-0.09,15.38,498259,9.07,0.88,14.17,336687,7.16,0.81,13.81,180337,9.92,2.26,15.77,,,,,,,,,,,,,,,,,,,174037,13.11,1.8,15.97,6,203974,9.21,1.9,15.33,318,1996-04-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-05,366,monthly,202341,5.68,0.56,15.41,366,527196,1.19,-0.85,15.25,495980,4.35,-0.46,14.1,337857,3.85,0.35,13.86,181521,6.29,0.66,15.87,,,,,,,,,,,,,,,,,,,173815,8.84,-0.13,15.95,3,205129,5.64,0.57,15.41,363,1996-05-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-06,305,monthly,199343,1.05,-1.48,15.18,305,514880,-2.34,-2.34,14.9,484019,-0.52,-2.41,13.76,331500,-0.02,-1.88,13.6,179095,1.4,-1.34,15.66,,,,,,,,,,,,,,,,,,,170437,3.65,-1.94,15.64,2,202102,1.02,-1.48,15.18,303,1996-06-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-07,440,monthly,207443,4.79,4.06,15.79,440,545690,2.91,5.98,15.79,512734,4.54,5.93,14.58,350245,4.97,5.65,14.37,185447,4.74,3.55,16.22,,,,,,,,,,,,,,,,,,,176098,6.79,3.32,16.16,0,210333,4.77,4.07,15.8,440,1996-07-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-08,426,monthly,209218,5.65,0.86,15.93,426,555533,3.91,1.8,16.07,523939,6.63,2.19,14.9,356615,6.49,1.82,14.63,186437,5.38,0.53,16.3,,,,,,,,,,,,,,,,,,,177389,7.87,0.73,16.28,12,212135,5.62,0.86,15.94,414,1996-08-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-09,411,monthly,220388,11.84,5.34,16.78,411,594718,10.84,7.05,17.2,554768,12.56,5.88,15.78,377108,12.39,5.75,15.47,196114,11.69,5.19,17.15,,,,,,,,,,,,,,,,,,,185402,14.06,4.52,17.02,3,223482,11.82,5.35,16.79,408,1996-09-01
Kensington and Chelsea,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,1996-10,364,monthly,217286,8.64,-1.41,16.54,364,585724,7.49,-1.51,16.94,545603,8.9,-1.65,15.51,370226,9.19,-1.82,15.19,193606,8.48,-1.28,16.93,,,,,,,,,,,,,,,,,,,182799,9.79,-1.4,16.78,5,220336,8.63,-1.41,16.55,359,1996-10-01
