"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-01,213,monthly,80876,,,18.94,213,163184,,,19.39,102574,,,18.6,74437,,,18.13,62396,,,19.93,,,,,,,,,,,,,,,,,,,81667,,,18.47,25,81571,,,19.12,188,1995-01-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-02,185,monthly,81230,,0.44,19.03,185,162178,,-0.62,19.27,103162,,0.57,18.7,75135,,0.94,18.3,62652,,0.41,20.01,,,,,,,,,,,,,,,,,,,82577,,1.11,18.67,29,81820,,0.31,19.18,156,1995-02-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-03,221,monthly,81111,,-0.15,19.0,221,161687,,-0.3,19.21,102965,,-0.19,18.67,75164,,0.04,18.31,62556,,-0.15,19.98,,,,,,,,,,,,,,,,,,,82672,,0.12,18.7,23,81658,,-0.2,19.14,198,1995-03-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-04,194,monthly,81673,,0.69,19.13,194,161860,,0.11,19.23,103610,,0.63,18.78,75780,,0.82,18.46,63149,,0.95,20.17,,,,,,,,,,,,,,,,,,,83256,,0.71,18.83,21,82221,,0.69,19.27,173,1995-04-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-05,229,monthly,82124,,0.55,19.24,229,162865,,0.62,19.35,104066,,0.44,18.87,76131,,0.46,18.54,63600,,0.72,20.31,,,,,,,,,,,,,,,,,,,83637,,0.46,18.91,38,82690,,0.57,19.38,191,1995-05-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-06,262,monthly,82206,,0.1,19.26,262,162528,,-0.21,19.31,104094,,0.03,18.87,75963,,-0.22,18.5,63957,,0.56,20.43,,,,,,,,,,,,,,,,,,,83669,,0.04,18.92,46,82783,,0.11,19.4,216,1995-06-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-07,261,monthly,82526,,0.39,19.33,261,163779,,0.77,19.46,104708,,0.59,18.98,76343,,0.5,18.6,63895,,-0.1,20.41,,,,,,,,,,,,,,,,,,,83942,,0.33,18.98,27,83116,,0.4,19.48,234,1995-07-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-08,278,monthly,83343,,0.99,19.52,278,166239,,1.5,19.75,105924,,1.16,19.2,77134,,1.04,18.79,64229,,0.52,20.51,,,,,,,,,,,,,,,,,,,84525,,0.7,19.11,34,83987,,1.05,19.68,244,1995-08-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-09,267,monthly,85111,,2.12,19.94,267,170613,,2.63,20.27,108332,,2.27,19.64,78894,,2.28,19.22,65248,,1.59,20.84,,,,,,,,,,,,,,,,,,,85762,,1.46,19.39,35,85879,,2.25,20.13,232,1995-09-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-10,232,monthly,85727,,0.72,20.08,232,172092,,0.87,20.45,109075,,0.69,19.78,79140,,0.31,19.28,65903,,1.0,21.05,,,,,,,,,,,,,,,,,,,86915,,1.34,19.65,39,86396,,0.6,20.25,193,1995-10-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-11,259,monthly,84557,,-1.36,19.81,259,169074,,-1.75,20.09,107515,,-1.43,19.49,77740,,-1.77,18.94,65368,,-0.81,20.88,,,,,,,,,,,,,,,,,,,86118,,-0.92,19.47,53,85141,,-1.45,19.95,206,1995-11-01
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,1995-12,270,monthly,83584,,-1.15,19.58,270,166813,,-1.34,19.82,106197,,-1.23,19.25,76752,,-1.27,18.7,64786,,-0.89,20.69,,,,,,,,,,,,,,,,,,,86068,,-0.06,19.46,80,83977,,-1.37,19.68,190,1995-12-01
