"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-01,234,monthly,68780,1.49,2.35,15.59,234,149156,-0.6,1.7,15.62,113632,1.42,2.12,14.73,87213,1.27,2.5,14.37,63263,1.82,2.31,16.35,,,,,,,,,,,,,,,,,,,73185,5.46,2.73,16.49,11,68529,1.31,2.33,15.53,223,1996-01-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-02,227,monthly,72306,10.59,5.13,16.39,227,156393,9.72,4.85,16.38,119652,10.57,5.3,15.51,91744,9.99,5.2,15.12,66423,11.19,4.99,17.17,,,,,,,,,,,,,,,,,,,77470,14.8,5.85,17.46,4,71992,10.36,5.05,16.32,223,1996-02-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-03,322,monthly,71762,8.18,-0.75,16.26,322,155784,8.51,-0.39,16.32,119190,8.88,-0.39,15.45,91078,7.62,-0.73,15.01,65835,8.49,-0.88,17.02,,,,,,,,,,,,,,,,,,,77091,12.22,-0.49,17.37,29,71419,7.92,-0.8,16.19,293,1996-03-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-04,307,monthly,71664,7.95,-0.14,16.24,307,155398,9.45,-0.25,16.27,118598,8.52,-0.5,15.38,90690,7.06,-0.43,14.94,65944,8.46,0.16,17.05,,,,,,,,,,,,,,,,,,,77219,12.03,0.17,17.4,23,71284,7.64,-0.19,16.16,284,1996-04-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-05,439,monthly,71386,3.41,-0.39,16.18,439,154848,4.4,-0.35,16.22,117972,3.74,-0.53,15.3,90773,3.16,0.09,14.96,65468,3.49,-0.72,16.92,,,,,,,,,,,,,,,,,,,76313,6.2,-1.17,17.2,52,71107,3.27,-0.25,16.12,387,1996-05-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-06,412,monthly,73469,6.66,2.92,16.65,412,158327,6.89,2.25,16.58,121102,6.64,2.65,15.7,93535,6.84,3.04,15.41,67370,6.47,2.91,17.41,,,,,,,,,,,,,,,,,,,78273,9.01,2.57,17.64,81,73225,6.59,2.98,16.6,331,1996-06-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-07,489,monthly,73809,6.03,0.46,16.73,489,159891,5.9,0.99,16.75,122597,6.47,1.23,15.9,94501,6.45,1.03,15.57,67267,5.69,-0.15,17.39,,,,,,,,,,,,,,,,,,,77759,7.35,-0.66,17.52,59,73708,6.16,0.66,16.7,430,1996-07-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-08,442,monthly,72820,5.78,-1.34,16.5,442,158894,5.81,-0.62,16.64,121582,6.64,-0.83,15.76,93433,6.22,-1.13,15.39,66169,5.39,-1.63,17.1,,,,,,,,,,,,,,,,,,,76460,7.55,-1.67,17.23,50,72764,5.94,-1.28,16.49,392,1996-08-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-09,384,monthly,72935,3.96,0.16,16.53,384,160511,4.01,1.02,16.81,121817,4.55,0.19,15.79,93707,4.21,0.29,15.44,66174,3.86,0.01,17.11,,,,,,,,,,,,,,,,,,,76029,5.95,-0.56,17.13,47,72971,4.2,0.28,16.54,337,1996-09-01
Lambeth,http://landregistry.data.gov.uk/id/region/lambeth,E09000022,1996-10,455,monthly,72307,3.86,-0.86,16.39,455,160128,4.39,-0.24,16.77,120934,4.46,-0.73,15.68,92835,4.51,-0.93,15.29,65602,3.36,-0.86,16.96,,,,,,,,,,,,,,,,,,,75434,4.9,-0.78,17.0,49,72332,4.13,-0.88,16.39,406,1996-10-01
