"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-01,250,monthly,57838,-4.39,0.24,16.99,250,119083,-6.45,-0.1,17.91,89506,-4.22,-0.02,16.68,64177,-4.64,0.41,16.24,51967,-3.47,0.05,18.1,,,,,,,,,,,,,,,,,,,56512,-1.83,0.91,17.63,38,57846,-4.68,0.16,16.92,212,1996-01-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-02,242,monthly,58274,-4.26,0.75,17.12,242,119305,-4.88,0.19,17.94,90246,-3.96,0.83,16.81,64737,-4.75,0.87,16.38,52190,-3.0,0.43,18.18,,,,,,,,,,,,,,,,,,,57329,-1.61,1.44,17.89,45,58235,-4.57,0.67,17.03,197,1996-02-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-03,321,monthly,58483,-2.99,0.36,17.18,321,119600,-3.22,0.25,17.99,90770,-2.27,0.58,16.91,64938,-3.61,0.31,16.43,52366,-1.75,0.34,18.24,,,,,,,,,,,,,,,,,,,57830,-0.04,0.87,18.05,52,58409,-3.33,0.3,17.08,269,1996-03-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-04,305,monthly,59520,0.08,1.77,17.49,305,121182,0.49,1.32,18.23,92214,0.79,1.59,17.18,65972,-0.8,1.59,16.69,53669,1.97,2.49,18.69,,,,,,,,,,,,,,,,,,,58807,3.06,1.69,18.35,39,59451,-0.26,1.78,17.39,266,1996-04-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-05,345,monthly,60173,2.77,1.1,17.68,345,122526,2.8,1.11,18.43,92996,3.1,0.85,17.33,66837,2.33,1.31,16.91,54038,3.74,0.69,18.82,,,,,,,,,,,,,,,,,,,58965,4.97,0.27,18.4,51,60167,2.53,1.2,17.6,294,1996-05-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-06,341,monthly,60284,3.86,0.18,17.71,341,122411,3.47,-0.09,18.41,92912,3.73,-0.09,17.31,67003,3.78,0.25,16.95,54174,4.22,0.25,18.87,,,,,,,,,,,,,,,,,,,59002,5.89,0.06,18.41,75,60287,3.64,0.2,17.63,266,1996-06-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-07,380,monthly,60187,3.54,-0.16,17.68,380,122772,3.12,0.29,18.46,93068,3.54,0.17,17.34,67027,3.61,0.04,16.96,53621,3.45,-1.02,18.68,,,,,,,,,,,,,,,,,,,58585,5.13,-0.71,18.28,37,60232,3.38,-0.09,17.61,343,1996-07-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-08,372,monthly,59695,2.65,-0.82,17.54,372,122370,1.94,-0.33,18.4,92534,2.89,-0.57,17.24,66433,2.53,-0.89,16.81,53151,2.97,-0.88,18.51,,,,,,,,,,,,,,,,,,,58231,4.99,-0.6,18.17,32,59724,2.4,-0.84,17.47,340,1996-08-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-09,334,monthly,60733,3.39,1.74,17.84,334,125362,2.84,2.45,18.85,94201,3.54,1.8,17.55,67620,3.21,1.79,17.11,53922,3.95,1.45,18.78,,,,,,,,,,,,,,,,,,,58755,5.77,0.9,18.33,46,60826,3.14,1.85,17.79,288,1996-09-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-10,395,monthly,60855,4.79,0.2,17.88,395,125977,4.31,0.49,18.95,94487,4.8,0.3,17.6,67726,4.87,0.16,17.14,54034,4.72,0.21,18.82,,,,,,,,,,,,,,,,,,,58814,6.25,0.1,18.35,45,60957,4.65,0.21,17.83,350,1996-10-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-11,429,monthly,61187,5.36,0.54,17.98,429,126250,4.84,0.22,18.99,94926,5.3,0.46,17.69,68081,5.74,0.52,17.23,54416,4.45,0.71,18.95,,,,,,,,,,,,,,,,,,,59080,6.04,0.45,18.44,63,61296,5.31,0.56,17.93,366,1996-11-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1996-12,420,monthly,61411,6.43,0.37,18.04,420,126336,5.99,0.07,19.0,95403,6.56,0.5,17.77,68296,6.85,0.31,17.28,54665,5.24,0.46,19.04,,,,,,,,,,,,,,,,,,,59301,5.89,0.37,18.5,49,61520,6.52,0.37,17.99,371,1996-12-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-01,315,monthly,61488,6.31,0.13,18.07,315,126205,5.98,-0.1,18.98,95440,6.63,0.04,17.78,68475,6.7,0.26,17.33,54579,5.03,-0.16,19.01,,,,,,,,,,,,,,,,,,,58976,4.36,-0.55,18.4,16,61651,6.58,0.21,18.03,299,1997-01-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-02,306,monthly,62432,7.14,1.53,18.34,306,128370,7.6,1.72,19.31,96884,7.36,1.51,18.05,69454,7.29,1.43,17.57,55470,6.28,1.63,19.32,,,,,,,,,,,,,,,,,,,59970,4.61,1.68,18.71,23,62594,7.49,1.53,18.31,283,1997-02-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-03,390,monthly,63214,8.09,1.25,18.57,390,129890,8.6,1.18,19.53,97869,7.82,1.02,18.23,70450,8.49,1.43,17.83,55972,6.88,0.9,19.5,,,,,,,,,,,,,,,,,,,60930,5.36,1.6,19.01,29,63360,8.48,1.22,18.53,361,1997-03-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-04,348,monthly,63627,6.9,0.65,18.69,348,130522,7.71,0.49,19.63,98596,6.92,0.74,18.37,70910,7.48,0.65,17.94,56317,4.93,0.62,19.62,,,,,,,,,,,,,,,,,,,61647,4.83,1.18,19.24,38,63737,7.21,0.59,18.64,310,1997-04-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-05,410,monthly,64257,6.79,0.99,18.88,410,131821,7.59,1.0,19.83,99889,7.41,1.31,18.61,71746,7.34,1.18,18.15,56575,4.69,0.46,19.71,,,,,,,,,,,,,,,,,,,61956,5.07,0.5,19.33,37,64403,7.04,1.04,18.83,373,1997-05-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-06,450,monthly,64964,7.76,1.1,19.09,450,134045,9.5,1.69,20.16,101425,9.16,1.54,18.9,72590,8.34,1.18,18.37,56948,5.12,0.66,19.84,,,,,,,,,,,,,,,,,,,62126,5.29,0.27,19.39,41,65170,8.1,1.19,19.06,409,1997-06-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-07,549,monthly,66950,11.24,3.06,19.67,549,138522,12.83,3.34,20.83,104631,12.42,3.16,19.49,74893,11.74,3.17,18.95,58519,9.13,2.76,20.38,,,,,,,,,,,,,,,,,,,63266,7.99,1.83,19.74,54,67252,11.65,3.19,19.67,495,1997-07-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-08,479,monthly,68313,14.44,2.03,20.07,479,141963,16.01,2.48,21.35,106927,15.55,2.2,19.92,76397,15.0,2.01,19.33,59663,12.25,1.95,20.78,,,,,,,,,,,,,,,,,,,64105,10.09,1.33,20.0,22,68672,14.98,2.11,20.08,457,1997-08-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-09,437,monthly,68944,13.52,0.92,20.26,437,143132,14.17,0.82,21.53,108014,14.66,1.02,20.12,77044,13.94,0.85,19.49,60273,11.78,1.02,20.99,,,,,,,,,,,,,,,,,,,64532,9.83,0.67,20.14,32,69326,13.97,0.95,20.27,405,1997-09-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-10,478,monthly,69318,13.91,0.54,20.37,478,144210,14.47,0.75,21.69,108711,15.05,0.65,20.25,77389,14.27,0.45,19.58,60661,12.26,0.64,21.13,,,,,,,,,,,,,,,,,,,65050,10.6,0.8,20.3,54,69682,14.31,0.51,20.38,424,1997-10-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-11,413,monthly,69405,13.43,0.13,20.39,413,144568,14.51,0.25,21.74,108933,14.76,0.2,20.3,77522,13.87,0.17,19.61,60650,11.46,-0.02,21.13,,,,,,,,,,,,,,,,,,,65209,10.37,0.24,20.35,39,69760,13.81,0.11,20.4,374,1997-11-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1997-12,420,monthly,70897,15.45,2.15,20.83,420,147712,16.92,2.17,22.22,111335,16.7,2.21,20.74,79140,15.88,2.09,20.02,62007,13.43,2.24,21.6,,,,,,,,,,,,,,,,,,,66943,12.89,2.66,20.89,34,71222,15.77,2.1,20.83,386,1997-12-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-01,322,monthly,72382,17.72,2.09,21.27,322,151048,19.69,2.26,22.72,113537,18.96,1.98,21.15,80916,18.17,2.24,20.47,63162,15.73,1.86,22.0,,,,,,,,,,,,,,,,,,,68718,16.52,2.65,21.44,30,72670,17.87,2.03,21.25,292,1998-01-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-02,340,monthly,73373,17.52,1.37,21.56,340,151938,18.36,0.59,22.85,114591,18.28,0.93,21.35,81870,17.88,1.18,20.71,64280,15.88,1.77,22.39,,,,,,,,,,,,,,,,,,,70591,17.71,2.73,22.03,29,73580,17.55,1.25,21.52,311,1998-02-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-03,378,monthly,73598,16.43,0.31,21.62,378,152094,17.09,0.1,22.87,114734,17.23,0.13,21.38,82087,16.52,0.26,20.77,64491,15.22,0.33,22.46,,,,,,,,,,,,,,,,,,,71373,17.14,1.11,22.27,30,73765,16.42,0.25,21.57,348,1998-03-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-04,388,monthly,74803,17.57,1.64,21.98,388,154104,18.07,1.32,23.18,116912,18.58,1.9,21.78,83350,17.54,1.54,21.09,65588,16.46,1.7,22.85,,,,,,,,,,,,,,,,,,,72703,17.93,1.86,22.69,36,74961,17.61,1.62,21.92,352,1998-04-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-05,422,monthly,75874,18.08,1.43,22.29,422,156669,18.85,1.66,23.56,118764,18.9,1.58,22.13,84742,18.11,1.67,21.44,66292,17.18,1.07,23.09,,,,,,,,,,,,,,,,,,,73204,18.15,0.69,22.84,19,76075,18.12,1.49,22.25,403,1998-05-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-06,388,monthly,76541,17.82,0.88,22.49,388,157920,17.81,0.8,23.75,119682,18.0,0.77,22.3,85457,17.73,0.84,21.62,66930,17.53,0.96,23.31,,,,,,,,,,,,,,,,,,,73488,18.29,0.39,22.93,21,76771,17.8,0.92,22.45,367,1998-06-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-07,479,monthly,77548,15.83,1.31,22.78,479,160527,15.89,1.65,24.14,121346,15.98,1.39,22.61,86661,15.71,1.41,21.93,67704,15.7,1.16,23.58,,,,,,,,,,,,,,,,,,,74106,17.13,0.84,23.12,13,77808,15.7,1.35,22.75,466,1998-07-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-08,402,monthly,77655,13.68,0.14,22.82,402,161801,13.97,0.79,24.33,121721,13.83,0.31,22.68,86714,13.51,0.06,21.94,67804,13.65,0.15,23.62,,,,,,,,,,,,,,,,,,,74191,15.73,0.11,23.15,14,77917,13.46,0.14,22.79,388,1998-08-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-09,460,monthly,78308,13.58,0.84,23.01,460,164384,14.85,1.6,24.72,123162,14.02,1.18,22.95,87598,13.7,1.02,22.16,68124,13.03,0.47,23.73,,,,,,,,,,,,,,,,,,,74261,15.08,0.09,23.17,8,78615,13.4,0.9,22.99,452,1998-09-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-10,433,monthly,75821,9.38,-3.18,22.28,433,159073,10.31,-3.23,23.92,118870,9.34,-3.49,22.15,84552,9.26,-3.48,21.39,66282,9.27,-2.7,23.09,,,,,,,,,,,,,,,,,,,72185,10.97,-2.8,22.52,21,76096,9.2,-3.2,22.25,412,1998-10-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-11,397,monthly,75228,8.39,-0.78,22.1,397,157668,9.06,-0.88,23.71,117967,8.29,-0.76,21.98,83611,7.85,-1.11,21.16,66038,8.88,-0.37,23.0,,,,,,,,,,,,,,,,,,,72121,10.6,-0.09,22.5,15,75462,8.17,-0.83,22.07,382,1998-11-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1998-12,437,monthly,75339,6.26,0.15,22.14,437,156439,5.91,-0.78,23.53,117883,5.88,-0.07,21.96,83457,5.46,-0.18,21.12,66486,7.22,0.68,23.16,,,,,,,,,,,,,,,,,,,73322,9.53,1.67,22.88,20,75490,5.99,0.04,22.08,417,1998-12-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-01,283,monthly,77528,7.11,2.91,22.78,283,160752,6.42,2.76,24.18,121386,6.91,2.97,22.62,85922,6.19,2.95,21.74,68371,8.25,2.84,23.81,,,,,,,,,,,,,,,,,,,75951,10.53,3.59,23.7,17,77645,6.85,2.85,22.71,266,1999-01-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-02,339,monthly,79267,8.03,2.24,23.29,339,163887,7.86,1.95,24.65,124040,8.25,2.19,23.11,87966,7.45,2.38,22.26,69799,8.59,2.09,24.31,,,,,,,,,,,,,,,,,,,77551,9.86,2.11,24.2,13,79387,7.89,2.24,23.22,326,1999-02-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-03,385,monthly,79579,8.13,0.39,23.38,385,164897,8.42,0.62,24.8,124368,8.4,0.26,23.17,88306,7.58,0.39,22.34,70061,8.64,0.37,24.4,,,,,,,,,,,,,,,,,,,77445,8.51,-0.14,24.17,20,79718,8.07,0.42,23.31,365,1999-03-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-04,400,monthly,80440,7.54,1.08,23.63,400,165957,7.69,0.64,24.96,125469,7.32,0.89,23.38,89520,7.4,1.37,22.65,70687,7.78,0.89,24.62,,,,,,,,,,,,,,,,,,,77486,6.58,0.05,24.18,12,80607,7.53,1.11,23.57,388,1999-04-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-05,410,monthly,81887,7.93,1.8,24.06,410,168356,7.46,1.45,25.32,127436,7.3,1.57,23.74,91129,7.54,1.8,23.06,72012,8.63,1.87,25.08,,,,,,,,,,,,,,,,,,,78952,7.85,1.89,24.64,25,82054,7.86,1.8,24.0,385,1999-05-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-06,471,monthly,84096,9.87,2.7,24.71,471,173039,9.57,2.78,26.02,130996,9.45,2.79,24.41,93819,9.79,2.95,23.74,73772,10.22,2.44,25.7,,,,,,,,,,,,,,,,,,,80829,9.99,2.38,25.22,14,84276,9.78,2.71,24.65,457,1999-06-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-07,614,monthly,84693,9.21,0.71,24.88,614,175420,9.28,1.38,26.38,132273,9.0,0.97,24.64,94575,9.13,0.81,23.93,74164,9.54,0.53,25.83,,,,,,,,,,,,,,,,,,,81272,9.67,0.55,25.36,11,84878,9.09,0.71,24.82,603,1999-07-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-08,555,monthly,86544,11.45,2.19,25.43,555,180117,11.32,2.68,27.09,135429,11.26,2.39,25.23,96954,11.81,2.51,24.53,75517,11.38,1.82,26.3,,,,,,,,,,,,,,,,,,,82093,10.65,1.01,25.62,10,86765,11.36,2.22,25.37,545,1999-08-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-09,545,monthly,87576,11.84,1.19,25.73,545,183168,11.43,1.69,27.55,137027,11.26,1.18,25.53,97966,11.84,1.04,24.79,76507,12.31,1.31,26.65,,,,,,,,,,,,,,,,,,,82608,11.24,0.63,25.78,11,87814,11.7,1.21,25.68,534,1999-09-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-10,543,monthly,90084,18.81,2.86,26.47,543,187983,18.17,2.63,28.27,140745,18.4,2.71,26.22,100284,18.61,2.37,25.37,79075,19.3,3.36,27.54,,,,,,,,,,,,,,,,,,,85131,17.93,3.05,26.56,11,90324,18.7,2.86,26.41,532,1999-10-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-11,520,monthly,91595,21.76,1.68,26.91,520,190692,20.94,1.44,28.68,142990,21.21,1.59,26.64,101794,21.75,1.51,25.76,80544,21.97,1.86,28.05,,,,,,,,,,,,,,,,,,,86539,19.99,1.65,27.0,7,91839,21.7,1.68,26.86,513,1999-11-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,1999-12,467,monthly,93053,23.51,1.59,27.34,467,191888,22.66,0.63,28.86,144742,22.78,1.23,26.97,103282,23.75,1.46,26.13,82025,23.37,1.84,28.57,,,,,,,,,,,,,,,,,,,88698,20.97,2.49,27.68,3,93276,23.56,1.56,27.28,464,1999-12-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,2000-01,380,monthly,95725,23.47,2.87,28.13,380,198525,23.5,3.46,29.86,149378,23.06,3.2,27.83,106432,23.87,3.05,26.93,84162,23.1,2.61,29.32,,,,,,,,,,,,,,,,,,,91048,19.88,2.65,28.41,2,95960,23.59,2.88,28.06,378,2000-01-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,2000-02,421,monthly,98810,24.66,3.22,29.03,421,204873,25.01,3.2,30.81,153967,24.13,3.07,28.69,109901,24.94,3.26,27.81,86864,24.45,3.21,30.26,,,,,,,,,,,,,,,,,,,94633,22.03,3.94,29.53,9,99040,24.76,3.21,28.96,412,2000-02-01
Lewisham,http://landregistry.data.gov.uk/id/region/lewisham,E09000023,2000-03,541,monthly,101880,28.02,3.11,29.93,541,212235,28.71,3.59,31.92,159427,28.19,3.55,29.7,113647,28.7,3.41,28.75,89215,27.34,2.71,31.07,,,,,,,,,,,,,,,,,,,97007,25.26,2.51,30.27,20,102138,28.12,3.13,29.87,521,2000-03-01
