"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-01,214,monthly,81277,-0.97,2.13,19.15,214,220676,-2.7,1.24,18.32,121799,-0.75,2.07,19.07,81810,-0.95,2.36,18.34,66595,-0.9,1.91,20.61,,,,,,,,,,,,,,,,,,,88789,1.14,2.61,18.74,12,80800,-1.13,2.09,19.08,202,1996-01-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-02,222,monthly,80460,0.6,-1.0,18.96,222,218049,0.07,-1.19,18.1,120637,0.74,-0.95,18.89,81084,0.43,-0.89,18.18,65752,0.87,-1.27,20.35,,,,,,,,,,,,,,,,,,,88569,2.81,-0.25,18.7,26,79939,0.42,-1.07,18.88,196,1996-02-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-03,315,monthly,80063,-0.74,-0.49,18.86,315,217486,-0.73,-0.26,18.06,120143,-0.46,-0.41,18.81,80637,-1.02,-0.55,18.08,65419,-0.49,-0.51,20.25,,,,,,,,,,,,,,,,,,,88808,2.03,0.27,18.75,42,79493,-0.96,-0.56,18.77,273,1996-03-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-04,265,monthly,82034,2.55,2.46,19.33,265,221463,2.73,1.83,18.39,122641,2.57,2.08,19.2,82521,2.03,2.34,18.5,67483,3.46,3.15,20.89,,,,,,,,,,,,,,,,,,,91411,5.79,2.93,19.29,12,81417,2.29,2.42,19.23,253,1996-04-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-05,302,monthly,83678,3.47,2.0,19.71,302,224653,2.48,1.44,18.65,124805,3.26,1.76,19.54,84400,3.3,2.28,18.92,68663,4.04,1.75,21.25,,,,,,,,,,,,,,,,,,,92578,6.18,1.28,19.54,18,83101,3.25,2.07,19.63,284,1996-05-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-06,328,monthly,84551,4.77,1.04,19.92,328,225516,3.43,0.38,18.72,125854,4.36,0.84,19.71,85347,4.83,1.12,19.14,69467,5.06,1.17,21.5,,,,,,,,,,,,,,,,,,,93241,7.07,0.72,19.68,24,83991,4.58,1.07,19.84,304,1996-06-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-07,334,monthly,82609,1.92,-2.3,19.46,334,222739,1.31,-1.23,18.49,123477,1.82,-1.89,19.34,83481,1.94,-2.19,18.72,67343,1.96,-3.06,20.85,,,,,,,,,,,,,,,,,,,90190,3.38,-3.27,19.04,25,82134,1.81,-2.21,19.4,309,1996-07-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-08,457,monthly,82862,2.58,0.31,19.52,457,226644,3.5,1.75,18.82,124180,2.71,0.57,19.45,83644,2.34,0.2,18.75,67369,2.67,0.04,20.85,,,,,,,,,,,,,,,,,,,90302,4.29,0.12,19.06,48,82398,2.45,0.32,19.46,409,1996-08-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-09,359,monthly,84808,4.93,2.35,19.98,359,233036,5.34,2.82,19.35,127167,5.05,2.4,19.91,85701,4.65,2.46,19.21,68699,5.23,1.97,21.27,,,,,,,,,,,,,,,,,,,91646,6.84,1.49,19.34,27,84394,4.79,2.42,19.93,332,1996-09-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-10,400,monthly,87510,9.98,3.19,20.62,400,240953,9.94,3.4,20.0,131301,10.01,3.25,20.56,88418,10.1,3.17,19.82,70848,9.7,3.13,21.93,,,,,,,,,,,,,,,,,,,94568,11.31,3.19,19.96,18,87083,9.89,3.19,20.57,382,1996-10-01
Merton,http://landregistry.data.gov.uk/id/region/merton,E09000024,1996-11,376,monthly,89154,11.56,1.88,21.0,376,244048,11.21,1.28,20.26,133602,11.51,1.75,20.92,90077,12.08,1.88,20.2,72336,10.59,2.1,22.39,,,,,,,,,,,,,,,,,,,96499,12.39,2.04,20.37,13,88706,11.51,1.86,20.95,363,1996-11-01
