"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-01,226,monthly,54376,1.56,-0.27,19.55,226,103382,1.59,-0.48,22.3,72319,2.95,-0.39,19.21,54686,1.36,-0.27,18.82,54413,3.83,0.1,20.61,,,,,,,,,,,,,,,,,,,70306,5.16,0.72,20.01,9,52300,1.34,-0.33,19.43,217,1996-01-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-02,216,monthly,55117,3.69,1.36,19.82,216,104510,4.51,1.09,22.54,73480,5.12,1.61,19.52,55414,3.47,1.33,19.07,55369,6.19,1.76,20.97,,,,,,,,,,,,,,,,,,,71979,7.66,2.38,20.48,7,52983,3.45,1.31,19.68,209,1996-02-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-03,289,monthly,55012,2.91,-0.19,19.78,289,104127,3.76,-0.37,22.46,73534,4.78,0.07,19.54,55274,2.59,-0.25,19.02,55738,6.41,0.67,21.11,,,,,,,,,,,,,,,,,,,72621,7.75,0.89,20.67,10,52844,2.61,-0.26,19.63,279,1996-03-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-04,228,monthly,54701,0.41,-0.57,19.67,228,102661,0.75,-1.41,22.14,73018,2.14,-0.7,19.4,54954,0.08,-0.58,18.91,55756,4.48,0.03,21.12,,,,,,,,,,,,,,,,,,,72214,5.16,-0.56,20.55,8,52544,0.11,-0.57,19.52,220,1996-04-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-05,279,monthly,54651,-2.07,-0.09,19.65,279,101726,-2.87,-0.91,21.94,72635,-1.0,-0.52,19.3,54971,-2.23,0.03,18.92,55177,0.55,-1.04,20.9,,,,,,,,,,,,,,,,,,,71423,1.38,-1.1,20.33,11,52570,-2.2,0.05,19.53,268,1996-05-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-06,247,monthly,54390,-2.99,-0.48,19.56,247,100702,-4.51,-1.01,21.72,72182,-2.46,-0.62,19.18,54725,-3.06,-0.45,18.84,54865,-1.37,-0.57,20.78,,,,,,,,,,,,,,,,,,,70858,-0.18,-0.79,20.17,10,52343,-3.07,-0.43,19.44,237,1996-06-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-07,310,monthly,54977,-0.87,1.08,19.77,310,101955,-2.47,1.24,21.99,73223,-0.09,1.44,19.45,55337,-0.88,1.12,19.05,54883,-0.3,0.03,20.78,,,,,,,,,,,,,,,,,,,71167,1.26,0.44,20.25,20,52954,-0.85,1.17,19.67,290,1996-07-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-08,272,monthly,55884,2.15,1.65,20.09,272,104112,0.53,2.12,22.45,74655,3.36,1.96,19.84,56216,2.05,1.59,19.35,55968,3.62,1.98,21.2,,,,,,,,,,,,,,,,,,,72582,5.08,1.99,20.66,10,53802,2.09,1.6,19.99,262,1996-08-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-09,297,monthly,57312,4.99,2.55,20.61,297,107174,3.65,2.94,23.11,76466,6.28,2.43,20.32,57676,4.88,2.6,19.85,57093,6.9,2.01,21.62,,,,,,,,,,,,,,,,,,,74129,8.5,2.13,21.1,25,55208,4.94,2.61,20.51,272,1996-09-01
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,1996-10,345,monthly,57467,4.89,0.27,20.66,345,107840,3.37,0.62,23.26,76697,5.67,0.3,20.38,57827,4.85,0.26,19.9,57243,6.01,0.26,21.68,,,,,,,,,,,,,,,,,,,74338,7.5,0.28,21.16,21,55357,4.89,0.27,20.56,324,1996-10-01
