"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-01,311,monthly,72861,0.93,0.38,22.42,311,155944,0.09,0.45,23.31,96676,1.79,0.19,22.12,73095,0.67,0.45,21.55,56236,0.86,0.35,24.08,,,,,,,,,,,,,,,,,,,97278,3.24,1.04,24.29,30,71865,0.65,0.29,22.2,281,1996-01-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-02,276,monthly,73535,1.93,0.93,22.62,276,157700,2.53,1.13,23.58,97576,2.68,0.93,22.33,73774,1.58,0.93,21.75,56691,1.84,0.81,24.28,,,,,,,,,,,,,,,,,,,99232,4.52,2.01,24.78,23,72439,1.62,0.8,22.37,253,1996-02-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-03,371,monthly,73850,1.86,0.43,22.72,371,159004,3.09,0.83,23.77,97965,2.65,0.4,22.42,74032,1.37,0.35,21.82,57072,2.08,0.67,24.44,,,,,,,,,,,,,,,,,,,100370,5.02,1.15,25.06,37,72690,1.49,0.35,22.45,334,1996-03-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-04,348,monthly,74676,3.39,1.12,22.97,348,159886,4.71,0.55,23.9,98944,4.08,1.0,22.64,74894,2.88,1.16,22.08,57870,3.84,1.4,24.78,,,,,,,,,,,,,,,,,,,101360,6.43,0.99,25.31,31,73513,3.03,1.13,22.7,317,1996-04-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-05,367,monthly,74311,2.69,-0.49,22.86,367,157783,3.06,-1.31,23.59,98206,3.03,-0.75,22.47,74722,2.45,-0.23,22.03,57406,2.97,-0.8,24.58,,,,,,,,,,,,,,,,,,,99674,4.74,-1.66,24.89,41,73249,2.43,-0.36,22.62,326,1996-05-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-06,360,monthly,74998,3.76,0.93,23.07,360,158267,3.6,0.31,23.66,98924,3.75,0.73,22.64,75475,3.76,1.01,22.25,58090,3.81,1.19,24.87,,,,,,,,,,,,,,,,,,,100120,5.24,0.45,25.0,33,73964,3.56,0.98,22.84,327,1996-06-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-07,375,monthly,75514,3.61,0.69,23.23,375,160348,3.88,1.31,23.97,99848,3.77,0.93,22.85,75948,3.48,0.63,22.39,58230,3.85,0.24,24.93,,,,,,,,,,,,,,,,,,,100415,4.94,0.3,25.07,39,74504,3.43,0.73,23.01,336,1996-07-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-08,467,monthly,77111,5.23,2.12,23.72,467,165299,6.02,3.09,24.71,102201,5.7,2.36,23.39,77457,4.91,1.99,22.83,59274,5.56,1.79,25.38,,,,,,,,,,,,,,,,,,,102533,7.01,2.11,25.6,32,76080,4.99,2.12,23.5,435,1996-08-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-09,412,monthly,77310,5.61,0.26,23.78,412,166792,6.73,0.9,24.94,102576,6.2,0.37,23.47,77712,5.22,0.33,22.91,58932,5.95,-0.58,25.23,,,,,,,,,,,,,,,,,,,102128,7.66,-0.39,25.5,23,76330,5.32,0.33,23.57,389,1996-09-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-10,438,monthly,76939,5.51,-0.48,23.67,438,166244,6.39,-0.33,24.85,102115,5.79,-0.45,23.37,77348,5.42,-0.47,22.8,58543,5.17,-0.66,25.07,,,,,,,,,,,,,,,,,,,101601,6.83,-0.52,25.37,30,75967,5.32,-0.48,23.46,408,1996-10-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-11,478,monthly,76479,5.64,-0.6,23.53,478,164611,6.26,-0.98,24.61,101439,5.62,-0.66,23.21,76901,5.8,-0.58,22.67,58322,4.72,-0.38,24.97,,,,,,,,,,,,,,,,,,,101067,6.47,-0.53,25.24,39,75507,5.51,-0.6,23.32,439,1996-11-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1996-12,418,monthly,76719,5.69,0.31,23.6,418,164233,5.79,-0.23,24.55,101881,5.58,0.44,23.31,77165,6.04,0.34,22.75,58470,4.34,0.25,25.04,,,,,,,,,,,,,,,,,,,101194,5.11,0.13,25.27,28,75760,5.73,0.33,23.4,390,1996-12-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-01,371,monthly,78163,7.28,1.88,24.05,371,166711,6.9,1.51,24.92,103865,7.44,1.95,23.77,78693,7.66,1.98,23.2,59353,5.54,1.51,25.42,,,,,,,,,,,,,,,,,,,102327,5.19,1.12,25.55,38,77249,7.49,1.96,23.86,333,1997-01-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-02,293,monthly,79164,7.65,1.28,24.35,293,169435,7.44,1.63,25.33,105266,7.88,1.35,24.09,79605,7.9,1.16,23.47,60140,6.08,1.33,25.75,,,,,,,,,,,,,,,,,,,104078,4.88,1.71,25.99,12,78234,8.0,1.28,24.16,281,1997-02-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-03,373,monthly,79278,7.35,0.14,24.39,373,169855,6.82,0.25,25.39,105286,7.47,0.02,24.09,79754,7.73,0.19,23.51,60135,5.37,-0.01,25.75,,,,,,,,,,,,,,,,,,,104265,3.88,0.18,26.04,21,78358,7.8,0.16,24.2,352,1997-03-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-04,439,monthly,79359,6.27,0.1,24.41,439,169914,6.27,0.03,25.4,105437,6.56,0.14,24.13,79839,6.6,0.11,23.54,60167,3.97,0.05,25.76,,,,,,,,,,,,,,,,,,,104900,3.49,0.61,26.19,43,78411,6.66,0.07,24.22,396,1997-04-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-05,414,monthly,80730,8.64,1.73,24.84,414,172706,9.46,1.64,25.82,107456,9.42,1.92,24.59,81346,8.86,1.89,23.98,60790,5.89,1.03,26.03,,,,,,,,,,,,,,,,,,,105921,6.27,0.97,26.45,30,79805,8.95,1.78,24.65,384,1997-05-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-06,463,monthly,82489,9.99,2.18,25.38,463,177362,12.06,2.7,26.52,110124,11.32,2.48,25.2,83122,10.13,2.18,24.5,61812,6.41,1.68,26.47,,,,,,,,,,,,,,,,,,,107507,7.38,1.5,26.85,38,81580,10.3,2.22,25.2,425,1997-06-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-07,507,monthly,83540,10.63,1.27,25.7,507,180254,12.41,1.63,26.95,111654,11.82,1.39,25.55,84295,10.99,1.41,24.85,62192,6.8,0.61,26.63,,,,,,,,,,,,,,,,,,,108000,7.55,0.46,26.97,26,82664,10.95,1.33,25.53,481,1997-07-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-08,499,monthly,84855,10.04,1.57,26.11,499,183705,11.13,1.91,27.46,113596,11.15,1.74,26.0,85620,10.54,1.57,25.24,62997,6.28,1.29,26.98,,,,,,,,,,,,,,,,,,,108927,6.24,0.86,27.2,21,84004,10.41,1.62,25.94,478,1997-08-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-09,452,monthly,86034,11.29,1.39,26.47,452,186682,11.93,1.62,27.91,115416,12.52,1.6,26.41,86763,11.65,1.33,25.58,63792,8.25,1.26,27.32,,,,,,,,,,,,,,,,,,,110690,8.38,1.62,27.64,24,85159,11.57,1.37,26.3,428,1997-09-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-10,466,monthly,87905,14.25,2.17,27.04,466,191038,14.91,2.33,28.56,118015,15.57,2.25,27.01,88540,14.47,2.05,26.1,65351,11.63,2.44,27.98,,,,,,,,,,,,,,,,,,,112892,11.11,1.99,28.19,23,87021,14.55,2.19,26.88,443,1997-10-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-11,426,monthly,88281,15.43,0.43,27.16,426,192481,16.93,0.76,28.78,118648,16.97,0.54,27.15,88878,15.57,0.38,26.2,65587,12.46,0.36,28.08,,,,,,,,,,,,,,,,,,,113401,12.2,0.45,28.32,33,87392,15.74,0.43,26.99,393,1997-11-01
Redbridge,http://landregistry.data.gov.uk/id/region/redbridge,E09000026,1997-12,379,monthly,90666,18.18,2.7,27.89,379,196990,19.95,2.34,29.45,121890,19.64,2.73,27.89,91286,18.3,2.71,26.91,67386,15.25,2.74,28.85,,,,,,,,,,,,,,,,,,,116574,15.2,2.8,29.11,18,89748,18.46,2.7,27.72,361,1997-12-01
