"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-01,230,monthly,111174,1.69,2.4,18.74,230,237122,-0.95,2.18,19.33,152036,1.54,2.36,18.58,115349,2.61,2.62,17.53,84188,1.19,2.19,20.11,,,,,,,,,,,,,,,,,,,90326,4.2,2.65,18.79,16,111639,1.53,2.38,18.74,214,1996-01-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-02,226,monthly,112961,1.67,1.61,19.04,226,240306,-0.03,1.34,19.59,154374,1.27,1.54,18.86,117663,2.85,2.01,17.88,85186,0.8,1.19,20.35,,,,,,,,,,,,,,,,,,,92024,3.23,1.88,19.14,15,113416,1.57,1.59,19.04,211,1996-02-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-03,315,monthly,114700,6.87,1.54,19.33,315,244682,5.64,1.82,19.95,156861,6.61,1.61,19.17,119531,8.03,1.59,18.16,86342,5.81,1.36,20.62,,,,,,,,,,,,,,,,,,,93772,8.77,1.9,19.51,13,115128,6.74,1.51,19.33,302,1996-03-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-04,335,monthly,114881,7.49,0.16,19.37,335,242340,5.99,-0.96,19.76,156044,6.68,-0.52,19.07,120270,8.96,0.62,18.28,86591,6.48,0.29,20.68,,,,,,,,,,,,,,,,,,,93719,9.02,-0.06,19.5,16,115333,7.39,0.18,19.36,319,1996-04-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-05,383,monthly,117000,8.63,1.84,19.72,383,246027,6.91,1.52,20.06,158535,7.73,1.6,19.37,122793,10.01,2.1,18.66,88117,7.83,1.76,21.05,,,,,,,,,,,,,,,,,,,94726,9.84,1.07,19.71,35,117541,8.57,1.91,19.73,348,1996-05-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-06,416,monthly,117604,4.2,0.52,19.82,416,246303,2.68,0.11,20.08,159090,3.39,0.35,19.44,123283,5.34,0.4,18.73,88885,3.58,0.87,21.23,,,,,,,,,,,,,,,,,,,94882,4.97,0.17,19.74,33,118185,4.18,0.55,19.84,383,1996-06-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-07,431,monthly,119030,3.81,1.21,20.06,431,252354,3.21,2.46,20.57,162137,3.5,1.92,19.81,124473,4.5,0.97,18.91,89578,3.26,0.78,21.4,,,,,,,,,,,,,,,,,,,95533,4.26,0.69,19.87,30,119674,3.83,1.26,20.09,401,1996-07-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-08,613,monthly,117525,4.63,-1.26,19.81,613,252016,4.67,-0.13,20.55,160798,4.71,-0.83,19.65,122686,5.11,-1.44,18.64,88148,3.94,-1.6,21.05,,,,,,,,,,,,,,,,,,,94361,5.61,-1.23,19.63,50,118157,4.61,-1.27,19.83,563,1996-08-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-09,447,monthly,118813,7.6,1.1,20.03,447,255622,7.32,1.43,20.84,162608,7.46,1.13,19.87,124492,8.27,1.47,18.92,88599,6.89,0.51,21.16,,,,,,,,,,,,,,,,,,,94588,8.7,0.24,19.68,50,119543,7.59,1.17,20.07,397,1996-09-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-10,462,monthly,120264,10.94,1.22,20.27,462,259062,10.62,1.35,21.12,164529,10.67,1.18,20.1,126132,12.08,1.32,19.17,89570,9.73,1.1,21.39,,,,,,,,,,,,,,,,,,,95645,11.06,1.12,19.9,53,121014,11.0,1.23,20.31,409,1996-10-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-11,491,monthly,121754,11.57,1.24,20.52,491,260549,11.27,0.57,21.24,166136,11.18,0.98,20.3,127884,13.15,1.39,19.43,90804,9.87,1.38,21.69,,,,,,,,,,,,,,,,,,,96793,10.81,1.2,20.14,41,122518,11.69,1.24,20.57,450,1996-11-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1996-12,506,monthly,121989,12.36,0.19,20.56,506,259617,11.87,-0.36,21.17,166356,12.0,0.13,20.33,128365,14.2,0.38,19.51,90914,10.36,0.12,21.72,,,,,,,,,,,,,,,,,,,96957,10.19,0.17,20.17,30,122756,12.58,0.19,20.61,476,1996-12-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1997-01,405,monthly,122725,10.39,0.6,20.69,405,260111,9.69,0.19,21.21,167315,10.05,0.58,20.44,129489,12.26,0.88,19.68,91243,8.38,0.36,21.79,,,,,,,,,,,,,,,,,,,96979,7.37,0.02,20.18,30,123562,10.68,0.66,20.74,375,1997-01-01
Richmond upon Thames,http://landregistry.data.gov.uk/id/region/richmond-upon-thames,E09000027,1997-02,344,monthly,124771,10.46,1.67,21.03,344,265830,10.62,2.2,21.67,170008,10.13,1.61,20.77,131633,11.87,1.66,20.0,92645,8.76,1.54,22.13,,,,,,,,,,,,,,,,,,,98823,7.39,1.9,20.56,28,125617,10.76,1.66,21.09,316,1997-02-01
