"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-01,188,monthly,65753,-3.14,5.38,14.7,188,209249,-6.5,4.83,14.74,123049,-4.25,5.14,14.63,84671,-4.07,5.53,13.7,59733,-1.83,5.34,15.34,,,,,,,,,,,,,,,,,,,66430,0.19,5.85,15.22,44,66183,-4.32,5.22,14.76,144,1996-01-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-02,194,monthly,67876,4.75,3.23,15.18,194,214723,2.34,2.62,15.12,127049,3.77,3.25,15.1,87507,3.38,3.35,14.16,61624,6.4,3.17,15.83,,,,,,,,,,,,,,,,,,,68900,8.72,3.72,15.79,55,68209,3.36,3.06,15.21,139,1996-02-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-03,227,monthly,68867,4.72,1.46,15.4,227,217887,2.62,1.47,15.35,129140,4.33,1.65,15.35,88760,3.37,1.43,14.36,62511,6.19,1.44,16.06,,,,,,,,,,,,,,,,,,,70155,8.69,1.82,16.08,75,69123,3.34,1.34,15.42,152,1996-03-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-04,236,monthly,69598,10.34,1.06,15.56,236,218141,8.34,0.12,15.37,129923,9.9,0.61,15.44,89416,8.5,0.74,14.47,63506,12.36,1.59,16.31,,,,,,,,,,,,,,,,,,,71177,14.8,1.46,16.31,65,69768,8.81,0.93,15.56,171,1996-04-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-05,225,monthly,68910,6.97,-0.99,15.41,225,215780,4.72,-1.08,15.2,128349,6.25,-1.21,15.26,88831,5.91,-0.65,14.37,62731,8.35,-1.22,16.11,,,,,,,,,,,,,,,,,,,70082,10.25,-1.54,16.06,61,69205,5.82,-0.81,15.43,164,1996-05-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-06,287,monthly,70413,9.75,2.18,15.75,287,219515,7.73,1.73,15.46,130881,8.84,1.97,15.56,90887,9.17,2.31,14.7,64083,10.75,2.15,16.46,,,,,,,,,,,,,,,,,,,71357,12.44,1.82,16.35,109,70795,8.8,2.3,15.79,178,1996-06-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-07,288,monthly,70235,4.79,-0.25,15.71,288,221796,3.62,1.04,15.62,131649,4.33,0.59,15.65,91159,4.54,0.3,14.75,63351,5.19,-1.14,16.27,,,,,,,,,,,,,,,,,,,70391,6.45,-1.35,16.13,72,70870,4.15,0.11,15.81,216,1996-07-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-08,231,monthly,70408,7.45,0.25,15.74,231,225070,6.8,1.48,15.85,132644,7.35,0.76,15.77,91480,6.96,0.35,14.8,63280,7.87,-0.11,16.25,,,,,,,,,,,,,,,,,,,70324,9.36,-0.1,16.11,46,71123,6.71,0.36,15.86,185,1996-08-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-09,293,monthly,70906,11.72,0.71,15.86,293,228399,10.75,1.48,16.09,134022,11.31,1.04,15.93,92249,10.98,0.84,14.92,63542,12.42,0.41,16.32,,,,,,,,,,,,,,,,,,,70398,13.88,0.1,16.13,64,71766,10.86,0.9,16.01,229,1996-09-01
Southwark,http://landregistry.data.gov.uk/id/region/southwark,E09000028,1996-10,289,monthly,70748,16.2,-0.22,15.82,289,228535,15.43,0.06,16.1,133786,15.96,-0.18,15.9,91949,16.05,-0.32,14.87,63439,16.28,-0.16,16.29,,,,,,,,,,,,,,,,,,,70305,17.49,-0.13,16.11,64,71584,15.64,-0.25,15.97,225,1996-10-01
