"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-01,216,monthly,70031,-2.1,-0.25,22.77,216,162516,-3.2,-0.31,23.38,94429,-1.52,-0.32,22.35,65083,-2.07,0.0,21.85,54192,-2.35,-0.52,24.28,,,,,,,,,,,,,,,,,,,77884,0.03,0.18,24.71,10,69693,-2.45,-0.32,22.67,206,1996-01-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-02,279,monthly,69291,-2.26,-1.06,22.53,279,160643,-2.07,-1.15,23.12,93466,-1.8,-1.02,22.12,64503,-2.41,-0.89,21.66,53490,-2.71,-1.3,23.96,,,,,,,,,,,,,,,,,,,77556,-0.21,-0.42,24.6,41,68889,-2.59,-1.15,22.41,238,1996-02-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-03,292,monthly,69732,-0.82,0.64,22.67,292,161945,-0.28,0.81,23.3,94107,-0.18,0.69,22.27,64843,-1.26,0.53,21.77,53885,-1.12,0.74,24.14,,,,,,,,,,,,,,,,,,,78491,1.67,1.21,24.9,38,69274,-1.2,0.56,22.54,254,1996-03-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-04,296,monthly,69485,0.11,-0.35,22.59,296,160639,0.77,-0.81,23.11,93697,0.7,-0.44,22.18,64576,-0.51,-0.41,21.68,53979,0.17,0.17,24.18,,,,,,,,,,,,,,,,,,,78319,2.63,-0.22,24.85,20,69016,-0.28,-0.37,22.45,276,1996-04-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-05,376,monthly,70838,1.55,1.95,23.03,376,163270,1.7,1.64,23.49,95420,2.01,1.84,22.58,65993,1.23,2.19,22.16,54947,1.51,1.79,24.61,,,,,,,,,,,,,,,,,,,79293,3.62,1.24,25.16,48,70425,1.21,2.04,22.91,328,1996-05-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-06,363,monthly,71884,2.51,1.48,23.37,363,165150,2.52,1.15,23.76,96688,2.68,1.33,22.88,66998,2.52,1.52,22.5,55945,2.44,1.81,25.06,,,,,,,,,,,,,,,,,,,80256,4.25,1.21,25.46,64,71488,2.22,1.51,23.26,299,1996-06-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-07,406,monthly,72810,2.85,1.29,23.67,406,168383,3.21,1.96,24.23,98112,2.98,1.47,23.22,67783,2.7,1.17,22.76,56416,2.9,0.84,25.27,,,,,,,,,,,,,,,,,,,80772,4.2,0.64,25.62,21,72470,2.61,1.37,23.58,385,1996-07-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-08,444,monthly,72524,3.67,-0.39,23.58,444,169347,4.44,0.57,24.37,97881,3.92,-0.24,23.17,67309,3.15,-0.7,22.6,56084,3.93,-0.59,25.12,,,,,,,,,,,,,,,,,,,80256,5.13,-0.64,25.46,48,72209,3.39,-0.36,23.49,396,1996-08-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-09,364,monthly,72293,3.37,-0.32,23.51,364,170180,4.36,0.49,24.49,97719,3.67,-0.17,23.13,67117,2.75,-0.29,22.54,55445,3.48,-1.14,24.84,,,,,,,,,,,,,,,,,,,79208,4.7,-1.31,25.13,44,72072,3.08,-0.19,23.45,320,1996-09-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-10,376,monthly,72617,3.79,0.45,23.61,376,171211,4.75,0.61,24.64,98217,4.06,0.51,23.25,67440,3.56,0.48,22.65,55548,3.28,0.19,24.88,,,,,,,,,,,,,,,,,,,79468,4.36,0.33,25.21,32,72407,3.62,0.46,23.55,344,1996-10-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-11,412,monthly,73947,4.73,1.83,24.04,412,173607,5.55,1.4,24.98,99993,4.94,1.81,23.67,68720,4.89,1.9,23.08,56655,3.75,1.99,25.38,,,,,,,,,,,,,,,,,,,81056,4.86,2.0,25.71,46,73717,4.63,1.81,23.98,366,1996-11-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1996-12,411,monthly,74371,5.93,0.57,24.18,411,173830,6.63,0.13,25.01,100701,6.3,0.71,23.83,69113,6.19,0.57,23.21,57014,4.66,0.63,25.54,,,,,,,,,,,,,,,,,,,81580,4.93,0.65,25.88,61,74132,6.03,0.56,24.12,350,1996-12-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-01,296,monthly,75080,7.21,0.95,24.41,296,175459,7.96,0.94,25.25,101728,7.73,1.02,24.08,69802,7.25,1.0,23.44,57451,6.01,0.77,25.74,,,,,,,,,,,,,,,,,,,81878,5.13,0.37,25.98,18,74897,7.47,1.03,24.36,278,1997-01-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-02,275,monthly,74760,7.89,-0.43,24.31,275,175439,9.21,-0.01,25.24,101134,8.2,-0.58,23.94,69447,7.66,-0.51,23.32,57147,6.84,-0.53,25.6,,,,,,,,,,,,,,,,,,,81550,5.15,-0.4,25.87,30,74579,8.26,-0.42,24.26,245,1997-02-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-03,360,monthly,76247,9.34,1.99,24.79,360,179181,10.64,2.13,25.78,102812,9.25,1.66,24.33,70887,9.32,2.07,23.8,58257,8.11,1.94,26.1,,,,,,,,,,,,,,,,,,,83524,6.41,2.42,26.5,58,76024,9.74,1.94,24.73,302,1997-03-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-04,354,monthly,76417,9.98,0.22,24.85,354,179401,11.68,0.12,25.81,102989,9.92,0.17,24.37,71077,10.07,0.27,23.87,58398,8.19,0.24,26.16,,,,,,,,,,,,,,,,,,,84268,7.6,0.89,26.73,42,76131,10.31,0.14,24.77,312,1997-04-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-05,413,monthly,78807,11.25,3.13,25.62,413,185167,13.41,3.21,26.64,106636,11.75,3.54,25.24,73353,11.15,3.2,24.63,59959,9.12,2.67,26.86,,,,,,,,,,,,,,,,,,,86560,9.16,2.72,27.46,37,78551,11.54,3.18,25.55,376,1997-05-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-06,406,monthly,80213,11.59,1.78,26.08,406,189711,14.87,2.45,27.3,108965,12.7,2.18,25.79,74644,11.41,1.76,25.06,60727,8.55,1.28,27.2,,,,,,,,,,,,,,,,,,,87460,8.98,1.04,27.75,68,80025,11.94,1.88,26.03,338,1997-06-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-07,461,monthly,82549,13.38,2.91,26.84,461,196460,16.67,3.56,28.27,112395,14.56,3.15,26.6,76930,13.49,3.06,25.83,62157,10.18,2.35,27.84,,,,,,,,,,,,,,,,,,,89062,10.26,1.83,28.25,39,82464,13.79,3.05,26.83,422,1997-07-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-08,411,monthly,83354,14.93,0.98,27.1,411,199402,17.75,1.5,28.69,113675,16.14,1.14,26.9,77603,15.29,0.88,26.06,62656,11.72,0.8,28.07,,,,,,,,,,,,,,,,,,,89239,11.19,0.2,28.31,31,83348,15.43,1.07,27.11,380,1997-08-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-09,408,monthly,84293,16.6,1.13,27.41,408,202478,18.98,1.54,29.13,115237,17.93,1.37,27.27,78405,16.82,1.03,26.33,63224,14.03,0.91,28.32,,,,,,,,,,,,,,,,,,,90001,13.63,0.85,28.55,33,84314,16.99,1.16,27.43,375,1997-09-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-10,435,monthly,85649,17.95,1.61,27.85,435,205703,20.15,1.59,29.6,117190,19.32,1.7,27.74,79520,17.91,1.42,26.7,64339,15.83,1.76,28.82,,,,,,,,,,,,,,,,,,,91479,15.11,1.64,29.02,41,85667,18.31,1.6,27.87,394,1997-10-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-11,371,monthly,87381,18.17,2.02,28.41,371,210408,21.2,2.29,30.28,119556,19.56,2.02,28.3,81170,18.12,2.07,27.26,65552,15.7,1.89,29.37,,,,,,,,,,,,,,,,,,,93548,15.41,2.26,29.68,30,87374,18.53,1.99,28.42,341,1997-11-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1997-12,331,monthly,88380,18.84,1.14,28.74,331,211787,21.84,0.66,30.47,120929,20.09,1.15,28.62,82120,18.82,1.17,27.57,66373,16.42,1.25,29.73,,,,,,,,,,,,,,,,,,,95029,16.49,1.58,30.15,21,88326,19.15,1.09,28.73,310,1997-12-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-01,267,monthly,89866,19.69,1.68,29.22,267,216402,23.33,2.18,31.14,122807,20.72,1.55,29.06,83560,19.71,1.75,28.06,67407,17.33,1.56,30.2,,,,,,,,,,,,,,,,,,,97269,18.8,2.36,30.86,12,89737,19.82,1.6,29.19,255,1998-01-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-02,269,monthly,89954,20.32,0.1,29.25,269,214996,22.55,-0.65,30.94,122538,21.16,-0.22,29.0,83588,20.36,0.03,28.07,67739,18.53,0.49,30.35,,,,,,,,,,,,,,,,,,,98460,20.74,1.22,31.24,20,89734,20.32,0.0,29.19,249,1998-02-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-03,333,monthly,90572,18.79,0.69,29.45,333,216723,20.95,0.8,31.18,123314,19.94,0.63,29.19,84320,18.95,0.88,28.31,68061,16.83,0.48,30.49,,,,,,,,,,,,,,,,,,,99460,19.08,1.02,31.55,19,90332,18.82,0.67,29.39,314,1998-03-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-04,361,monthly,89856,17.59,-0.79,29.22,361,213590,19.06,-1.45,30.73,122664,19.1,-0.53,29.03,83698,17.76,-0.74,28.1,67474,15.54,-0.86,30.23,,,,,,,,,,,,,,,,,,,98567,16.97,-0.9,31.27,14,89624,17.72,-0.78,29.16,347,1998-04-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-05,379,monthly,90466,14.79,0.68,29.42,379,214506,15.84,0.43,30.87,123799,16.1,0.93,29.3,84513,15.21,0.97,28.38,67686,12.89,0.32,30.32,,,,,,,,,,,,,,,,,,,98306,13.57,-0.26,31.19,17,90289,14.94,0.74,29.37,362,1998-05-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-06,414,monthly,91130,13.61,0.73,29.63,414,215008,13.33,0.23,30.94,124528,14.28,0.59,29.47,84931,13.78,0.5,28.52,68460,12.73,1.14,30.67,,,,,,,,,,,,,,,,,,,98473,12.59,0.17,31.24,29,90986,13.7,0.77,29.6,385,1998-06-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-07,469,monthly,92125,11.6,1.09,29.95,469,217742,10.83,1.27,31.33,126004,12.11,1.19,29.82,85835,11.58,1.06,28.82,69159,11.27,1.02,30.98,,,,,,,,,,,,,,,,,,,99170,11.35,0.71,31.46,32,92002,11.57,1.12,29.93,437,1998-07-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-08,411,monthly,92560,11.04,0.47,30.1,411,221032,10.85,1.51,31.8,126721,11.48,0.57,29.99,86055,10.89,0.26,28.9,69429,10.81,0.39,31.1,,,,,,,,,,,,,,,,,,,99718,11.74,0.55,31.64,24,92432,10.9,0.47,30.07,387,1998-08-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-09,378,monthly,93303,10.69,0.8,30.34,378,224688,10.97,1.65,32.33,128114,11.17,1.1,30.32,86782,10.68,0.84,29.14,69711,10.26,0.41,31.23,,,,,,,,,,,,,,,,,,,100001,11.11,0.28,31.73,21,93206,10.55,0.84,30.32,357,1998-09-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-10,386,monthly,94599,10.45,1.39,30.76,386,228112,10.89,1.52,32.82,129606,10.59,1.16,30.67,87777,10.38,1.15,29.47,70906,10.21,1.71,31.76,,,,,,,,,,,,,,,,,,,101597,11.06,1.6,32.23,17,94488,10.3,1.38,30.74,369,1998-10-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-11,394,monthly,95133,8.87,0.56,30.93,394,228804,8.74,0.3,32.92,130234,8.93,0.48,30.82,88020,8.44,0.28,29.56,71562,9.17,0.93,32.06,,,,,,,,,,,,,,,,,,,102559,9.63,0.95,32.54,17,94997,8.72,0.54,30.9,377,1998-11-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1998-12,372,monthly,95481,8.03,0.37,31.05,372,227469,7.4,-0.58,32.73,130462,7.88,0.18,30.88,88217,7.43,0.22,29.62,72140,8.69,0.81,32.32,,,,,,,,,,,,,,,,,,,104046,9.49,1.45,33.01,30,95276,7.87,0.29,30.99,342,1998-12-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-01,276,monthly,94888,5.59,-0.62,30.85,276,226342,4.59,-0.5,32.57,129720,5.63,-0.57,30.7,87692,4.95,-0.59,29.45,71634,6.27,-0.7,32.09,,,,,,,,,,,,,,,,,,,104174,7.1,0.12,33.05,11,94638,5.46,-0.67,30.79,265,1999-01-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-02,300,monthly,94864,5.46,-0.02,30.85,300,226682,5.44,0.15,32.62,129728,5.87,0.01,30.7,87708,4.93,0.02,29.45,71558,5.64,-0.11,32.06,,,,,,,,,,,,,,,,,,,104315,5.95,0.14,33.09,13,94603,5.43,-0.04,30.78,287,1999-02-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-03,364,monthly,94881,4.76,0.02,30.85,364,227989,5.2,0.58,32.81,129598,5.1,-0.1,30.67,87652,3.95,-0.06,29.43,71615,5.22,0.08,32.08,,,,,,,,,,,,,,,,,,,104074,4.64,-0.23,33.02,13,94633,4.76,0.03,30.79,351,1999-03-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-04,343,monthly,95455,6.23,0.6,31.04,343,228415,6.94,0.19,32.87,130052,6.02,0.35,30.78,88393,5.61,0.85,29.68,72086,6.84,0.66,32.29,,,,,,,,,,,,,,,,,,,103842,5.35,-0.22,32.94,18,95249,6.28,0.65,30.99,325,1999-04-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-05,405,monthly,96908,7.12,1.52,31.51,405,230560,7.48,0.94,33.18,131849,6.5,1.38,31.21,89918,6.39,1.72,30.19,73219,8.17,1.57,32.8,,,,,,,,,,,,,,,,,,,105194,7.01,1.3,33.37,31,96711,7.11,1.53,31.46,374,1999-05-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-06,466,monthly,99179,8.83,2.34,32.25,466,236245,9.88,2.47,33.99,134986,8.4,2.38,31.95,92123,8.47,2.45,30.93,74824,9.3,2.19,33.52,,,,,,,,,,,,,,,,,,,107466,9.13,2.16,34.09,29,98987,8.79,2.35,32.2,437,1999-06-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-07,543,monthly,101023,9.66,1.86,32.85,543,241950,11.12,2.41,34.81,137788,9.35,2.08,32.61,93761,9.23,1.78,31.48,76064,9.98,1.66,34.07,,,,,,,,,,,,,,,,,,,109356,10.27,1.76,34.69,32,100833,9.6,1.86,32.8,511,1999-07-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-08,451,monthly,102594,10.84,1.56,33.36,451,247436,11.95,2.27,35.6,140039,10.51,1.63,33.14,95214,10.64,1.55,31.97,77084,11.03,1.34,34.53,,,,,,,,,,,,,,,,,,,110249,10.56,0.82,34.98,12,102444,10.83,1.6,33.33,439,1999-08-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-09,419,monthly,103960,11.42,1.33,33.8,419,252374,12.32,2.0,36.31,141874,10.74,1.31,33.58,96291,10.96,1.13,32.33,78142,12.09,1.37,35.01,,,,,,,,,,,,,,,,,,,110881,10.88,0.57,35.18,16,103852,11.42,1.37,33.78,403,1999-09-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-10,480,monthly,105847,11.89,1.81,34.42,480,256497,12.44,1.63,36.91,144304,11.34,1.71,34.15,97662,11.26,1.42,32.79,79922,12.72,2.28,35.8,,,,,,,,,,,,,,,,,,,112806,11.03,1.74,35.79,15,105741,11.91,1.82,34.4,465,1999-10-01
Sutton,http://landregistry.data.gov.uk/id/region/sutton,E09000029,1999-11,530,monthly,108952,14.53,2.93,35.43,530,263850,15.32,2.87,37.97,148437,13.98,2.86,35.13,100415,14.08,2.82,33.72,82398,15.14,3.1,36.91,,,,,,,,,,,,,,,,,,,116161,13.26,2.97,36.85,31,108841,14.57,2.93,35.41,499,1999-11-01
