"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-01,114,monthly,67552,12.84,5.57,16.59,114,102544,9.64,5.95,15.99,95091,11.28,5.44,15.8,81013,10.59,5.64,14.87,66781,13.58,5.56,16.84,,,,,,,,,,,,,,,,,,,67746,15.05,5.91,16.73,21,66680,10.82,5.26,16.35,93,1996-01-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-02,168,monthly,71070,14.04,5.21,17.45,168,108118,11.24,5.44,16.85,100451,12.28,5.64,16.69,85266,11.26,5.25,15.65,70247,14.95,5.19,17.71,,,,,,,,,,,,,,,,,,,71514,16.32,5.56,17.66,58,69945,11.98,4.9,17.15,110,1996-02-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-03,144,monthly,69638,8.91,-2.02,17.1,144,106589,7.11,-1.41,16.62,98445,7.36,-2.0,16.35,83618,6.5,-1.93,15.35,68811,9.7,-2.04,17.35,,,,,,,,,,,,,,,,,,,70275,11.21,-1.73,17.35,52,68377,6.87,-2.24,16.76,92,1996-03-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-04,145,monthly,66727,0.75,-4.18,16.39,145,101118,-1.46,-5.13,15.76,93457,-1.52,-5.07,15.52,79729,-1.91,-4.65,14.64,66069,1.65,-3.98,16.66,,,,,,,,,,,,,,,,,,,67408,2.94,-4.08,16.64,34,65470,-1.19,-4.25,16.05,111,1996-04-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-05,212,monthly,65602,-1.25,-1.69,16.11,212,100427,-1.82,-0.68,15.66,91573,-3.43,-2.02,15.21,78864,-2.84,-1.08,14.48,64819,-0.72,-1.89,16.34,,,,,,,,,,,,,,,,,,,65928,0.33,-2.19,16.28,71,64609,-2.73,-1.31,15.84,141,1996-05-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-06,204,monthly,67437,1.82,2.8,16.56,204,103140,1.61,2.7,16.08,93961,-0.23,2.61,15.61,81053,0.71,2.78,14.88,66640,2.21,2.81,16.8,,,,,,,,,,,,,,,,,,,67595,3.09,2.53,16.69,80,66541,0.56,2.99,16.31,124,1996-06-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-07,195,monthly,69424,7.31,2.95,17.05,195,107548,8.06,4.27,16.77,98009,6.26,4.31,16.28,84142,6.64,3.81,15.45,68373,7.49,2.6,17.24,,,,,,,,,,,,,,,,,,,69217,8.16,2.4,17.09,79,68765,6.31,3.34,16.86,116,1996-07-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-08,237,monthly,69860,10.06,0.63,17.16,237,108804,10.33,1.17,16.96,98945,8.89,0.95,16.44,84844,9.09,0.83,15.57,68746,10.32,0.55,17.33,,,,,,,,,,,,,,,,,,,69611,11.16,0.57,17.19,82,69226,8.81,0.67,16.97,155,1996-08-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-09,239,monthly,72296,16.27,3.49,17.75,239,112582,15.84,3.47,17.55,102692,14.75,3.79,17.06,87908,14.58,3.61,16.14,71106,16.75,3.43,17.93,,,,,,,,,,,,,,,,,,,71771,17.57,3.1,17.72,96,71830,14.73,3.76,17.61,143,1996-09-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-10,255,monthly,73388,18.24,1.51,18.02,255,114580,18.97,1.77,17.86,104215,17.12,1.48,17.31,89179,17.57,1.45,16.37,72198,18.4,1.53,18.2,,,,,,,,,,,,,,,,,,,72895,19.03,1.57,18.0,85,72886,17.17,1.47,17.87,170,1996-10-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-11,256,monthly,74419,19.23,1.41,18.27,256,115769,21.43,1.04,18.05,105397,19.03,1.13,17.51,90261,19.68,1.21,16.57,73267,19.04,1.48,18.47,,,,,,,,,,,,,,,,,,,73947,19.45,1.44,18.26,105,73891,18.69,1.38,18.12,151,1996-11-01
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,1996-12,309,monthly,73725,15.22,-0.93,18.1,309,114675,18.49,-0.94,17.88,104320,15.67,-1.02,17.33,89483,16.68,-0.86,16.43,72566,14.7,-0.96,18.29,,,,,,,,,,,,,,,,,,,73276,14.56,-0.91,18.09,144,73187,15.53,-0.95,17.94,165,1996-12-01
