"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-01,251,monthly,62060,1.21,1.09,18.32,251,116819,-0.09,1.06,20.1,91235,1.71,0.93,18.36,64767,1.16,1.16,17.6,55019,0.96,0.86,20.04,,,,,,,,,,,,,,,,,,,71072,3.28,1.45,20.03,9,61688,1.14,1.08,18.24,242,1996-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-02,206,monthly,61589,2.22,-0.76,18.18,206,115461,2.02,-1.16,19.87,90481,2.84,-0.83,18.21,64355,2.12,-0.64,17.49,54235,2.05,-1.43,19.75,,,,,,,,,,,,,,,,,,,70432,4.34,-0.9,19.85,5,61224,2.15,-0.75,18.1,201,1996-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-03,289,monthly,61695,1.35,0.17,18.21,289,115298,1.16,-0.14,19.84,90814,2.29,0.37,18.28,64462,1.21,0.17,17.52,54234,1.0,0.0,19.75,,,,,,,,,,,,,,,,,,,70287,2.68,-0.2,19.81,11,61337,1.31,0.18,18.13,278,1996-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-04,313,monthly,61467,0.81,-0.37,18.15,313,114195,0.8,-0.96,19.65,90394,1.82,-0.46,18.19,64225,0.6,-0.37,17.46,54216,0.93,-0.03,19.75,,,,,,,,,,,,,,,,,,,69686,1.76,-0.86,19.64,9,61120,0.78,-0.35,18.07,304,1996-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-05,288,monthly,61075,-0.68,-0.64,18.03,288,112645,-1.62,-1.36,19.38,89635,0.0,-0.84,18.04,63888,-0.72,-0.52,17.37,53743,-1.01,-0.87,19.58,,,,,,,,,,,,,,,,,,,68431,-1.3,-1.8,19.28,11,60755,-0.66,-0.6,17.96,277,1996-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-06,295,monthly,61425,-0.2,0.57,18.13,295,112913,-1.54,0.24,19.43,89914,0.08,0.31,18.09,64279,-0.13,0.61,17.47,54231,-0.51,0.91,19.75,,,,,,,,,,,,,,,,,,,68754,-0.89,0.47,19.38,7,61105,-0.18,0.58,18.07,288,1996-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-07,376,monthly,62047,0.18,1.01,18.32,376,114285,-1.28,1.22,19.66,90933,0.42,1.13,18.3,64951,0.26,1.05,17.65,54479,-0.11,0.46,19.84,,,,,,,,,,,,,,,,,,,69122,-0.52,0.53,19.48,3,61733,0.21,1.03,18.25,373,1996-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-08,393,monthly,62662,1.2,0.99,18.5,393,116301,-0.05,1.76,20.01,92046,1.64,1.22,18.52,65527,1.13,0.89,17.81,55077,1.56,1.1,20.06,,,,,,,,,,,,,,,,,,,70228,1.97,1.6,19.79,8,62333,1.18,0.97,18.43,385,1996-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-09,344,monthly,62669,1.82,0.01,18.5,344,117389,1.21,0.94,20.2,92138,2.31,0.1,18.54,65535,1.67,0.01,17.81,54823,2.37,-0.46,19.97,,,,,,,,,,,,,,,,,,,70009,3.2,-0.31,19.73,10,62347,1.77,0.02,18.43,334,1996-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-10,399,monthly,62781,3.65,0.18,18.54,399,118030,3.14,0.55,20.31,92403,3.9,0.29,18.6,65629,3.64,0.14,17.84,54888,3.45,0.12,19.99,,,,,,,,,,,,,,,,,,,70217,4.06,0.3,19.79,6,62456,3.63,0.17,18.47,393,1996-10-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-11,426,monthly,62948,2.28,0.27,18.58,426,117869,1.49,-0.14,20.28,92575,2.24,0.19,18.63,65825,2.49,0.3,17.89,55045,1.07,0.29,20.05,,,,,,,,,,,,,,,,,,,70244,1.24,0.04,19.8,10,62626,2.32,0.27,18.52,416,1996-11-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1996-12,371,monthly,63711,3.78,1.21,18.81,371,118524,2.54,0.56,20.39,93824,3.8,1.35,18.88,66620,4.05,1.21,18.11,55694,2.1,1.18,20.29,,,,,,,,,,,,,,,,,,,70888,1.19,0.92,19.98,7,63391,3.87,1.22,18.74,364,1996-12-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-01,299,monthly,64070,3.24,0.56,18.92,299,118740,1.64,0.18,20.43,94265,3.32,0.47,18.97,67055,3.53,0.65,18.23,55801,1.42,0.19,20.33,,,,,,,,,,,,,,,,,,,70736,-0.47,-0.21,19.93,6,63766,3.37,0.59,18.85,293,1997-01-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-02,312,monthly,64743,5.12,1.05,19.11,312,120499,4.36,1.48,20.73,95252,5.27,1.05,19.17,67724,5.23,1.0,18.41,56373,3.94,1.02,20.53,,,,,,,,,,,,,,,,,,,71975,2.19,1.75,20.28,16,64436,5.25,1.05,19.05,296,1997-02-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-03,321,monthly,65097,5.51,0.55,19.22,321,121230,5.14,0.61,20.86,95570,5.24,0.33,19.23,68151,5.72,0.63,18.52,56490,4.16,0.21,20.58,,,,,,,,,,,,,,,,,,,72504,3.15,0.74,20.43,8,64791,5.63,0.55,19.16,313,1997-03-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-04,386,monthly,65569,6.67,0.72,19.36,386,121746,6.61,0.43,20.95,96360,6.6,0.83,19.39,68662,6.91,0.75,18.66,56816,4.8,0.58,20.69,,,,,,,,,,,,,,,,,,,73276,5.15,1.06,20.65,0,65258,6.77,0.72,19.29,386,1997-04-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-05,409,monthly,66496,8.88,1.41,19.63,409,123351,9.5,1.32,21.22,97996,9.33,1.7,19.72,69659,9.03,1.45,18.93,57398,6.8,1.02,20.91,,,,,,,,,,,,,,,,,,,73848,7.92,0.78,20.81,8,66185,8.94,1.42,19.57,401,1997-05-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-06,387,monthly,67371,9.68,1.32,19.89,387,125508,11.15,1.75,21.59,99597,10.77,1.63,20.04,70565,9.78,1.3,19.18,57993,6.94,1.04,21.12,,,,,,,,,,,,,,,,,,,74307,8.08,0.62,20.94,1,67062,9.75,1.32,19.83,386,1997-06-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-07,497,monthly,69363,11.79,2.96,20.48,497,129606,13.41,3.27,22.3,102529,12.75,2.94,20.63,72725,11.97,3.06,19.77,59444,9.11,2.5,21.65,,,,,,,,,,,,,,,,,,,75834,9.71,2.06,21.37,4,69052,11.86,2.97,20.42,493,1997-07-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-08,446,monthly,70330,12.24,1.39,20.76,446,131942,13.45,1.8,22.7,104064,13.06,1.5,20.94,73737,12.53,1.39,20.04,60190,9.28,1.25,21.92,,,,,,,,,,,,,,,,,,,76444,8.85,0.8,21.54,3,70020,12.33,1.4,20.7,443,1997-08-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-09,394,monthly,71028,13.34,0.99,20.97,394,133299,13.55,1.03,22.93,105227,14.21,1.12,21.18,74455,13.61,0.97,20.24,60763,10.84,0.95,22.13,,,,,,,,,,,,,,,,,,,77297,10.41,1.12,21.78,1,70714,13.42,0.99,20.91,393,1997-09-01
Waltham Forest,http://landregistry.data.gov.uk/id/region/waltham-forest,E09000031,1997-10,395,monthly,70871,12.89,-0.22,20.92,395,133337,12.97,0.03,22.94,105215,13.87,-0.01,21.17,74195,13.05,-0.35,20.17,60815,10.8,0.09,22.15,,,,,,,,,,,,,,,,,,,77089,9.79,-0.27,21.72,3,70558,12.97,-0.22,20.86,392,1997-10-01
