"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-01,384,monthly,89092,0.6,0.69,16.09,384,238836,-2.48,-0.03,15.78,160439,0.27,0.48,15.35,110110,0.83,0.86,14.79,81413,0.68,0.64,17.09,,,,,,,,,,,,,,,,,,,87453,4.08,1.44,16.32,20,89325,0.38,0.64,16.06,364,1996-01-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-02,367,monthly,89095,0.51,0.0,16.09,367,237892,-1.44,-0.4,15.72,160759,0.26,0.2,15.38,110327,0.6,0.2,14.82,81248,0.6,-0.2,17.06,,,,,,,,,,,,,,,,,,,88138,4.1,0.78,16.45,27,89285,0.28,-0.05,16.05,340,1996-02-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-03,481,monthly,90461,3.83,1.53,16.33,481,243667,3.28,2.43,16.1,163832,4.11,1.91,15.67,112129,4.02,1.63,15.06,82335,3.66,1.34,17.29,,,,,,,,,,,,,,,,,,,90109,7.89,2.24,16.82,40,90616,3.57,1.49,16.29,441,1996-03-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-04,495,monthly,90408,3.89,-0.06,16.32,495,241772,3.92,-0.78,15.98,163043,4.02,-0.48,15.6,111978,3.92,-0.13,15.04,82433,3.81,0.12,17.31,,,,,,,,,,,,,,,,,,,90314,8.15,0.23,16.86,29,90550,3.62,-0.07,16.28,466,1996-04-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-05,605,monthly,91533,5.8,1.24,16.53,605,244702,5.62,1.21,16.17,164630,5.64,0.97,15.75,113768,6.16,1.6,15.28,83238,5.49,0.98,17.48,,,,,,,,,,,,,,,,,,,90773,9.35,0.51,16.94,14,91713,5.57,1.29,16.49,591,1996-05-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-06,569,monthly,92090,4.51,0.61,16.63,569,244096,3.94,-0.25,16.13,164956,4.12,0.2,15.78,114434,5.01,0.59,15.37,83851,4.12,0.74,17.61,,,,,,,,,,,,,,,,,,,90889,7.47,0.13,16.97,19,92295,4.32,0.63,16.59,550,1996-06-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-07,744,monthly,93215,3.77,1.22,16.83,744,250378,3.78,2.57,16.54,168250,3.82,2.0,16.09,116185,4.21,1.53,15.6,84476,3.35,0.75,17.74,,,,,,,,,,,,,,,,,,,90970,5.76,0.09,16.98,19,93480,3.62,1.28,16.81,725,1996-07-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-08,726,monthly,95216,5.14,2.15,17.19,726,259327,6.09,3.57,17.14,172848,5.74,2.73,16.53,118844,5.57,2.29,15.96,86046,4.61,1.86,18.07,,,,,,,,,,,,,,,,,,,92617,7.32,1.81,17.29,18,95504,4.98,2.17,17.17,708,1996-08-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-09,669,monthly,94932,3.89,-0.3,17.14,669,258967,4.02,-0.14,17.11,172373,4.15,-0.27,16.49,118674,4.16,-0.14,15.94,85659,3.65,-0.45,17.98,,,,,,,,,,,,,,,,,,,91660,6.21,-1.03,17.11,23,95258,3.72,-0.26,17.13,646,1996-09-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-10,694,monthly,94305,4.5,-0.66,17.03,694,257827,4.61,-0.44,17.04,171357,4.71,-0.59,16.39,117897,5.21,-0.65,15.83,85070,3.87,-0.69,17.86,,,,,,,,,,,,,,,,,,,91193,6.11,-0.51,17.02,26,94620,4.36,-0.67,17.01,668,1996-10-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-11,688,monthly,92964,3.9,-1.42,16.79,688,252357,3.94,-2.12,16.67,168525,4.23,-1.65,16.12,116137,5.03,-1.49,15.6,83974,2.86,-1.29,17.63,,,,,,,,,,,,,,,,,,,90048,4.77,-1.26,16.81,50,93267,3.82,-1.43,16.77,638,1996-11-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1996-12,680,monthly,93930,6.16,1.04,16.96,680,254437,6.5,0.82,16.81,170433,6.73,1.13,16.3,117449,7.59,1.13,15.77,84766,4.78,0.94,17.8,,,,,,,,,,,,,,,,,,,91132,5.71,1.2,17.01,51,94227,6.17,1.03,16.94,629,1996-12-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1997-01,617,monthly,95748,7.47,1.94,17.29,617,257987,8.02,1.39,17.05,173530,8.16,1.82,16.6,120051,9.03,2.22,16.12,86227,5.91,1.72,18.1,,,,,,,,,,,,,,,,,,,92224,5.46,1.2,17.22,35,96090,7.57,1.98,17.27,582,1997-01-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1997-02,537,monthly,98999,11.12,3.39,17.87,537,267237,12.34,3.59,17.66,179566,11.7,3.48,17.18,123989,12.38,3.28,16.65,89190,9.77,3.44,18.73,,,,,,,,,,,,,,,,,,,95539,8.4,3.59,17.83,22,99344,11.27,3.39,17.86,515,1997-02-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1997-03,631,monthly,101248,11.93,2.27,18.28,631,274561,12.68,2.74,18.14,183703,12.13,2.3,17.57,126952,13.22,2.39,17.05,91080,10.62,2.12,19.12,,,,,,,,,,,,,,,,,,,97816,8.55,2.38,18.26,58,101598,12.12,2.27,18.27,573,1997-03-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1997-04,676,monthly,103283,14.24,2.01,18.65,676,280808,16.15,2.28,18.55,187959,15.28,2.32,17.98,129544,15.69,2.04,17.4,92842,12.63,1.93,19.49,,,,,,,,,,,,,,,,,,,100400,11.17,2.64,18.74,42,103606,14.42,1.98,18.63,634,1997-04-01
Wandsworth,http://landregistry.data.gov.uk/id/region/wandsworth,E09000032,1997-05,790,monthly,106244,16.07,2.87,19.18,790,289974,18.5,3.26,19.16,194348,18.05,3.4,18.59,133602,17.43,3.13,17.94,95241,14.42,2.58,20.0,,,,,,,,,,,,,,,,,,,102727,13.17,2.32,19.18,44,106607,16.24,2.9,19.17,746,1997-05-01
