Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,-,#,#,#,#,#,-,17.56,20.0,#,-,#,-,23.91,-,#,-,16.74,-,16.17,-,#,-,22.15,-,#,#,20.71,-,#,-,#,-
00AB,Barking and Dagenham,8.41,5.8,8.4,5.8,8.74,6.5,9.43,6.9,9.55,6.6,9.87,9.5,10.62,7.8,11.20,6.7,10.64,6.0,10.83,7.2,11.34,6.6,11.11,6.3,10.96,5.7,10.45,6.3,11.45,8.7,10.95,6.5,11.53,6.5,11.68,4.6,12.46,6.7,13.03,6.4
00AC,Barnet,9.5,7.1,10.7,7.8,11.3,7.3,10.3,7.7,11.6,7.3,11.6,6.5,12.68,5.7,13.36,6.8,13.01,6.3,13.90,5.5,14.03,5.9,13.80,5.4,13.12,5.5,13.11,5.9,13.98,5.7,15.15,6.4,14.36,4.8,15.28,5.7,14.79,7.0,15.97,6.0
00AD,Bexley,9.2,6.3,9.8,5.6,9.6,6.6,10.6,5.3,9.9,5.2,10.3,8.2,10.32,7.4,11.09,6.5,10.97,6.5,11.28,5.8,11.97,5.2,12.22,7.0,12.20,4.7,12.31,3.8,12.57,5.9,13.57,5.2,13.45,5.9,14.36,5.4,15.18,6.7,15.60,6.6
00AE,Brent,9.3,8.7,8.9,6.0,10.7,7.9,10.7,5.4,10.6,6.8,11.4,5.8,11.85,6.9,11.69,4.8,11.13,6.1,10.23,6.1,11.90,5.8,11.62,7.4,11.79,6.8,11.87,5.4,11.85,5.9,11.72,4.9,12.27,6.0,13.45,5.3,13.76,7.2,13.21,5.6
00AF,Bromley,10.5,6.6,10.7,5.5,11.1,6.4,11.1,6.0,11.8,5.0,13.1,6.7,12.86,8.1,13.74,6.1,13.26,5.9,13.62,5.5,14.50,4.6,14.80,5.5,14.72,5.0,15.44,4.7,15.14,5.4,15.33,5.0,16.58,4.5,16.22,6.0,17.22,8.3,16.59,7.3
00AG,Camden,12.1,8.0,12.4,7.6,13.1,6.2,13.8,6.5,13.5,6.4,15.1,6.7,15.23,8.7,15.91,7.4,15.62,4.3,16.22,5.1,15.63,6.0,15.63,7.0,16.78,6.6,16.42,7.2,16.44,7.7,16.37,6.3,16.82,6.7,18.17,7.3,17.26,10.0,17.83,7.1
00AH,Croydon,9.2,6,9.68,5,9.95,5.5,10.59,5.6,10.54,5.1,11.31,5.1,11.74,6.5,11.90,5.1,12.69,4.4,12.02,3.9,12.59,4.4,12.62,4.1,13.31,4.0,13.02,4.3,13.50,4.4,13.75,5.6,13.72,4.6,14.69,4.5,14.62,6.7,15.99,5.5
00AJ,Ealing,11.0,6.2,11.2,5.5,11.4,6.2,11.0,5.9,11.7,5.3,11.7,4.3,12.79,4.2,12.90,4.9,12.82,4.1,12.83,5.3,13.49,4.7,13.14,4.7,13.43,4.8,12.75,7.0,13.00,5.3,12.93,6.2,13.48,6.2,13.22,5.1,14.81,7.2,15.25,6.4
00AK,Enfield,9.1,6.4,9.8,5.3,10.1,5.7,10.4,5.3,10.9,7.7,12.0,5.7,11.45,6.2,11.81,4.9,12.26,6.0,12.57,5.4,12.96,6.3,12.23,6.6,12.05,5.4,12.65,5.9,12.51,6.2,12.86,4.6,12.46,5.1,13.12,5.6,14.30,7.8,13.61,7.2
