Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,-,#,-,#,-,#,-,648.6,12.0,#,-,#,-,#,-,#,-,661.6,-,#,#,#,-,#,-,691.9,-,#,-,#,-,#,-
00AB,Barking and Dagenham,291.2,7.1,287,7,286.3,9.3,319.3,7.8,327.5,12,344.8,14,363.8,11.0,359.8,8.8,353.0,9.0,378.4,7.6,369.4,9.5,342.1,10.0,354.2,8.6,359.6,7.0,376.3,9.9,366.1,7.7,420.4,7.0,382.6,7.5,431.3,8.6,443.5,9.4
00AC,Barnet,308.8,8.4,348.1,9.0,359.5,8.6,345.0,7.5,370.9,7.4,383.3,7.4,420.8,9.4,403.9,8.0,420.6,7.0,434.4,5.8,447.4,5.9,445.8,5.7,413.7,6.8,421.3,7.7,425.7,6.8,456.9,6.8,460.0,6.7,480.0,5.9,460.9,7.0,500.1,6.6
00AD,Bexley,307.7,7.4,327.3,7.7,319.1,7.5,348.5,6.1,343.0,6.5,358.9,8.6,341.9,9.3,356.1,8.3,371.4,8.2,372.0,6.9,394.9,6.0,388.0,8.0,402.5,7.8,385.9,7.0,381.9,7.3,436.9,7.1,439.5,6.4,466.5,6.6,500.1,8.2,499.7,8.1
00AE,Brent,330.4,7.1,321.9,8.3,360.9,8.8,366.6,6.6,367.7,5.5,401.4,7.2,419.0,7.8,400.9,6.4,384.4,6.2,354.9,7.5,406.9,5.7,401.7,7.7,407.3,7.1,426.3,6.5,426.1,6.0,403.7,7.3,422.2,6.5,479.9,6.3,458.9,7.4,459.3,6.4
00AF,Bromley,345.5,6.9,360.6,6.2,377.9,5.1,357.2,7.4,386.2,5.4,426.9,6.4,431.2,6.1,447.6,7.2,416.9,8.3,431.2,7.2,450.3,6.6,472.7,6.3,453.6,7.0,479.3,5.9,470.5,4.7,497.8,7.0,537.4,4.9,536.6,5.2,498.9,8.4,492.8,8.6
00AG,Camden,401.9,9.4,413.4,10.0,476.2,7.5,479.1,7.9,465.4,8.2,513.2,6.9,481.3,10.0,555.9,5.1,547.6,5.4,567.9,6.6,542.2,6.9,524.6,9.2,541.0,9.2,517.5,9.3,574.9,7.8,574.8,7.4,547.5,8.0,589.6,9.5,574.9,9.2,572.7,9.4
00AH,Croydon,318,7,325.3,6,330.7,6.6,352,6.7,355.8,6.7,374.5,6.8,410.3,7.4,402.4,5.6,424.8,5.2,399.1,5.9,428.5,5.0,425.5,5.4,440.3,6.4,432.5,5.8,460.0,5.0,460.0,5.4,464.4,5.5,498.6,4.9,499.7,6.8,557.8,6.5
00AJ,Ealing,377.0,5.9,393.4,5.6,403.6,6.8,384.7,6.1,402.9,5.6,409.2,6.4,467.1,6.0,459.4,5.2,444.9,5.1,434.8,5.4,465.7,5.6,450.5,7.0,440.2,6.2,414.0,8.7,435.2,5.3,443.0,5.5,453.4,6.6,459.8,4.7,503.5,7.1,492.6,8.3
00AK,Enfield,303.5,7.8,295.7,7.4,304.6,7.8,327.0,6.7,320.2,7.6,392.6,8.1,354.7,7.7,390.5,7.4,397.9,6.3,419.6,6.7,408.4,8.0,405.0,5.0,402.3,7.0,439.6,6.7,413.1,8.4,437.5,5.5,421.5,6.1,439.0,7.2,459.7,8.6,460.0,6.8
