Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %,Pay (�),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,#,#,#,#,#,#,#,#,#,#,#,#,#,#,21.47,17.0,#,#,#,#,#,#,#,#,#,#,#,#,26,20,#,#,#,#,#,#,#,-,#,#
00AB,Barking and Dagenham,10.98,4.8,10.26,5,10.47,4.6,10.85,5.1,11.69,4.6,12.09,5.7,12.62,5.6,13.18,4.8,12.89,4.5,12.74,5.1,13.87,4.6,12.87,5.4,13.06,3.8,13.30,4.4,13.71,5.0,13.94,4.7,14.30,5.5,15.01,6.0,14.74,7.4,17.31,6.5
00AC,Barnet,13.1,4.7,13.9,5.2,14.1,5.6,14.4,5.2,14.3,5.2,14.4,6.3,15.11,4.5,16.29,4.7,16.65,5.6,16.61,3.8,15.96,4.7,16.24,4.0,16.40,5.1,16.61,4.8,16.58,4.8,18.52,5.5,17.65,4.9,17.70,4.9,17.30,7.9,18.22,5.1
00AD,Bexley,11.7,4.9,12.2,4.9,12.3,4.6,13.3,5.0,13.3,5.6,13.9,5.5,15.24,4.8,14.76,3.9,14.92,3.8,15.63,3.5,15.61,3.8,15.73,4.5,15.57,4.8,15.58,4.1,16.68,4.1,16.34,4.3,16.35,5.2,17.04,4.8,18.87,7.3,18.62,5.9
00AE,Brent,10.9,4.6,10.6,4.7,11.5,4.9,11.9,4.1,12.0,4.2,12.2,3.7,12.76,4.5,12.97,4.2,12.83,4.9,12.65,3.6,13.84,4.0,13.70,5.0,14.25,4.5,13.79,5.4,13.48,4.0,13.97,4.9,14.50,4.6,15.62,3.8,16.43,6.0,16.49,4.0
00AF,Bromley,13.3,4.7,14.2,5.1,13.8,5.7,15.1,4.6,15.3,4.0,16.0,4.4,16.74,4.3,17.24,3.6,17.09,4.4,17.24,4.1,17.69,3.7,18.05,3.6,18.42,4.1,17.89,4.4,18.40,3.6,19.39,5.2,19.93,4.1,20.89,3.7,21.24,5.3,21.08,5.6
00AG,Camden,14.4,5.8,14.5,6.7,14.4,5.6,15.6,4.8,16.1,5.1,16.8,5.4,18.44,5.8,18.73,5.9,17.24,5.4,18.28,4.9,18.63,4.7,18.93,4.9,19.17,5.1,19.15,6.1,19.69,6.4,19.34,5.2,20.69,5.7,21.16,4.7,19.94,7.6,20.81,5.0
00AH,Croydon,11.88,4.2,12.07,4.2,12.45,4,13.32,4,12.99,4.6,13.24,4.5,13.90,4.5,14.30,3.4,14.85,3.1,14.84,3.7,14.87,3.5,14.89,3.5,15.04,3.5,15.28,3.1,15.52,3.6,16.56,3.4,16.59,3.7,17.69,3.6,18.06,5.0,18.57,4.1
00AJ,Ealing,12.1,4.3,12.5,4.2,12.7,3.6,13.0,3.8,13.3,3.6,13.5,3.4,14.48,4.0,14.43,3.6,14.37,3.5,14.57,4.1,14.63,3.9,14.71,3.4,14.93,3.4,14.31,4.4,14.73,4.1,15.11,4.3,16.10,4.4,15.85,3.9,16.77,5.2,17.18,4.2
00AK,Enfield,11.3,5.0,11.7,5.4,11.9,5.7,12.4,5.7,12.5,5.0,13.1,4.6,13.16,5.1,13.79,4.6,14.30,5.1,14.30,3.6,14.28,4.8,14.33,4.5,14.46,4.4,14.86,4.2,14.95,5.5,15.14,4.0,14.84,4.6,16.23,6.2,16.68,6.3,16.96,6.8
