Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,#,#,#,#,#,#,#,#,#,#,#,#,#,#,767.6,18.0,#,#,"1,006.9",19.0,#,#,#,#,#,#,#,#,"1,034",20,#,#,"1,032",19,#,#,#,-,#,#
00AB,Barking and Dagenham,439.5,5.4,404.3,4.7,413.6,4.9,429.5,4.8,478.2,5.1,494.3,5.4,499.4,4.4,523.7,5.3,496.7,5.2,500.8,4.5,549.2,3.8,521.4,5.0,511.8,4.3,534.1,4.2,543.3,4.0,555.9,5.3,572.3,4.3,589.8,3.9,580.7,6.0,643.4,4.0
00AC,Barnet,499.1,4.2,529.5,5.0,531.8,5.4,546.5,4.8,553.5,4.2,551.7,5.2,588.8,4.4,622.1,3.8,616.6,4.1,621.4,3.8,596.8,3.9,611.9,3.9,617.6,4.6,628.5,3.4,637.7,4.1,690.0,4.9,677.6,4.4,677.5,4.8,663.1,7.3,685.2,4.5
00AD,Bexley,464.6,3.6,494.1,4.0,490.2,4.5,517.1,3.2,527.0,3.8,546.2,4.0,591.0,3.9,575.2,4.3,596.6,3.6,609.0,3.4,611.8,3.8,616.0,4.7,612.4,4.1,609.0,4.6,646.7,5.1,624.6,4.8,641.5,4.5,671.0,4.2,731.4,6.1,709.4,6.2
00AE,Brent,428.4,3.9,421.0,4.4,451.7,4.4,460.0,4.3,460.1,4.6,479.1,3.8,513.6,4.0,525.3,3.6,517.5,3.8,498.3,3.8,542.8,3.7,536.8,4.3,547.5,3.8,553.2,5.0,544.4,3.3,563.5,3.2,574.9,3.4,609.6,3.5,639.5,5.0,623.8,4.1
00AF,Bromley,506.1,4.2,537.4,4.5,531.9,4.1,566.3,3.8,574.8,4.4,609.0,4.3,643.0,4.2,644.9,4.1,651.6,3.6,653.5,2.9,670.8,3.3,684.8,3.6,697.9,3.9,682.1,3.8,714.5,4.0,737.4,4.5,753.7,3.9,785.3,4.3,805.9,5.1,787.1,4.2
00AG,Camden,542.7,6.0,538.8,6.5,547.7,5.6,595.0,5.6,608.8,4.9,637.8,4.9,695.9,5.5,710.1,4.6,648.0,6.1,681.0,5.3,694.6,4.4,717.9,4.3,718.7,4.8,726.4,6.5,737.5,7.0,725.5,5.9,766.6,5.7,795.4,6.0,745.3,7.1,785.7,4.7
00AH,Croydon,461.2,3.7,479.8,3.9,486.1,3.3,507,3.8,505.4,3.2,526.9,3.8,553.2,4.0,568.3,3.2,583.6,2.5,574.9,3.4,579.9,3.3,569.0,3.5,591.8,3.0,602.1,3.5,602.9,2.8,631.0,3.5,653.6,3.7,671.4,2.9,676.8,4.3,707.8,3.6
00AJ,Ealing,472.4,4.0,479.8,2.7,483.9,3.4,491.1,3.3,505.7,3.4,530.9,3.7,556.1,3.6,559.7,3.3,564.4,3.6,574.9,3.2,565.7,3.6,566.4,3.1,575.0,3.2,561.5,3.4,580.5,3.7,597.9,3.6,631.5,3.4,622.4,3.9,632.3,5.8,670.7,5.1
00AK,Enfield,442.8,4.7,461.6,4.7,476.7,5.6,490.1,4.9,501.6,4.7,517.5,4.0,517.6,5.6,546.1,4.4,561.2,4.2,555.9,3.7,555.0,4.6,558.8,4.0,557.8,3.9,565.9,3.8,574.9,5.2,587.7,4.6,590.0,3.7,638.9,4.9,643.2,6.4,670.4,6.7
