Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,26.72,19.0,#,#,#,#,#,#,#,#,#,-,#,#,#,#,#,#,#,#,#,-,#,-,#,-
00AB,Barking and Dagenham,11.5,4.8,10.71,6.3,10.65,6.7,10.52,6,11.98,5.5,12.25,6.5,12.48,7.0,13.53,6.7,12.93,6.4,12.80,5.6,12.60,6.5,12.76,6.1,12.83,5.6,12.74,5.6,12.29,6.1,12.98,6.9,13.31,6.6,14.77,6.9,13.72,11.0,16.66,7.8
00AC,Barnet,13.5,7.2,14.8,8.2,15.0,8.7,15.4,7.6,14.1,8.3,14.9,11.0,15.76,8.1,16.33,6.0,17.47,7.7,16.47,6.4,15.58,7.0,16.59,7.3,16.23,8.0,16.63,7.8,15.13,6.9,16.76,9.8,17.05,10.0,16.77,8.3,17.29,11.0,18.23,8.4
00AD,Bexley,12.1,6.1,13.5,7.0,13.2,6.1,14.5,6.2,14.3,6.7,14.4,8.4,16.20,6.8,15.04,5.6,15.20,5.4,15.74,5.7,15.62,4.9,15.32,6.6,15.43,6.7,15.55,6.4,17.11,7.6,16.39,7.6,16.65,7.9,17.29,6.6,19.30,9.3,18.81,6.8
00AE,Brent,10.0,7.0,9.6,5.9,10.3,6.0,10.8,6.2,11.0,5.1,11.0,5.2,11.27,6.0,11.71,5.4,11.28,6.8,11.70,5.7,12.02,6.1,12.09,7.1,12.56,8.4,12.33,8.1,12.90,5.6,12.97,5.3,13.62,5.9,14.60,5.8,16.12,8.9,16.59,4.8
00AF,Bromley,14.8,7.6,15.9,5.9,15.5,7.8,16.1,6.2,16.7,6.4,16.3,6.6,17.36,6.0,17.98,4.8,17.79,5.5,18.11,5.2,18.70,5.8,18.39,6.3,19.16,5.8,18.06,6.6,18.83,5.5,19.97,6.1,20.43,5.4,20.89,5.4,21.51,8.6,21.51,7.1
00AG,Camden,14.8,11.0,15.7,14.0,14.0,9.8,15.8,9.6,17.6,7.7,17.8,11.0,18.69,10.0,19.32,8.6,18.14,10.0,18.48,8.3,19.18,7.1,19.91,6.2,19.52,8.1,18.33,10.0,19.21,8.5,19.41,8.1,20.44,6.7,20.56,8.0,19.30,11.0,22.15,7.1
00AH,Croydon,11.57,6.9,12.31,6.2,12.34,6.2,12.88,6.2,13.17,5.6,13.11,6.2,13.74,5.8,14.53,4.4,14.85,5.2,14.37,5.7,14.50,4.9,14.73,5.5,14.23,4.7,14.42,5.1,14.98,5.5,15.66,5.9,15.97,5.0,16.57,5.8,17.22,6.5,17.87,6.7
00AJ,Ealing,12.1,6.8,12.8,6.3,12.3,5.7,12.8,5.5,13.2,5.0,13.5,6.7,14.50,7.4,13.58,5.1,14.12,5.2,14.04,5.5,13.44,5.8,14.35,5.0,13.69,5.2,13.73,4.2,13.98,5.4,14.30,4.7,15.23,6.4,15.32,4.5,15.47,6.3,16.12,4.9
00AK,Enfield,11.1,6.7,11.6,6.6,11.6,7.4,12.8,7.6,12.1,6.6,12.9,5.7,12.50,6.0,13.22,5.9,12.88,5.8,13.49,4.6,13.12,6.4,13.05,5.1,13.25,5.9,13.39,6.4,12.91,6.0,14.37,6.2,12.92,6.5,14.29,6.9,14.93,8.1,15.59,8.1
