Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-,#,#,#,#,#,#,#,#,#,-,#,-,#,#
00AB,Barking and Dagenham,468.9,4.7,438.9,6.1,427.3,7.8,424.0,6.6,490.8,5.3,504.2,7.6,513.1,6.5,533.0,6.1,509.2,6.5,511.8,5.9,518.1,6.3,517.6,4.9,488.4,5.0,514.2,4.2,531.8,5.1,538.0,7.6,555.1,5.3,565.1,6.9,562.7,8.1,617.9,7.0
00AC,Barnet,520.2,5.7,575.8,7.2,565.3,7.4,563.3,7.3,571.3,7.2,572.3,8.4,588.5,7.6,603.4,5.4,604.1,7.0,588.0,6.4,580.0,7.3,616.3,6.2,589.8,6.9,586.1,7.2,575.1,8.2,627.3,8.9,632.4,7.2,616.3,8.4,590.6,8.2,638.9,6.1
00AD,Bexley,493.1,5.7,538.5,5.3,559.2,5.2,570.7,4.8,551.1,5.8,573.5,5.9,632.4,4.6,599.3,6.1,618.5,4.1,614.8,4.0,612.3,4.8,614.0,6.5,608.6,5.6,613.2,6.3,656.9,6.7,626.4,7.5,642.2,7.2,660.6,6.4,711.2,10.0,701.9,8.1
00AE,Brent,411.9,6.3,401.2,6.6,418.1,6.2,430.2,6.0,437.6,6.4,427.3,6.8,445.0,7.3,470.2,6.0,462.6,6.4,454.1,5.2,476.0,6.0,479.3,5.2,467.6,7.1,478.5,8.2,505.6,5.4,526.8,5.1,531.5,5.9,574.4,6.2,622.9,8.0,614.8,6.8
00AF,Bromley,574.2,7.0,593.1,5.4,574.3,7.7,597.7,6.1,639.4,6.0,622.5,6.1,670.8,6.5,680.7,5.8,668.9,5.1,676.3,4.8,705.2,4.6,714.8,5.4,721.2,5.6,675.0,6.3,728.5,5.6,763.6,5.8,766.6,5.3,779.6,5.9,797.0,9.3,796.9,6.2
00AG,Camden,557.0,11.0,571.1,13.0,545.0,9.8,620.6,9.5,674.7,7.5,677.7,9.7,696.9,7.3,720.4,6.4,671.2,9.3,669.2,8.1,674.3,7.7,705.8,6.6,677.4,11.0,633.7,11.0,675.0,9.4,674.6,9.4,741.0,8.2,686.4,9.7,716.3,8.6,795.6,7.8
00AH,Croydon,482.3,4.3,490.8,5.1,485.4,5.0,495.8,5.9,518.9,4.4,528.3,5.1,539.0,5.5,574.9,4.6,580.0,4.4,574.9,4.4,576.6,4.6,568.4,6.6,562.8,5.1,555.8,5.3,574.9,5.6,613.4,5.3,627.8,5.0,632.8,5.2,666.0,6.6,675.2,5.9
00AJ,Ealing,491.4,5.7,494.9,5.3,483.2,6.1,493.3,4.9,500.0,5.7,556.6,5.3,573.7,6.2,531.5,5.1,544.6,5.3,543.0,5.1,526.1,6.0,543.5,4.9,536.2,4.8,536.6,4.5,542.6,5.5,547.9,4.5,582.1,6.2,598.0,5.3,590.2,6.5,605.8,5.3
00AK,Enfield,446.7,6.1,475.7,6.1,462.5,7.0,489.7,7.9,476.4,6.4,505.0,5.6,483.8,6.5,519.8,5.6,498.1,7.1,536.5,5.8,500.2,7.2,503.6,7.1,517.8,6.1,517.8,6.4,511.8,6.2,549.3,6.6,537.1,6.9,573.5,7.3,530.1,8.3,579.7,9.3
