Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,!,!,!,!,#,-,#,-,!,!,#,-,#,-,#,-,#,#,!,!,!,!,186,-,!,!,!,!,#,-,#,#,#,-,#,-
00AB,Barking and Dagenham,153.4,15,128.7,18,130.4,19,133.3,15,144,17,148,20,151.9,15.0,203.7,15.0,155.3,11.0,168.9,11.0,150.4,8.7,174.2,12.0,143.4,10.0,152.3,11.0,163.6,9.7,160.3,8.3,187.3,9.5,194.4,7.8,190.2,13.0,181.7,12.0
00AC,Barnet,137.2,14.0,152.0,12.0,147.0,13.0,149.2,13.0,163.7,13.0,151.4,14.0,170.1,14.0,187.0,12.0,190.8,11.0,164.0,9.9,172.6,12.0,172.3,8.9,172.5,7.4,169.9,7.5,176.2,7.6,187.4,7.7,199.8,7.2,203.7,7.8,208.6,9.2,210.6,10.0
00AD,Bexley,132.0,11.0,158.4,12.0,145.3,8.7,159.0,10.0,147.1,10.0,137.8,12.0,148.1,10.0,159.2,9.3,167.1,10.0,172.3,9.5,166.5,10.0,175.7,7.5,169.5,7.1,179.8,7.6,207.0,7.2,188.1,7.5,196.3,10.0,209.2,8.9,197.3,11.0,226.1,11.0
00AE,Brent,118.1,15.0,108.0,9.4,126.4,15.0,120.0,13.0,121.8,12.0,118.8,10.0,140.1,9.8,125.7,6.6,143.2,8.0,134.5,8.1,146.5,7.7,157.3,6.8,156.3,5.1,162.5,8.6,172.2,7.2,179.3,6.9,196.4,7.3,200.8,6.5,191.5,7.9,231.9,6.3
00AF,Bromley,124.9,12.0,164.9,15.0,134.7,13.0,144.1,10.0,157.4,11.0,187.6,13.0,167.2,13.0,171.1,11.0,166.6,7.6,177.7,8.6,181.7,14.0,183.7,10.0,187.6,9.3,192.4,8.1,205.3,8.0,213.7,8.5,195.9,9.4,210.6,6.8,238.1,14.0,199.0,9.3
00AG,Camden,122.5,19.0,#,#,151.1,19.0,176.8,16.0,165.7,17.0,#,#,144.7,19.0,150.9,16.0,147.2,19.0,163.3,17.0,178.0,15.0,191.4,12.0,187.2,11.0,166.3,11.0,169.1,16.0,188.6,9.7,184.2,12.0,167.0,17.0,#,#,167.7,11.0
00AH,Croydon,129.2,11,134.7,11,153.1,11,149,8.1,147.7,12,154.5,8.1,149.6,11.0,171.9,11.0,171.7,9.6,166.1,7.6,174.5,8.6,178.8,8.6,165.5,4.9,178.1,7.1,176.3,6.9,197.6,7.5,194.2,6.1,189.1,6.7,194.4,7.7,208.3,9.2
00AJ,Ealing,135.6,20.0,163.0,18.0,133.0,13.0,125.5,14.0,161.9,12.0,136.4,11.0,161.6,14.0,150.2,9.5,160.8,11.0,140.4,11.0,150.0,9.7,173.4,6.6,168.1,6.1,157.6,7.2,172.3,5.9,187.6,8.5,185.3,6.1,188.4,7.7,190.8,10.0,220.7,9.9
00AK,Enfield,147.1,10.0,150.9,11.0,164.6,10.0,202.2,9.1,175.9,10.0,179.3,12.0,181.4,10.0,194.8,7.9,192.4,8.0,191.1,9.7,186.2,9.3,172.3,8.2,151.3,6.9,183.5,6.8,165.1,4.1,162.8,7.2,186.3,2.9,186.0,4.9,205.9,7.1,213.1,6.9
