Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,!,!,!,!,#,-,#,-,!,!,7.06,-,#,-,#,-,#,-,!,!,!,!,#,-,!,!,!,!,#,-,#,-,#,#,#,-
00AB,Barking and Dagenham,6.92,11,6.92,12,6.64,12,7.02,8.8,7.45,9.2,7.48,11,7.97,12.0,9.42,8.9,8.04,8.5,8.10,15.0,8.01,6.5,8.52,7.9,8.50,6.5,8.76,6.0,8.66,5.0,8.92,5.2,9.26,5.0,10.14,5.1,10.08,5.4,10.51,4.7
00AC,Barnet,7.6,7.9,7.8,9.0,7.6,7.9,8.2,6.5,8.9,8.5,8.9,7.2,9.54,8.2,10.27,8.6,10.37,7.1,10.21,8.2,10.96,8.3,10.37,7.8,10.22,7.5,9.58,6.0,9.99,4.8,10.33,5.8,10.31,6.9,11.34,7.6,11.13,9.8,13.70,7.8
00AD,Bexley,6.9,7.6,7.6,10.0,7.3,9.1,8.4,8.9,7.6,7.3,7.8,6.5,8.01,5.8,8.57,4.8,8.43,5.6,8.50,4.9,8.78,5.8,8.36,4.8,8.93,5.7,9.13,5.3,10.00,6.5,10.21,6.4,10.19,6.2,10.93,4.8,10.85,8.5,11.57,6.7
00AE,Brent,6.1,5.3,6.1,4.8,6.7,7.9,6.9,6.4,7.2,7.1,7.2,4.8,7.36,5.5,7.37,4.2,7.55,3.6,7.74,3.8,7.75,3.7,7.85,3.4,8.07,4.7,8.39,3.9,8.56,3.6,9.34,3.9,9.55,4.5,10.21,3.5,10.31,3.3,10.85,6.5
00AF,Bromley,7.9,11.0,7.8,8.8,7.5,8.3,8.6,6.5,9.2,5.7,9.9,9.5,8.70,8.7,10.10,8.9,9.64,8.9,9.00,7.0,11.00,11.0,10.40,8.5,10.68,7.6,10.89,7.9,11.03,6.9,10.74,8.7,11.70,8.1,11.91,6.4,13.82,9.4,13.42,9.5
00AG,Camden,7.0,19.0,7.4,10.0,8.0,13.0,9.1,15.0,9.3,10.0,11.9,17.0,9.75,17.0,10.48,17.0,8.78,13.0,11.56,13.0,10.89,12.0,10.48,17.0,10.85,16.0,9.03,10.0,11.28,9.4,11.27,11.0,10.26,9.3,12.16,14.0,12.22,12.0,13.31,13.0
00AH,Croydon,6.79,5.1,7.28,6.3,7.27,6.8,7.83,5.4,8.25,5.8,7.96,5.6,8.08,7.4,8.58,6.9,9.01,7.7,8.52,5.0,9.00,4.1,9.12,5.2,9.15,4.7,8.88,5.3,9.59,3.8,9.75,5.1,10.26,4.0,10.31,4.4,10.92,3.9,11.15,7.3
00AJ,Ealing,6.7,10.0,7.8,11.0,7.1,7.7,7.8,8.7,8.6,9.0,7.8,7.1,8.49,7.4,8.69,6.9,9.36,8.8,8.60,9.0,8.93,8.8,9.07,9.3,9.32,8.1,8.96,5.9,9.39,4.8,9.89,4.7,10.00,5.2,10.71,5.0,10.87,6.0,11.63,6.3
00AK,Enfield,6.5,6.3,7.6,7.3,8.0,7.6,9.9,5.4,8.8,9.5,9.0,13.0,9.24,9.0,8.88,6.9,9.72,6.7,9.19,6.3,9.51,7.4,8.62,5.6,8.37,4.4,8.84,5.2,8.91,4.9,8.80,3.8,8.93,3.6,9.69,4.3,10.50,6.5,10.80,5.5
