"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-01,48694,monthly,52333,-1.63,-1.11,25.8,48694,85000,-1.52,0.49,27.83,50961,-1.11,-1.5,27.13,40553,-2.26,-1.79,24.71,44528,-1.53,-1.41,23.4,,,,,,,,,,,,,,,,,,,65870,1.88,0.59,26.97,5046,51300,-2.18,-1.38,25.64,43648,1996-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-02,51401,monthly,52536,-1.06,0.39,25.9,51401,84344,-0.63,-0.77,27.61,51381,-1.24,0.82,27.36,40834,-2.02,0.69,24.88,44926,1.43,0.89,23.61,,,,,,,,,,,,,,,,,,,66153,1.74,0.43,27.09,6296,51495,-1.49,0.38,25.74,45105,1996-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-03,68453,monthly,52683,-0.97,0.28,25.97,68453,85050,0.54,0.84,27.84,51623,-0.43,0.47,27.48,40832,-2.56,0.0,24.88,44644,-0.95,-0.63,23.46,,,,,,,,,,,,,,,,,,,66304,1.51,0.23,27.15,9154,51643,-1.36,0.29,25.82,59299,1996-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-04,64277,monthly,53331,-0.48,1.23,26.29,64277,86018,0.37,1.14,28.16,51751,-0.62,0.25,27.55,41545,-1.13,1.74,25.31,45822,0.03,2.64,24.08,,,,,,,,,,,,,,,,,,,66673,2.75,0.56,27.3,7375,52327,-1.0,1.32,26.16,56902,1996-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-05,78937,monthly,53822,0.27,0.92,26.53,78937,86192,1.03,0.2,28.22,52342,-0.12,1.14,27.87,42213,0.2,1.61,25.72,45832,0.16,0.02,24.09,,,,,,,,,,,,,,,,,,,65995,1.13,-1.02,27.03,9939,52948,0.08,1.19,26.47,68998,1996-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-06,75545,monthly,54093,0.67,0.5,26.67,75545,86772,1.41,0.67,28.41,52565,0.32,0.43,27.99,42108,0.29,-0.25,25.66,46929,1.23,2.39,24.66,,,,,,,,,,,,,,,,,,,67359,2.63,2.07,27.58,11844,53102,0.34,0.29,26.55,63701,1996-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-07,85339,monthly,54704,1.49,1.13,26.97,85339,88805,2.03,2.34,29.07,53194,1.62,1.2,28.32,42470,0.81,0.86,25.88,46529,1.95,-0.85,24.45,,,,,,,,,,,,,,,,,,,67515,3.38,0.23,27.65,8573,53768,1.16,1.25,26.88,76766,1996-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-08,91037,monthly,55107,2.81,0.74,27.17,91037,89864,3.74,1.19,29.42,53480,2.59,0.54,28.47,42854,2.32,0.9,26.11,46457,2.85,-0.15,24.41,,,,,,,,,,,,,,,,,,,67810,4.24,0.44,27.77,9671,54186,2.54,0.78,27.09,81366,1996-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-09,80016,monthly,55026,3.22,-0.15,27.13,80016,89530,4.64,-0.37,29.31,53364,2.85,-0.22,28.41,42760,2.33,-0.22,26.05,46792,3.81,0.72,24.59,,,,,,,,,,,,,,,,,,,67629,5.75,-0.27,27.69,9279,54115,2.78,-0.13,27.05,70737,1996-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-10,86311,monthly,54931,3.95,-0.17,27.08,86311,89834,4.74,0.34,29.41,53456,3.55,0.17,28.46,42439,3.89,-0.75,25.86,46514,3.48,-0.59,24.44,,,,,,,,,,,,,,,,,,,67756,4.14,0.19,27.75,9528,53995,3.87,-0.22,26.99,76783,1996-10-01
