"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index New build","Average price New build","Percentage change (monthly) New build","Percentage change (yearly) New build","House price index Existing properties","Average price Existing properties","Percentage change (monthly) Existing properties","Percentage change (yearly) Existing properties","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-01,,quarterly,,,,,,,,,1980-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-02,,quarterly,,,,,,,,,1980-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-03,,quarterly,,,,,,,,,1980-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-04,,quarterly,,,,,,,,,1980-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-05,,quarterly,,,,,,,,,1980-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-06,,quarterly,,,,,,,,,1980-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-07,,quarterly,,,,,,,,,1980-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-08,,quarterly,,,,,,,,,1980-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-09,,quarterly,,,,,,,,,1980-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-10,,quarterly,,,,,,,,,1980-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-11,,quarterly,,,,,,,,,1980-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1980-12,,quarterly,,,,,,,,,1980-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-01,,quarterly,,,,,,,,,1981-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-02,,quarterly,,,,,,,,,1981-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-03,,quarterly,,,,,,,,,1981-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-04,,quarterly,,,,,,,,,1981-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-05,,quarterly,,,,,,,,,1981-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-06,,quarterly,,,,,,,,,1981-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-07,,quarterly,,,,,,,,,1981-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-08,,quarterly,,,,,,,,,1981-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-09,,quarterly,,,,,,,,,1981-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-10,,quarterly,,,,,,,,,1981-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-11,,quarterly,,,,,,,,,1981-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1981-12,,quarterly,,,,,,,,,1981-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-01,,quarterly,,,,,,,,,1982-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-02,,quarterly,,,,,,,,,1982-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-03,,quarterly,,,,,,,,,1982-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-04,,quarterly,,,,,,,,,1982-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-05,,quarterly,,,,,,,,,1982-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-06,,quarterly,,,,,,,,,1982-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-07,,quarterly,,,,,,,,,1982-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-08,,quarterly,,,,,,,,,1982-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-09,,quarterly,,,,,,,,,1982-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-10,,quarterly,,,,,,,,,1982-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-11,,quarterly,,,,,,,,,1982-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1982-12,,quarterly,,,,,,,,,1982-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-01,,quarterly,,,,,,,,,1983-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-02,,quarterly,,,,,,,,,1983-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-03,,quarterly,,,,,,,,,1983-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-04,,quarterly,,,,,,,,,1983-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-05,,quarterly,,,,,,,,,1983-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-06,,quarterly,,,,,,,,,1983-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-07,,quarterly,,,,,,,,,1983-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-08,,quarterly,,,,,,,,,1983-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-09,,quarterly,,,,,,,,,1983-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-10,,quarterly,,,,,,,,,1983-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-11,,quarterly,,,,,,,,,1983-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1983-12,,quarterly,,,,,,,,,1983-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-01,,quarterly,,,,,,,,,1984-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-02,,quarterly,,,,,,,,,1984-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-03,,quarterly,,,,,,,,,1984-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-04,,quarterly,,,,,,,,,1984-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-05,,quarterly,,,,,,,,,1984-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-06,,quarterly,,,,,,,,,1984-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-07,,quarterly,,,,,,,,,1984-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-08,,quarterly,,,,,,,,,1984-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-09,,quarterly,,,,,,,,,1984-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-10,,quarterly,,,,,,,,,1984-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-11,,quarterly,,,,,,,,,1984-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1984-12,,quarterly,,,,,,,,,1984-12-01
